"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONHK05	RCONHK06	RCONHK07	RCONHK08	RCONHK09	RCONHK10	RCONHK11	RCONHK12	RCONHK13	RCONHK14	RCONHK15	RCONJ473	RCONJ474	RCONK220	RCONK222	RCONK223	RCONP752	RCONP753	RCONP754	RCONP756	RCONP757	RCONP758	RCONP759	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	SELECTED COMPONENTS OF TOTAL DEPOSIT	SELECTED COMPONENTS OF TOTAL DEPOSIT	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS OF 250000 OR LESS WITH	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	OFFR CONSUM DEP ACT INDIV HSHLD FMLY	NONINTR TRN ACCTS INDIV HSHLD FMLY	INTR TRN ACCTS INDIV HSHLD FMLY	MMDA DEPS PRIMRLY INDIV HSHLD FAMLY	OTHR MMDA INDIV PRTNRS CORPS	OTHR SVGS DEPS IND HSHLD FAMILY USE	OTHR SVGS DEPS IND PRTNRS AND CORPS	
342634	5203401	8763	198763	1640854	0	2235998	0	0	22225	0	8755119	89803	1851258		906113	1794455	290647	2026083	6804936	2389	9122	81964	22225	22225	325046	707532	336431	52541	1032578	85433	194094	38643	17543	515437	335713	0	279527	0	true	102582	143323	1264558	491191	2790936	608539	
343051	9533	0	11151	22811	0	48254	0	0	0	0	39599	0	4181		8215	4262	3939	37103	35418	0	0	1784	0	0	5537	10412	266	0	15949	5395	4193	0	0	7999	9588	0	9588	0	false							
343248	3557	0	63	5668	0	9809	0	0	0	0	15507	0	829		3957	3079	987	9746	14678	0	0	328	0	0	1229	4381	1979	0	5610	765	516	0	0	3633	1281	0	1281	0	true							
343257	8394	0	855	16465	0	25334	0	0	0	0	18574	0	3483		4634	4242	1146	24479	15091	0	0	0	0	0	1601	3094	802	170	4695	270	0	0	0	1033	270	0	270	0	true							
343378	1143	0	0	0	0	0	0	0	0	0	5839	0	0		2508	1664	377	0	5839	0	0	0	0	0	360	1828	844	0	2187	0	0	0	0	524	0	0	0	0	true							
343770	8230	0	224	4866	0	8911	0	0	0	0	43792	0	7933		11535	11405	551	8687	34563	0	1296	183	0	0	3831	4198	7057	6180	8029	600	1089	370	832	9731	2891	0	1689	0	true							
343903	105971	3	20713	49763	0	106699	0	0	3360	0	319747	0	29900		65941	93912	32750	85983	289847	0	0	10383	3360	2490	15096	37159	35326	11790	52244	4193	7864	6264	2170	33430	20491	0	12057	0	true							
343958	7801	428	993	10456	0	15819	0	0	11520	0	49070	6	3606		21922	4460	2063	14398	42212	0	3246	403	11520	2500	2990	9986	17720	2092	12976	1506	1500	1014	0	10866	4020	0	3006	0	true							
344647	369529	0	10341	53234	0	112093	0	0	14012	0	624129	0	140225		117944	47184	22169	101471	483904	281	0	1117	14012	14012	37163	60948	69116	20692	62274	8002	6747	3639	1109	69975	19497	0	14749	0	true							
344816	60867	0	0	2681	0	2839	0	0	0	0	370440	0	57707		48438	196229	14733	2839	312724	0	9	3972	0	0	14857	43248	24374	6016	58105	11830	8903	3854	262	40057	24849	0	20733	0	true							
344852	17850	0	7558	25227	0	38749	0	0	248	0	59239	0	3758		8455	31520	2892	31191	55233	0	248	0	248	0	2633	5742	1103	91	8375	0	300	0	0	1115	300	0	300	0	true							
345309	526689	0	30531	71084	0	141145	0	0	731	0	730225	0	79827		72727	64814	45116	110614	650398	0	0	13114	731	731	16172	31731	37067	14933	47233	8893	13678	15680	569	27176	38819	0	22570	0	false							
345345	26833	0	685	24361	0	97841	0	0	0	0	132549	0	14134		43408	29522	10204	97040	118415	116	0	364	0	0	6267	22446	34066	4856	28713	0	3952	3630	976	24227	8558	0	3952	0	false							
345747	241400	0	10364	21699	0	37372	0	0	34366	0	411308	0	69983		29216	60067	4398	27008	341325	0	0	1464	0	0	25333	16983	7867	1059	38735	20237	16443	21614	304	22026	58599	14717	36680	0	false							
345756	27365	0	1466	73827	0	87163	0	0	2848	0	193451	0	8672		49257	74260	11651	85697	184779	0	0	3062	2848	2848	10993	34432	18694	18035	45425	772	6177	739	1984	32897	9672	0	6949	0	true							
345877	29699	0	2947	105520	0	105520	0	0	25640	0	132670	0	20320		37581	13428	7865	102573	112100	0	250	868	25640	25640	16545	24298	15467	3964	40843	7419	17172	4680	0	22693	29270	0	24591	0	true							
