"IDRSSD"	RCFN2133	RCFN2898	
	TOTAL IBF ASSETS	TOTAL IBF LIABILITIES	
398248			
398350			
398631			
398668			
398837			
399357			
399517			
399731			
400057			
400141			
400365			
400552			
400758			
400767			
400945			
401148			
401447			
401559			
401755			
401906			
401951			
402462			
402846			
403067			
403106			
403151			
403254			
403357			
403656			
403937			
403946			
404653			
404943			
405959			
406022			
406059			
406666			
406974			
407168			
407506			
407645			
407850			
408147			
408307			
408642			
409265			
409649			
410159			
410560			
410748			
410917			
410944			
411053			
411062			
411231			
411240			
411512			
411549			
411576			
411624			
411651			
412135			
412153			
412452			
412555			
412667			
412751			
412845			
413141			
413208	1027671	15199361	
413347			
413543			
413646			
413730			
413758			
413851			
414102			
414652			
414764			
414858			
415855			
416245			
416272			
416339			
416348			
416357			
416656			
416674			
417149			
417251			
417626			
417710			
418100			
418249			
418436			
418856			
419255			
419406			
419460			
419675			
419947			
420457			
420644			
420653			
420934			
421445			
421539			
422059			
422116			
422433			
422657			
423159			
423449			
423458			
423636			
423739			
423841			
424156			
424240			
424343			
424352			
424437			
424633			
425050			
425108			
425818			
425845			
425911			
425957			
425975			
426057			
426141			
426534			
426758			
426945			
427241			
427353			
427456			
427858			
427960			
428060			
428462			
428547			
428631			
428855			
428958			
429021			
430036			
430054			
430344			
430670			
430858			
431172			
431323			
431350			
431743			
431846			
431958			
432012			
432058			
432432			
433158			
433505			
433550			
433608			
433859			
433943			
434203			
434539			
435059			
435255			
435349			
435358			
435666			
435750			
436131			
436159			
436542			
436711			
436739			
436823			
436953			
437044			
437053			
437138			
437455			
438050			
438434			
439132			
439338			
439356			
439404			
439459			
439730			
440110			
440259			
440446			
440857			
441050			
441078			
441135			
441256			
441359			
441434			
441630			
442057			
442244			
442655			
442758			
442776			
442806			
443148			
443205			
443353			
443625			
443634			
444051			
444350			
444556			
444677			
444958			
445852			
445955			
446130			
446149			
446877			
447034			
447070			
447100			
447342			
447557			
447874			
448040			
448554			
449038			
449430			
449832			
449841			
450034			
450632			
450641			
450650			
450669			
450753			
450856			
450959			
451068			
451246			
451853			
451965	0	9309000	
452104			
452159			
452739			
452841			
452850			
453026			
453147			
453446			
453839			
454340			
454546			
454658			
455150			
455253			
455459			
455552			
455945			
455972			
456045			
456054			
456157			
456250			
456344			
456447			
456456			
456755			
456960			
457060			
457220			
457426			
457547			
457659			
457752			
458049			
458142			
458544			
458553			
458665			
458946			
459046			
459130			
459354			
459372			
459448			
459644			
459671			
460033			
460332			
460341			
460350			
460556			
460770			
461058			
462756			
463203			
463342			
463605			
463650			
463735			
464255			
464750			
464853			
465038			
465243			
465337			
465524			
465618			
465672			
466044			
466240			
466549			
466642			
466754			
466857			
466932			
467144			
467265			
467658			
467733			
467957			
468673			
468806			
468954			
469250			
469362			
469559			
469737			
470032			
470050			
470434			
470452			
470724			
471057			
471217			
471749			
472018			
472045			
472148			
472250			
472531			
472616			
472643			
472652			
472858			
472951			
472979			
473042			
473257			
473266			
473341			
473501			
473930			
474058			
474245			
474254			
474357			
474450			
474544			
474656			
474759			
474919			
475046			
475345			
475354			
475363			
475653			
475756			
476070			
476276			
476342			
476445			
476454			
476539			
476810	5429000	26448000	
476968			
477059			
477303			
477321			
477349			
477376			
477639			
477648			
477844			
478140			
478195			
478252			
478430			
478533			
478766			
478944			
479053			
479071			
479268			
479370			
479446			
479567			
479754			
479839			
479914			
480059			
480228	5409960	5219767	
480246			
480330			
480433			
480723			
480750			
480853			
481140			
481159			
481177			
481355			
481430			
481542			
481627			
481748			
481944			
482053			
482156			
482370			
482446			
483032			
483274			
483537			
483751			
484057			
484141			
484927			
485054			
485139			
485214			
485353			
485456			
485559	11275	531	
485652			
486248			
486752			
487142			
487236			
487357			
487843			
488055			
488167			
488318			
488420			
488439			
488653			
488756			
489016			
489155			
489249			
489548			
489623			
489641			
489913	0	0	
490179			
490348			
490450			
490535			
490544			
490843			
490937			
490955			
491224			
491251			
491402			
491653			
491822			
491934			
492650			
492810			
493013			
493077			
493143			
493152			
493741			
493844			
494168			
494261			
494654			
495044			
495277			
495419			
495558			
495857			
496434			
496845			
496957			
497039			
497404			
497655			
497851			
497954			
497972			
498148			
498317			
498362			
498456			
498531			
498625			
498746			
498942			
499154			
499453			
499501			
499538			
499743			
