"IDRSSD"	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	RIADC781	
	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	AMT OF ALLOWNCE FOR POST-ACQUISTN LO	
95051	3714	2578	271	0	4261	3396	0			0	25	
95677	996	-43	37	0	1158	156	0					
96553	1628	360	17	0	1507	256	0					
97055	3187	90	8	0	3198	109	0					
97279	223	41	13	0	190	21	0					
97457	896	104	17	0	789	14	0					
97804	9635	1150	354	0	9124	993	0					
97943	1749	355	0	0	1516	122	0					
98351	295	68	11	0	222	6	0					
98463	5267	675	39	0	4561	8	0				0	
98717	2232	0	0	0	2228	0	4			0	0	
99143	1399	260	39	0	1367	267	0					
99255	1007	0	1	0	1015	9	0			0	0	
99376	14854	303	466	0	15171	1086	0				0	
99442	4062	250	328	0	4308	824	0					
99536	3799	1180	112	0	2935	428	0					
99853	175	11	3	0	185	24	0					
100236	3798	270	149	0	3611	232	0					
100357	5312	2041	158	0	5803	2690	0					
100562	31603	1777	1443	0	30323	1940	0			0	110	
100777	4411	3585	6	0	1325	505	0					
100843	5768	805	68	0	5373	478	0					
101019	54376	15436	3023	0	43943	8026	0			0	0	
101037	12786	0	1033	0	12317	564	0				0	
101439	2602	0	42	0	2790	230	0				0	
101671	3309	520	162	0	3063	436	0				0	
101738	1348	250	139	0	1392	433	0					
101952	1102	0	0	0	1104	2	0					
102155	308	45	6	0	257	0	0					
102333	562	0	0	0	565	3	0					
102342	2230	68	3	0	2172	13	0					
102539	263	19	0	0	245	1	0					
102557	730	45	0	0	687	2	0					
102874	444	0	1	0	476	33	0				0	
103134	590	0	1	0	590	1	0			0	0	
103255	24078	3243	2273	0	22895	4327	-6			0	0	
103563	306	51	54	0	207	6	0					
104234	307	23	23	0	291	30	0					
104542	138	24	0	0	181	67	0					
104971	281	75	7	0	206	7	0					
105026	3141	914	91	0	4121	1985	0					
105222	1517	-484	70	0	2126	195	0					
105473	9060	225	24	0	8853	63	21	0	0	0	0	
105530	778	95	34	0	760	111	0					
106359	12050	1000	679	0	11616	1245	0				0	
106452	2976	0	150	0	2892	66	0					
106676	854	54	0	0	800	0	0					
107244	98200	57126	3213	0	94120	56259	0			0	0	
107459	202	63	7	0	134	2	0					
107570	2727	0	208	0	2747	228	0					
107758	428	45	359	0	427	403	0					
108072	1428	-3	1	0	1436	6	0					
108269	755	23	28	0	734	30	0					
108652	200	0	2	0	198	0	0					
108746	143	11	0	0	142	10	0					
108951	2384	275	186	0	2204	281	0					
109136	1329	-375	20	0	1684	0	0					
109154	608	18	2	0	599	11	0					
109453	1193	225	5	0	975	12	0					
109574	2945	38	15	0	2932	40	0					
109659	2565	180	54	0	2460	129	0					
110413	4419	1296	34	0	4656	1567	0				0	
110936	4894	709	5	0	4372	192	0					
110945	2816	-385	168	0	3841	808	0					
110972	120	26	3	0	106	15	0				0	
111157	465	0	0	0	470	5	0			0	0	
111205	4333	519	68	0	3805	59	0					
111661	857	36	15	0	833	27	0					
111942	3225	575	98	0	2772	220	0					
111979	6346	0	38	0	6389	81	0					
112163	14441	1750	243	0	12859	411	0				0	
112332	1070	47	63	0	1067	107	0					
112444	6467	11055	1542	0	3817	9947	0					
112510	393	0	0	0	393	0	0					
112556	615	18	16	0	581	0	0					
112837	2191411	907813	760090	14822	2394995	1856665	0	54165	0	0	0	
113003	1291	0	2	0	1299	10	0				0	
113030	2528	135	3	0	2398	8	0					
113441	5717	473	162	0	5301	219	0					
113601	8637	-281	0	0	8919	1	0					
113740	7037	525	504	0	6060	52	0				0	
113937	1793	123	79	0	1700	109	0					
114149	1434	488	0	0	1310	364	0					
114251	914	4	16	0	896	2	0					
114260	19100	1483	506	0	17825	714	0			0	0	
114457	3800	173	421	0	3350	144	0					
114774	513	0	0	0	567	54	0				0	
114840	2937	180	84	0	2688	15	0					
114859	570	25	1	0	545	1	0					
115100	2265	480	26	0	1894	135	0					
115146	750	0	13	0	737	0	0					
115575	1510	190	24	0	1376	80	0					
116358	252	36	1	0	246	31	0					
116554	56	0	0	0	56	0	0					
116741	1276	68	0	0	1209	1	0					
117038	1178	0	33	0	1172	27	0			0	0	
117074	1581	120	1	0	1461	1	0					
117458	5007	450	20	0	4541	4	0					
117672	1519	164	2	0	1353	0	0					
117775	1081	192	5	0	1432	548	0			0	0	
118156	1210	600	10	0	603	3	0					
118660	1410	0	0	0	1410	0	0					
118736	2120	0	13	0	2155	48	0					
119153	2568	90	49	0	2616	187	0				0	
119528	6360	980	61	0	6127	808	0					
119779	7810	0	375	0	7590	155	0				0	
119872	2906	100	2	0	2804	0	0					
120476	375	15	0	0	360	0	0					
120542	3271	450	838	0	2787	804	0				0	
120609	7032	810	121	0	6500	399	0				0	
120953	1368	0	1	0	1367	0	0					
121642	18326	4923	2894	0	19000	8491	0			0	0	
121651	669	0	29	0	641	1	0					
121679	3722	212	32	0	3779	301	0					
121914	3028	0	24	0	3156	152	0					
122153	289	10	36	0	256	13	0					
122546	455	83	22	0	426	76	0					
122854	42166	6950	66	0	39402	4252	0				0	
123075	711	0	0	0	757	46	0					
123374	870	45	33	0	835	43	0				0	
123646	8341	800	259	0	7549	267	0					
124344	5125	446	19	0	4700	40	0			0	0	
124830	1039	0	28	0	1183	172	0					
125154	2918	3060	1439	0	2728	4309	0				0	
125471	91365	35500	2316	0	77907	24358	0				286	
125855	6697	626	807	0	6975	1711	0					
125873	1380	-150	2	0	1530	2	0					
125958	203	20	5	0	179	1	0					
126012	3771	780	58	0	3510	577	0					
126049	1647	50	19	0	1611	33	0					
126375	610	11	0	0	631	11	-21					
126553	1899	300	1	0	1601	3	0				0	
126740	5877	0	178	0	7212	1513	0					
126834	1850	407	99	0	1588	244	0					
127055	835	185	50	0	600	0	0					
127224	2079	238	48	0	1973	180	0					
128258	132	46	4	0	89	7	0					
128904	82690	11500	3493	0	74111	6414	0				598	
129349	1153	63	143	0	1149	202	0					
129358	592	115	1	0	478	2	0				0	
129479	3423	228	9	0	3329	143	0					
129732	23424	14913	1033	0	16706	9228	0			0	2995	
129853	1700	2	268	0	1700	270	0					
129910	3857	220	43	0	3740	146	0					
130345	6595	0	201	0	6729	335	0					
130541	17798	2378	898	0	16394	1872	0				0	
130813	3033	450	237	0	2359	13	0					
131034	2771	160	21	0	2651	61	0					
131173	7731	925	113	0	7107	414	0				0	
131418	2626	428	109	0	2349	260	0				0	
131436	3794	270	37	0	3512	25	0			0	0	
131650	64540	13429	2444	0	64023	15356	0				1205	
131717	745	23	22	0	757	57	0			0	0	
131940	972	45	1	0	1087	161	0					
132107	8128	948	53	0	8951	1824	0					
132451	934	29	2	0	904	1	0					
132554	5145	200	290	0	5038	383	0			0	0	
132778	409	0	37	0	384	12	0					
132938	540	0	10	0	553	23	0					
133579	3669	0	190	0	3824	345	0				0	
133850	11183	567	1097	0	10258	739	0			0	0	
133971	3062	244	59	0	3079	320	0					
134156	1928	135	11	0	1814	32	0					
134437	8423	1200	375	0	7863	1015	0			0	0	
134455	916	35	3	0	936	58	0					
134848	1293	0	20	0	1273	0	0					
135836	2923	920	222	0	2240	459	0				0	
135854	841	0	23	0	820	2	0					
136048	1250	524	20	0	1329	623	0					
136338	2066	109	47	0	2020	110	0					
136459	306	0	0	0	306	0	0					
136655	750	0	13	0	823	86	0					
