"IDRSSD"	RCFD0426	RCFD2150	RCFD2651	RCFD3164	RCFD3190	RCFD4088	RCFD5507	RCFD6164	RCFD6165	RCFDA590	RCFDB026	RCFDB569	RCFDB570	RCFDB571	RCFDF055	RCFDF056	RCFDF057	RCFDF058	RCFDF059	RCFDF060	RCFDF061	RCFDF062	RCFDF063	RCFDF065	RCFDJ461	RCFDJ462	RCFDK183	RCFDK192	RCFDK193	RCFDK194	RCFN5513	RCFNK260	RCON0426	RCON2150	RCON2651	RCON3164	RCON3190	RCON4088	RCON5507	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB026	RCONB569	RCONB570	RCONB571	RCONC979	RCONF055	RCONF056	RCONF057	RCONF058	RCONF059	RCONF060	RCONF061	RCONF062	RCONF063	RCONF064	RCONF065	RCONG463	RCONG464	RCONJ461	RCONJ462	RCONK169	RCONK170	RCONK171	RCONK172	RCONK173	RCONK174	RCONK175	RCONK176	RCONK177	RCONK183	RCONK187	RCONK188	RCONK189	RCONK190	RCONK191	RCONK192	RCONK193	RCONK194	RCONL133	RCONL135	RCONN517	RCONN518	RCONN519	RCONN520	RCONN521	RCONN522	RCONN523	RCONN524	RCONN527	TE01N528	TE01N529	TE02N528	TE02N529	TE03N528	TE03N529	TE04N528	TE04N529	TE05N528	TE05N529	TE06N528	TE06N529	TE07N528	TE08N528	TE09N528	TE10N528	TEXT4087	
942454																																	0	38	0	0	0	true	0	0	0	38	0	0	212	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false																			0	0			false	false	false	false																						https://www.peoplesok.com	
942539																																	159	166	0	159	0	true	0	71	36	59	0	0	662	0	230	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false																			0	0			true	false	false	false																						http://www.peoplesbankbyrdstown.com	
942847																																	0	174	0	0	0	true	0	0	0	36	0	138	887	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			false	true	false	false																						http://www.bodcawbank.com	
943143																																	0	0	5465	0	5465	true	0	0	0	0	0	0	0	0	0	0	false	0	0	0	5465	0	0	0	0	0	0	0	0	0	0	true	false																			0	0			true	false	false	false																						www.valleybankmapleton.com	
943152																																	0	0	1500	0	1500	true	0	0	0	0	0	0	0	0	0	0	false	0	0	0	1500	0	0	0	0	0	0	0	0	0	0	true	false																			0	0			true	false	false	true																						http://www.fsbfountain.com	
943273																																	0	0	0	0	2468	true	0	0	0	0	0	0	1393	2	0	0	false	0	0	0	0	125	0	2343	0	0	0	0	0	0	0	false	false																			0	0	1	true	false	false	false	false																						www.peoplessavingsonline.com	
943675																																	0	50	0	0	0	true	0	0	0	50	0	0	3659	2	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	true																			0	0			false	false	false	false																						www.mymechanics.com	
943853																																	0	0	0	0	0	true	0	0	0	0	0	0	310	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false																			0	0			true	false	false	false						froststatebank.com																froststatebank.com	
943974																																	0	623	0	0	0	true	0	504	0	0	0	119	1657	1	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false																			0	0	1	true	false	false	false	false																						www.firstfederalbanknc.com	
944047																																	808	288	4000	808	7000	true	0	0	0	115	0	173	416	0	808	0	false	0	0	0	4000	0	0	3000	0	0	0	0	0	0	0	true	false																			0	0			true	false	false	false																						http://www.napoleonstatebank.com	
944337																																	0	182	0	0	0	true	0	116	0	66	0	0	4301	3	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false																			0	0			true	true	false	false						www.facebook.com/centurybankandtrustmilledgeville																www.centurybankonline.com	
944355																																	0	300	0	0	0	true	0	0	0	0	0	300	1207	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			true	false	false	false																						https:\\www.firstnationalbanks.com	
944551																																	0	0	0	0	0	true	0	0	0	0	0	0	1455	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false																			0	0			true	false	false	false																						http://www.chouteauboc.com	
944627																																	0	136	23900	0	23900	true	0	78	0	58	0	0	1714	1	0	0	true	0	0	0	23900	0	0	0	0	0	0	0	0	0	0	true	false																			0	0			true	false	false	false						https://www.cnb.bank																http://https://www.cnbwv.com	
944739																																	0	553	0	0	0	true	0	171	0	179	0	203	68	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false																			0	0			false	false	false	false																						http://www.bankoflafayette.com	
944748																																	0	66	0	0	0	true	0	0	0	66	0	0	1825	2	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	true																			0	0			false	false	false	false																						http://www.fsbmarcus.com	
944935																																	0	64	0	0	0	true	0	0	0	64	0	0	1334	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false																			0	0			false	false	false	false																						www.statebankofindustry.com	
945026																																	0	0	1275	0	1275	true	0	0	0	0	0	0	595	0	0	0	true	0	0	0	1275	0	0	0	0	0	0	0	0	0	0	true	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			true	false	false	false																						WWW.cbthebank.com	
945053																																	11057	2596	488	0	814	true	11057	1827	0	753	0	16	22484	2	0	0	true	0	0	0	488	89	237	0	0	0	0	0	0	0	0	true	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			true	false	false	false																						http://www.rcbbank.net	
945071																																	0	1629	0	0	0	true	0	0	0	150	0	1479	1194	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false																			0	0	1	true	true	false	false	false																						www.slvfed.com	
945950																																	0	0	0	0	0	true	0	0	0	0	0	0	1115	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			false	false	false	false																						www.grandmaraisstatebank.com	
946171																																	117	0	13100	117	30319	true	0	0	0	0	0	0	4403	1	282	0	false	0	0	0	13100	13945	3250	24	0	0	0	0	0	0	0	false	false																			0	0			true	false	false	false																						www.beverlybank.com	
946274																																	551	135	0	551	0	true	0	0	0	135	0	0	4254	1	551	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false																			0	0			false	false	false	false																						www.bedfed.com	
946461																																	0	0	0	0	0	true	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			false	false	false	false																						WWW.FBMULESHOE.COM	
946555																																	0	527	0	0	0	true	0	0	0	527	0	0	327	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false																			0	0			true	false	false	false		1	77	312	0	www.llanonationalbank.com	www.hillcountrynationalbank.com															www.llanonationalbank.com	
947525																																	0	500	13477	0	13477	true	0	0	0	0	0	500	820	0	0	0	false	0	0	0	13477	0	0	0	0	0	0	0	0	0	0	true	false																			0	0			false	false	false	false																						http://www.marioncenterbank.com	
947628																																	0	51	1000	0	1000	true	0	8	0	43	0	0	629	0	0	0	false	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	false	false																			0	0			false	false	false	false																						www.peoplescommunitybank.biz	
947655																																	1012	168	0	0	2500	true	1012	168	0	0	0	0	3846	2	0	0	false	0	0	0	0	2500	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			false	false	false	false																						www.csbmidwest.com	
947749																																	0	91	0	0	0	true	0	0	0	0	0	91	2597	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			false	false	false	false																						www.nssb.bank	
947776																																	411	0	0	411	12000	true	0	0	0	0	0	0	4211	2	568	0	true	0	0	0	0	12000	0	0	0	0	0	0	0	0	0	false	false																			0	0			true	false	false	false																						http://charlesriverbank.com	
948036																																	0	0	30	0	1146	true	0	0	0	0	0	0	23	0	0	0	false	0	0	0	30	535	20	561	0	0	0	0	0	0	0	true	false																			0	0			false	false	false	false																						www.joystatebank.com	
