"IDRSSD"	RCFD2221	RCFD3210	RCFD3792	RCFD4336	RCFD5306	RCFD5310	RCFD5311	RCFD5610	RCFD7204	RCFD7205	RCFD7206	RCFD7273	RCFD7274	RCFD7275	RCFD8274	RCFD8275	RCFD8434	RCFDA221	RCFDB503	RCFDB504	RCFDB505	RCFDB588	RCFDB589	RCFDB590	RCFDB591	RCFDB592	RCFDB593	RCFDB594	RCFDB595	RCFDC227	RCFDC228	RCFDF264	RCFDL136	RCFDL137	RCFDL138	RCON2221	RCON3210	RCON3792	RCON4336	RCON5306	RCON5310	RCON5311	RCON5610	RCON7204	RCON7205	RCON7206	RCON7273	RCON7274	RCON7275	RCON8274	RCON8275	RCON8434	RCONA221	RCONB503	RCONB504	RCONB505	RCONB588	RCONB589	RCONB590	RCONB591	RCONB592	RCONB593	RCONB594	RCONB595	RCONC227	RCONC228	RCONF264	RCONL136	RCONL137	RCONL138	
139740																																				0	142881	157164	1321	0	13283	13283	0	0.099758	0.134510	0.123141	0.000000	0.000000	0.000000	143881	13283	-2458	111	0	0	0	0	0	0	0	-26	0	0	0	143907	0	0	1442333	-26	1442307	
139834																																				0	9342	10414	0	0	635	635	0	0.1167	0.2051	0.1926	0.0000	0.0000	0.0000	9779	635	-501	64	0	0	0	0	0	0	0	0	0	0	0	9779	0	0	83812	0	83812	
139843																																				0	126016	127688	33	0	12370	12370	0	0.093717	0.129086	0.116580	0	0	0	115318	12370	-400	0	0	0	0	0	0	10767	298	0	0	0	0	115616	0	0	1241551	0	1230486	
139955																																				0	9198	9416	0	0	582	582	0	0.1000	0.1689	0.1584	0.0000	0.0000	0.0000	8834	582	0	0	0	0	0	0	0	364	0	0	0	0	0	8834	0	0	88697	0	88333	
140018																																				0	156681	158989	0	1400	13293	14693	0	0.104982	0.145261	0.131837	0.000000	0.000000	0.000000	144296	14693	-1627	0	0	0	0	0	0	13706	306	0	0	0	0	144602	0	0	1388501	0	1374489	
140157																																				0	29925	30822	0	0	1866	1866	0	0.110588	0.174933	0.164343	0	0	0	28956	1866	-411	0	0	0	0	0	0	1380	0	0	0	0	0	28956	0	0	263216	0	261836	
140362																																				0	97889	104674	0	0	9090	9090	0	0.1220	0.1456	0.1330	0.0000	0.0000	0.0000	95584	9090	889	0	0	0	0	0	0	1416	0	0	0	0	0	95584	0	0	785038	0	783622	
140634																																				0	5356	7124	0	0	369	369	0	0.091190	0.169591	0.160807	0	0	0	6755	369	-1399	0	0	0	0	0	0	0	0	0	0	0	0	6755	0	0	74076	0	74076	
141211																																				0	35289	38366	0	0	3179	3179	0	0.0978	0.1514	0.1388	0.0000	0.0000	0.0000	35187	3179	102	0	0	0	0	0	0	0	0	0	0	0	0	35187	0	0	359741	0	359741	
141341																																				0	24976	27056	0	0	1824	1824	0	0.1139	0.1872	0.1746	0.0000	0.0000	0.0000	25232	1824	-256	0	0	0	0	0	0	0	0	0	0	0	0	25232	0	0	221598	0	221598	
141350																																				0	4990	6214	0	0	391	391	0	0.098282	0.120871	0.113266	0	0	0	5823	391	-833	0	0	0	0	0	0	0	0	0	0	0	0	5823	0	0	59248	0	59248	
141453																																				0	2569	2782	0	0	309	309	123	0.071499	0.113380	0.100787	0.000000	0.000000	0.000000	2473	309	-27	0	0	0	0	0	0	0	0	0	0	0	0	2596	0	0	34711	0	34588	
141556																																				54	247803	261043	0	0	15942	15996	0	0.165727	0.208653	0.195867	0.000000	0.000000	0.000000	245047	15996	1738	0	0	0	0	0	0	1018	0	0	0	0	0	245047	0	0	1479639	0	1478621	
141677																																				0	11314	11492	0	0	183	183	0	0.189589	0.528222	0.519811	0	0	0	11309	183	5	0	0	0	0	0	0	0	0	0	0	0	0	11309	0	0	59650	0	59650	
141958																																				0	21630	21717	0	0	718	718	0	0.1738	0.3796	0.3670	0.0000	0.0000	0.0000	20999	718	631	0	0	0	0	0	0	0	0	0	0	0	0	20999	0	0	120802	0	120802	
142049																																				0	11517	12643	0	0	916	916	0	0.096359	0.172645	0.160137	0.000000	0.000000	0.000000	11727	916	-210	0	0	0	0	0	0	0	0	0	0	0	0	11727	0	0	121701	0	121701	
142179																																				87	36820	37182	0	0	360	447	0	0.2204	0.7667	0.7575	0.0000	0.0000	0.0000	36735	447	85	0	0	0	0	0	0	0	0	0	0	0	0	36735	0	0	166662	0	166662	
142571																																				0	19474	19839	0	0	641	641	307	0.183543	0.303943	0.294123	0.000000	0.000000	0.000000	19198	641	-31	0	0	0	0	0	0	0	0	0	0	0	0	19505	0	0	104904	0	104597	
142656																																				0	8992	10086	0	0	801	801	0	0.0939	0.1596	0.1469	0.0000	0.0000	0.0000	9285	801	-361	0	0	0	0	0	0	68	0	0	0	0	0	9285	0	0	98983	0	98915	
142955																																				0	84275	75150	0	800	7787	8587	14406	0.0842	0.1222	0.1082	0	0	0	66563	8587	354	0	0	0	0	0	0	2952	0	0	0	0	0	80969	0	0	807988	0	790630	
143073																																				0	39976	42040	0	0	1663	1663	0	0.141530	0.277750	0.266763	0	0	0	40377	1663	-401	0	0	0	0	0	0	0	0	0	0	0	0	40377	0	0	285289	0	285289	
143372																																				0	12212	12765	0	0	857	857	0	0.0989	0.1805	0.1684	0	0	0	11908	857	-64	0	0	0	0	0	0	368	0	0	0	0	0	11908	0	0	120750	0	120382	
143662																																				0	1855906	1186521	0	0	98398	98398	4279	0.1001	0.1358	0.1246	0	0	0	1088123	98398	-179	0	0	0	0	0	0	758700	4983	0	0	0	0	1097385	0	0	11635102	0	10867140	
143859																																				0	10361	9033	0	0	591	591	0	0.0903	0.1084	0.1013	0.0000	0.0000	0.0000	8442	591	-58	0	0	0	0	0	0	1977	0	0	0	0	0	8442	0	0	95471	0	93494	
143952																																				0	13383	12895	0	0	1243	1243	0	0.0723	0.1315	0.1188	0.0000	0.0000	0.0000	11652	1243	-14	0	0	0	0	0	0	1659	86	0	0	0	0	11738	0	0	162991	0	161246	
144034																																				0	37314	39595	0	0	2281	2281	0	0.1721	0.2177	0.2051	0.0000	0.0000	0.0000	37314	2281	0	0	0	0	0	0	0	0	0	0	0	0	0	37314	0	0	216831	0	216831	
144052																																				0	32726	35489	0	0	3345	3345	0	0.0832	0.1328	0.1203	0.0000	0.0000	0.0000	32144	3345	179	0	0	0	0	0	0	403	0	0	0	0	0	32144	0	0	386705	0	386302	
144155																																				0	22340	28824	0	0	2322	2322	0	0.0881	0.1559	0.1433	0.0000	0.0000	0.0000	26502	2322	-4162	0	0	0	0	0	0	0	0	0	0	0	0	26502	0	0	300924	0	300924	
144436																																				0	21501	22941	0	0	1488	1488	0	0.0923	0.1604	0.1500	0.0000	0.0000	0.0000	21453	1488	48	0	0	0	0	0	0	0	0	0	0	0	0	21453	0	0	232339	0	232339	
144678																																				0	63636	60931	0	0	2442	2442	0	0.128116	0.313465	0.300902	0	0	0	58489	2442	0	0	0	0	0	0	0	0	0	-5147	0	0	0	63636	0	0	461678	-5147	456531	
144856																																				0	17694	18822	357	0	1597	1597	0	0.0848	0.1475	0.1349	0.0000	0.0000	0.0000	17225	1597	112	0	0	0	0	0	0	0	0	0	0	0	0	17225	0	0	203100	0	203100	
144913																																				0	52594	54775	0	0	1646	1646	0	0.1734	0.3323	0.3223	0.0000	0.0000	0.0000	53129	1646	-535	0	0	0	0	0	0	0	0	0	0	0	0	53129	0	0	306406	0	306406	
145059																																				0	7758	7854	0	0	473	473	0	0.1108	0.2078	0.1953	0.0000	0.0000	0.0000	7381	473	377	0	0	0	0	0	0	0	0	0	0	0	0	7381	0	0	66624	0	66624	
145545																																				0	36065	36979	0	0	1832	1832	0	0.0949	0.2038	0.1937	0.0000	0.0000	0.0000	35147	1832	918	0	0	0	0	0	0	0	0	0	0	0	0	35147	0	0	370273	0	370273	
145554																																				0	15667	16788	0	0	1313	1313	488	0.084028	0.160712	0.148143	0.000000	0.000000	0.000000	15475	1313	-296	0	0	0	0	0	0	0	0	0	0	0	0	15963	0	0	184653	0	184165	
145741																																				0	20325	21220	0	0	1151	1151	0	0.1071	0.1744	0.1650	0.0000	0.0000	0.0000	20069	1151	256	0	0	0	0	0	0	0	0	0	0	0	0	20069	0	0	187338	0	187338	
145750																																				0	11585	11639	0	0	574	574	0	0.110871	0.255096	0.242515	0.000000	0.000000	0.000000	11065	574	520	0	0	0	0	0	0	0	0	0	0	0	0	11065	0	0	99801	0	99801	
145844																																				0	35982	37129	0	0	1838	1838	0	0.1273	0.2544	0.2418	0.0000	0.0000	0.0000	35291	1838	-149	0	0	0	0	0	0	820	20	0	0	0	0	35311	0	0	277982	0	277142	
145956																																				0	5761	6255	0	0	494	494	0	0.0890	0.1307	0.1203	0.0000	0.0000	0.0000	5761	494	0	0	0	0	0	0	0	0	0	0	0	0	0	5761	0	0	64708	0	64708	
