"IDRSSD"	RCFA3792	RCFA5310	RCFA5311	RCFA7204	RCFA7205	RCFA7206	RCFA8274	RCFAA223	RCFAA224	RCFAB530	RCFAB596	RCFAP742	RCFAP793	RCFAP839	RCFAP840	RCFAP841	RCFAP842	RCFAP843	RCFAP849	RCFAP850	RCFAP851	RCFAP852	RCFAP853	RCFAP854	RCFAP855	RCFAP856	RCFAP857	RCFAP858	RCFAP859	RCFAP860	RCFAP861	RCFAP862	RCFAP863	RCFAP864	RCFAP865	RCFAP866	RCFAP867	RCFAP868	RCFAP870	RCFAP872	RCFAP875	RCFAQ257	RCFAQ258	RCFD3368	RCFD3632	RCFW3792	RCFW5310	RCFW5311	RCFW7205	RCFW7206	RCFWA223	RCFWP793	RCFWP870	RCOA3792	RCOA5310	RCOA5311	RCOA7204	RCOA7205	RCOA7206	RCOA8274	RCOAA223	RCOAA224	RCOAB530	RCOAB596	RCOAP742	RCOAP793	RCOAP838	RCOAP839	RCOAP840	RCOAP841	RCOAP842	RCOAP843	RCOAP849	RCOAP850	RCOAP851	RCOAP852	RCOAP853	RCOAP854	RCOAP855	RCOAP856	RCOAP857	RCOAP858	RCOAP859	RCOAP860	RCOAP861	RCOAP862	RCOAP863	RCOAP864	RCOAP865	RCOAP866	RCOAP867	RCOAP868	RCOAP870	RCOAP872	RCOAP875	RCOAQ257	RCOAQ258	RCON3368	RCON3632	RCOW3792	RCOW5310	RCOW5311	RCOW7205	RCOW7206	RCOWA223	RCOWP793	RCOWP870	
58636																																																																																																		255247	20432									
58757																																																																																																		142459	1608									
58971																																																																																																		4610560	391943									
59316																																																																																																		708555	61709									
59352																																																																																																		382727	36190									
59370																																																																																																		290290	40178									
59754																																																																																																		14284	771									
60143																																												66336777	4855385																																																															
60330																																																																																																		607784	39661									
60545																																																																																																		214071	15855									
60554																																																																																																		64473	2235									
60648																																																																																																		259746	22019									
61122																																																																																																		1337174	77508									
61177																																																																																																		54308	5804									
61355																																																																																																		714058	53526									
61476																																																																																																		176116	13071									
61757																																																																																																		232572	26739									
61832																																																																																																		201516	14025									
61953																																																																																																		68820	5667									
62044																																																																																																		23756	2143									
62110																																																																																																		10238	6426									
62147																																																																																																		71245	4096									
62772																																																																																																		419463	36003									
63050																																																																																																		150779	16430									
63069																																												30795141	1607687																																																															
63201																																																																																																		138796	11850									
63573																																																																																																		404776	0									
63733																																																																																																		659536	49102									
63742																																																																																																		217071	5969									
63751																																																																																																		9760	689									
64150																																																																																																		141722	8434									
64543																																																																																																		376648	24436									
64552																																																																																																		111459	5363									
64730																																																																																																		193371	-997									
65205																																																																																																		796412	140083									
65241																																																																																																		109899	4593									
