"IDRSSD"	RCFD0010	RCFD0022	RCFD0073	RCFD0074	RCFD0083	RCFD0085	RCFD0090	RCON0010	RCON0020	RCON0070	RCON0073	RCON0074	RCON0080	RCON0082	RCON0083	RCON0085	RCON0090	
	CASH AND DUE FROM DEPOSITORIES	CASH & CASH ITEMS IN PROCESS OF COLL	BAL WITH FGN BRCHS OF OTHER U.S. BKS	BAL WITH OTHER BKS IN FGN COUNTRIES	BALS DUE FR US BRNCHS&AGENC OF FGNBK	BALS DUE FR OTH DEPOSITORY INSTS-US	BALANCES WITH F. R. BKS (COML BK BOO	CASH AND DUE FROM DEPOSITORIES	CASH ITEMS IN PROCESS OF COLLECTION	BALANCES WITH BKS IN FGN COUNTRIES	BAL WITH FGN BRCHS OF OTHER U.S. BKS	BAL WITH OTHER BKS IN FGN COUNTRIES	CURR&COIN (U.S. & FGN) VAULT CASH	BALS DUE FROM DEPOSITORY INSTS IN US	BALS DUE FR US BRNCHS&AGENC OF FGNBK	BALS DUE FR OTH DEPOSITORY INSTS-US	BALANCES WITH F. R. BKS (COML BK BOO	
148809								26715	0		0	0	2008		0	3792	20915	
148920								1592										
149150								5793										
149253								13821										
149271								8761										
150035								28597	8869		0	0	9473		0	4471	5784	
150044								47572	0		0	0	2307		0	14163	31102	
150156								10046										
150352								9494										
150727								12380	2149		0	0	2795		0	5107	2329	
151546																		
151555								1703										
151751								17561	3521		0	0	1311		0	1234	11495	
151872								10358	187		0	0	2327		0	4221	3623	
151957								10762	2472		0	0	1855		0	6435	0	
152057								16947										
152253								6771										
152374								8065										
152431								7526										
152440								5033										
153054								14833	6854		0	0	2856		0	217	4906	
153353								22705	4667		0	0	2222		11366	0	4450	
154154								21642	8453		0	0	4033		0	3400	5756	
154257								54968	7897		0	0	3134		0	30164	13773	
154770								19419	0		0	0	794		0	11390	7235	
155245								12572	1064		0	0	2050		0	6802	2656	
155517								13681										
155759								1912										
155777								22547										
156457																		
156635								3438										
156952								10788										
156970								5858										
157155								1256										
157379								9965										
157650								18388										
157744								6371										
157856								4826										
157904								23759	2513		0	0	4340		0	2339	14567	
158376								33169										
158741								7988										
158750								5957										
159636								41001	88		0	0	10669		0	1096	29148	
159645								1906										
159953								8907										
159971								88803	0		0	0	1969		0	86834	0	
160360								22830										
160454																		
160557																		
160614	155906	0	0	0	0	155906	0	155906	0	0			0	155906			0	
160650								10160	3986		0	0	661		0	1323	4190	
160959								51720	14412		0	0	2731		0	1956	32621	
161273								35309	3248		0	0	2668		0	5617	23776	
161602								43705	18315		0	0	13392		0	2360	9638	
162337								53047	0		0	0	11186		0	34595	7266	
163343								5226										
163370								10957	616		0	0	1440		0	7831	1070	
163549								26530	75		0	0	5547		0	20767	141	
163857								22475										
164153								13268										
164331								50886										
164377								18605										
164854								21915										
164957								1861										
164975								1522										
165039								42984	3600		0	0	5662		0	6239	27483	
165628	133916	105019	0	232	0	4507	24158	133916	49092	232			55927	4507			24158	
165758								20343										
165806								13621	6431		0	0	4375		0	1530	1285	
166111								16289										
166531								21006										
166652								17469	270		0	0	2503		0	11127	3569	
166803								153091	12205		0	2163	7310		813	2012	128588	
166849								4808										
167060								17761	626		0	0	5034		0	11452	649	
167453								2031										
167565								1308	0		0	0	0		0	1308	0	
167752								2270										
167864								62737	1327		0	0	3066		0	40317	18027	
168357								13249										
168571								3524										
169327								11288										
169354								98336										
169653								208471	24135		0	0	55109		0	81887	47340	
169756								121934	2375		0	0	2840		0	73627	43092	
169952								2178										
170051								26556	3304		0	0	2321		0	4316	16615	
170257								7443										
170275								29128										
170332								9325										
170640																		
170976								3838										
171133	29830	1564	0	0	0	18389	9877	29830	89	0			1475	18389			9877	
171656								10988										
171759								7944										
171768								23698										
172158								3997										
172251								3578										
172457								13644	1486		0	0	2355		0	1552	8251	
172475								21508	2		0	0	3293		0	13316	4897	
172859								10508										
173306								17006	2538		0	472	1424		0	4211	8361	
173342								11717										
173548								5771										
173557								21824	2393		0	0	2378		0	733	16320	
173575								9144	0		0	0	2686		0	2155	4303	
173641								18315										
173959								12135										
174321								2632										
174367								1656										
174572								34526	15862		0	0	12809		0	1094	4761	
175056								11580										
175140								9935										
175458								4358	0		0	0	177		0	4181	0	
175609								12532										
175672								13174										
176053								5217	0		0	0	923		0	4294	0	
176101								9518	4333		0	0	3056		0	947	1182	
176325								3477										
176437								10308										
176464								24663	6644		0	0	5472		0	12430	117	
176642								14950										
177135								2544										
177443								6691										
177500								2300										
177546								5274										
177555								5136										
177751								203939	429		0	0	601		0	20909	182000	
177920								20846	4361		0	0	2250		0	3008	11227	
177957								24892	9301		0	0	6344		0	6903	2344	
178057																		
178150								16076										
178244								4003										
178271								944										
178356								3443										
178851								6331	21		0	0	2289		0	584	3437	
179148								9815										
179335								11114										
179700								6232	2122		0	0	1713		0	2080	317	
179755								10933										
180144								3563										
180443								1108										
180537								4906										
180845								4147										
181347								13688	0		0	0	1772		0	437	11479	
181963								5890										
182353								670										
182652								2108										
182951								19213										
183668								53203	1952		0	0	1931		0	21210	28110	
183770								6137	1925		0	0	2041		0	81	2090	
183846								4370										
183958								5131										
184142								10296	0		0	0	3297		0	3742	3257	
184245								2614										
184656								11488										
184759								2614										
185251								4151										
185448								3714										
