"IDRSSD"	RCONF066	RCONF067	RCONF068	RCONF069	RCONF070	RCONF071	RCONF072	RCONF073	RCONF670	RCONF671	RCONF672	RCONF673	RCONF674	RCONF675	RCONF676	RCONF677	RCONF678	RCONF679	RCONF680	RCONF681	RCONL191	RCONL192	RIADF184	RIADF560	
	RETAIL ORGTNS CLSD-END 1-4 FAM:1ST L	RETAIL ORGTNS CLSD-END 1-4 FAM: JR L	WHSL ORG PRCH 1T4 FIRST	WHSL ORG PRCH 1T4 JR	CLSD-END 1-4 FAM RESDTL MTGS:FIRST L	CLSD-END 1-4 FAM RESIDTL MTGS:JR LIE	CLOSED-END 1-4 FAM RESDTL MTGS:FST L	CLOSED-END 1-4 FAM RESDTL MTG:JR LIE	RTL ORGTN QTR 1-4 RES MTG LN TOT CMI	RTL ORGTN QTR 1-4 RES MTG LN PRNPL A	WHOL ORGTN QTR 1-4 RES MTG LN TOT CM	WHOL ORGTN QTR 1-4 RES MTG LN PRNPL 	1-4 RES MTG LN HLD SALE QTR TOT CMTM	1-4 RES MTG LN HLD SALE QTR PRNPL AM	1-4 RES MTG LN HLD SALE TOT CMTM CR	1-4 RES MTG LN HLD SALE QTR PRNPL CR	RPRH INDMN 1-4 RES MTG CL 1ST LIEN	RPRH INDMN 1-4 RES MTG CL JR LIEN	RPRH INDMN 1-4 RES MTG TOT CMTM OL	RPRH INDMN 1-4 RES MTG PRNPL AMT OL	REP AND WARRNTY TO US GOVT AGCY	REP AND WARRNTY TO OTHR PARTIES	NONINT INC FOR QTR FROM SALE 1-4 MTG	NONINT INC FROM SALE OE 1 TO 4 RES M	
83638	1493	0	0	0	3851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CONF	CONF	-42	0	
83834																					CONF	CONF			
83852																					CONF	CONF			
83955																					CONF	CONF			
84046																					CONF	CONF			
84055																					CONF	CONF			
84251																					CONF	CONF			
84541																					CONF	CONF			
84804																					CONF	CONF			
85052																					CONF	CONF			
85258																					CONF	CONF			
85454																					CONF	CONF			
85472	44430	0	0	0	42777	0	5734	0	0	0	0	0	0	0	0	0	0	0	0	0	CONF	CONF	1088	0	
85771																					CONF	CONF			
85931																					CONF	CONF			
86349																					CONF	CONF			
86358																					CONF	CONF			
86527	10732	0	0	0	11860	0	1947	0	0	0	0	0	0	0	0	0	0	0	0	0	CONF	CONF	-1	0	
86554																					CONF	CONF			
86675																					CONF	CONF			
87047																					CONF	CONF			
87159																					CONF	CONF			
87177																					CONF	CONF			
87234																					CONF	CONF			
87476																					CONF	CONF			
87579																					CONF	CONF			
88231	177764	0	0	0	162660	0	36664	0	0	0	0	0	0	0	0	0	0	0	0	0	CONF	CONF	2190	0	
88240																					CONF	CONF			
88259																					CONF	CONF			
88352																					CONF	CONF			
88455																					CONF	CONF			
88530																					CONF	CONF			
88772																					CONF	CONF			
88950																					CONF	CONF			
89032																					CONF	CONF			
89135																					CONF	CONF			
89751																					CONF	CONF			
89854																					CONF	CONF			
89957																					CONF	CONF			
90047																					CONF	CONF			
90177																					CONF	CONF			
90328																					CONF	CONF			
90337																					CONF	CONF			
90579																					CONF	CONF			
90645																					CONF	CONF			
90739																					CONF	CONF			
91101	31074	0	0	0	23792	0	9683	0	0	0	0	0	0	0	0	0	530	0	0	0	CONF	CONF	0	0	
91156																					CONF	CONF			
91259																					CONF	CONF			
91615																					CONF	CONF			
91651																					CONF	CONF			
91754																					CONF	CONF			
91950																					CONF	CONF			
92050																					CONF	CONF			
92144																					CONF	CONF			
92676																					CONF	CONF			
92706																					CONF	CONF			
92902																					CONF	CONF			
93244																					CONF	CONF			
93543																					CONF	CONF			
93619																					CONF	CONF			
93721	115379	0	0	0	110778	0	47862	190	0	0	0	0	0	0	0	0	0	0	0	0	CONF	CONF	852	0	
93758																					CONF	CONF			
94139																					CONF	CONF			
94456																					CONF	CONF			
94522																					CONF	CONF			
94755																					CONF	CONF			
94858																					CONF	CONF			
95051																					CONF	CONF			
95659																					CONF	CONF			
95677																					CONF	CONF			
96553																					CONF	CONF			
97055																					CONF	CONF			
97279																					CONF	CONF			
97457																					CONF	CONF			
97804																					CONF	CONF			
97943																					CONF	CONF			
98351																					CONF	CONF			
98454																					CONF	CONF			
98463																					CONF	CONF			
98548																					CONF	CONF			
98641	10575	8	0	0	11714	0	2736	8	0	0	0	0	0	0	0	0	0	0	0	0	CONF	CONF	0	0	
98717																					CONF	CONF			
99059	0	0	60234	0	54882	0	20142	0	0	0	0	0	0	0	0	0	0	0	0	0	CONF	CONF	0	0	
99143																					CONF	CONF			
99255																					CONF	CONF			
99376	45882	0	0	0	42478	0	13569	0	0	0	0	0	0	0	0	0	646	0	0	0	CONF	CONF	1396	0	
99442																					CONF	CONF			
99536																					CONF	CONF			
99853																					CONF	CONF			
99871																					CONF	CONF			
99974																					CONF	CONF			
100236																					CONF	CONF			
100357																					CONF	CONF			
100553																					CONF	CONF			
100562	46146	0	0	0	46694	0	5321	0	0	0	0	0	0	0	0	0	0	0	0	0	CONF	CONF	1151	0	
100777																					CONF	CONF			
100843																					CONF	CONF			
101019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CONF	CONF	0	0	
101037																					CONF	CONF			
101345																					CONF	CONF			
101439																					CONF	CONF			
101671																					CONF	CONF			
101738																					CONF	CONF			
101952																					CONF	CONF			
102155																					CONF	CONF			
102173																					CONF	CONF			
102333																					CONF	CONF			
102342																					CONF	CONF			
102539																					CONF	CONF			
102557																					CONF	CONF			
102874																					CONF	CONF			
103134																					CONF	CONF			
103255	14897	0	0	0	12824	0	4023	0	0	0	0	0	0	0	0	0	0	0	0	0	CONF	CONF	728	0	
103563																					CONF	CONF			
103602																					CONF	CONF			
104234																					CONF	CONF			
104430																					CONF	CONF			
104542																					CONF	CONF			
104971																					CONF	CONF			
105026																					CONF	CONF			
