"IDRSSD"	RIAD3210	RIAD3217	RIAD4340	RIAD4356	RIAD4415	RIAD4460	RIAD4470	RIADB507	RIADB508	RIADB509	RIADB510	RIADB511	
	TOTAL EQUITY CAPITAL	TOTAL EQUITY CAPITAL, ADJ PREV YR	NET INCOME	CHANGES IN TOTAL EQUITY CAP.-MERGERS	OTH TRANS WITH STCK HLDRS INCL PRNT 	LESS CASH DIV DECLRD-COMMON STOCK	LESS CASH DIV DECLRD-PREFERRED STOCK	RESTATEMENTS DUE TO CORRECTIONS, ETC	EQUITY CAP: END BAL PREV YR (RESTAT)	SALE,CONVRSN,ACQUSTN,RETIRE: CAP STK	TREASURY STOCK TRANSACTIONS, NET	OTHER COMPREHENSIVE INCOME	
380878	23721	23581	77	0	0	0	0	0	23581	0	0	63	
380944	9472	9637	224	0	0	401	0	0	9637	0	0	12	
381026	6953	6885	75	0	0	0	0	0	6885	0	0	-7	
381343	89303	87818	1484	0	0	0	0	0	87818	0	0	1	
381839	20930	20335	526	0	0	0	0	0	20335	0	0	69	
381932	30262	29700	375	0	0	0	0	0	29700	0	0	187	
381950	18962	18180	300	0	0	176	0	0	18180	0	0	658	
382050	31109	30177	659	0	0	0	0	0	30177	0	0	273	
382069	70714	70156	643	0	0	0	0	0	70156	0	0	-85	
382256	4104	4073	29	0	0	0	0	0	4073	0	0	2	
382274	576	575	1	0	0	0	0	0	575	0	0	0	
382443	31430	30977	651	0	0	425	0	0	30977	0	0	227	
382537	23906	23879	167	0	0	228	0	0	23879	0	0	88	
382649	88512	89443	1780	0	0	2812	0	0	89443	0	0	101	
382658	23735	23230	505	0	0	0	0	0	23230	0	0	0	
382742	7168	7454	-286	0	0	0	0	0	7454	0	0	0	
382854	9251	9195	126	0	0	96	0	0	9195	0	0	26	
384018	173066	169502	3403	0	0	0	0	0	169502	0	0	161	
384278	164401	161032	3005	0	0	0	0	0	161032	0	0	364	
384335	15107	15148	-252	0	0	0	0	0	15148	0	0	211	
384353	1109	1097	12	0	0	0	0	0	1097	0	0	0	
384652	77276	76152	509	0	0	0	0	0	76152	139	0	476	
384830	11199	11091	82	0	0	0	3	0	11091	0	0	29	
385350	10309	10020	359	0	0	70	0	0	10020	0	0	0	
385471	66001	65410	1038	0	0	600	0	0	65410	144	0	9	
385547	19585	19121	407	0	0	0	0	0	19121	0	0	57	
385686	44074	43317	752	0	0	0	0	0	43317	0	0	5	
386049	9125	9007	113	0	0	64	0	0	9007	0	0	69	
386432	14898	14619	178	0	0	0	0	0	14619	0	0	101	
386450	33160	32435	805	0	0	0	0	-80	32355	0	0	0	
386731	26606	25544	384	0	0	192	0	0	25544	0	0	870	
386825	7760	7539	147	0	0	0	0	0	7539	0	0	74	
386852	35351	35276	705	0	0	700	0	0	35276	0	0	70	
387055	13357	13217	131	0	0	0	0	0	13217	0	0	9	
387671	41211	40995	25	0	0	0	0	0	40995	0	0	191	
388155	19933	19685	197	0	0	0	0	0	19685	0	0	51	
388258	4877	4809	60	0	0	10	0	2	4811	0	0	16	
388557	3689	3667	206	0	0	193	0	0	3667	0	0	9	
388744	22854	22231	601	0	0	0	0	0	22231	0	0	22	
388753	4165	4062	95	0	0	0	0	0	4062	0	0	8	
388874	11145	11103	42	0	0	0	0	0	11103	0	0	0	
388940	7330	7224	94	0	0	85	0	0	7224	0	0	97	
389059	8529	8852	101	0	0	446	0	0	8852	0	0	22	
389358	17309	16257	1052	0	0	0	0	0	16257	0	0	0	
389376	9577	9488	83	0	0	0	0	0	9488	0	0	6	
389826	2177	2160	-30	0	0	0	0	0	2160	0	0	47	
390336	51499	50256	593	0	-10	785	0	-174	50082	-26	0	1645	
390372	63404	63024	405	0	0	0	0	0	63024	0	0	-25	
390840	18729	18905	88	0	0	326	0	0	18905	0	0	62	
391418	34522	34025	104	0	0	66	0	0	34025	0	0	459	
391557	4160	4128	94	0	0	62	0	0	4128	0	0	0	
391575	64055	55230	422	0	8333	0	0	0	55230	0	0	70	
391959	7536	7535	102	0	0	120	0	0	7535	0	0	19	
391977	76600	75385	1009	0	0	0	0	0	75385	0	0	206	
392152	4655	4410	245	0	0	0	0	0	4410	0	0	0	
392255	6596	6388	143	0	0	0	0	0	6388	0	0	65	
392778	58263	57395	603	0	0	0	0	0	57395	0	0	265	
393252	11090	10709	332	0	0	0	0	0	10709	0	0	49	
393355	10821	10853	344	0	0	424	0	0	10853	0	0	48	
393850	11698	11541	106	0	0	0	0	0	11541	0	0	51	
393953	58244	56596	1489	0	0	478	0	0	56596	0	0	637	
