"IDRSSD"	RCFA3792	RCFA5310	RCFA5311	RCFA7204	RCFA7205	RCFA7206	RCFA8274	RCFAA223	RCFAA224	RCFAB530	RCFAB596	RCFAH311	RCFAH313	RCFAH314	RCFAP742	RCFAP793	RCFAP839	RCFAP840	RCFAP841	RCFAP842	RCFAP843	RCFAP844	RCFAP845	RCFAP846	RCFAP847	RCFAP848	RCFAP849	RCFAP850	RCFAP851	RCFAP852	RCFAP853	RCFAP854	RCFAP855	RCFAP856	RCFAP857	RCFAP858	RCFAP859	RCFAP860	RCFAP861	RCFAP862	RCFAP863	RCFAP864	RCFAP865	RCFAP866	RCFAP867	RCFAP868	RCFAP870	RCFAP872	RCFAP875	RCFAQ257	RCFAQ258	RCFD3368	RCFD3632	RCFW3792	RCFW5310	RCFW5311	RCFW7205	RCFW7206	RCFWA223	RCFWH312	RCFWP793	RCFWP870	RCOA3792	RCOA5310	RCOA5311	RCOA7204	RCOA7205	RCOA7206	RCOA8274	RCOAA223	RCOAA224	RCOAB530	RCOAB596	RCOAH311	RCOAH313	RCOAH314	RCOAP742	RCOAP793	RCOAP838	RCOAP839	RCOAP840	RCOAP841	RCOAP842	RCOAP843	RCOAP844	RCOAP845	RCOAP846	RCOAP847	RCOAP848	RCOAP849	RCOAP850	RCOAP851	RCOAP852	RCOAP853	RCOAP854	RCOAP855	RCOAP856	RCOAP857	RCOAP858	RCOAP859	RCOAP860	RCOAP861	RCOAP862	RCOAP863	RCOAP864	RCOAP865	RCOAP866	RCOAP867	RCOAP868	RCOAP870	RCOAP872	RCOAP875	RCOAQ257	RCOAQ258	RCON3368	RCON3632	RCOW3792	RCOW5310	RCOW5311	RCOW7205	RCOW7206	RCOWA223	RCOWH312	RCOWP793	RCOWP870	
801047																																																															37941	2036	2036	13.7352%	23.5160%	22.2541%	35905	161341	261408	1804	0	15.5160%			8330	22.2541%	1	0	38996	0	0	772	1804	0	0	0	0		0	0	36420	0	0	0	0	515	515	35905	0	0	0	0	515	0	0	0	0	2036	0	1287	0	0	262695	28862										
801056																																																															10459	859	859	9.3809%	15.2166%	13.9669%	9600	68734	102336	778	0	7.2166%			1500	13.9669%	1	0	10378	0	0	0	778	0	0	0	0		0	0	9600	0	0	0	0	0	0	9600	0	0	0	0	0	0	0	0	0	859	0	0	0	0	102336	8100										
801654																																																															19666	179	179	13.1166%	34.3115%	33.9992%	19487	57316	148568	680	0	26.3115%			6100	33.9992%	1	0	20167	0	0	0	680	0	0	0	0		0	0	19487	0	0	0	0	0	0	19487	0	0	0	0	0	0	0	0	0	179	0	0	0	0	148568	13387										
802866	3508084	279551	279551	7.5597%	13.6544%	12.5663%	3228533	25691978	42707096	130198	0	5.6544%			1344722	12.5663%	0	3359097	0	0	0	121272	0	0	0	9292		0	0	3228533	0	0	0	0	0	0	3228533	0	0	0	0	0	0	0	0	0	279551	0	0	0	0	42707096	1884177																										1																																															
803144																																																															7499	366	366	10.4471%	21.4914%	20.4425%	7133	34893	68277	315	0	13.4914%			500	20.4425%	1	0	7561	0	0	68	314	0	0	0	0		0	0	7179	0	0	0	0	46	46	7133	0	0	0	0	46	0	0	0	0	366	0	159	0	0	68436	6746										
803256																																																															6180	354	354	9.5480%	13.5491%	12.7730%	5826	45612	61018	83	0	5.5491%			4000	12.7730%	1	0	6131	153	0	0	152	0	0	0	0		0	0	5826	0	0	0	0	0	0	5826	0	0	0	0	0	0	0	0	0	354	0	153	0	0	61171	2048										
803265																																																															5726	261	261	11.9902%	27.6685%	26.4073%	5465	20695	45579	142	0	19.6685%			2600	26.4073%	1	0	5860	0	0	152	142	0	0	0	0		0	0	5566	0	0	0	0	101	101	5465	0	0	0	0	101	0	0	0	0	261	0	253	0	0	45832	3118										
803649																																																															40716	4760	4760	8.3693%	10.7050%	9.4535%	35956	380344	429616	187	0	2.7050%			8000	9.4535%	1	0	39381	3058	180	0	187	0	0	0	0		0	0	35956	0	0	0	0	0	0	35956	0	0	0	0	0	0	0	0	0	4760	0	3238	0	0	432854	31194										
803658																																																															9342	486	486	14.6303%	23.4370%	22.2178%	8856	39860	60532	175	0	15.4370%			5000	22.2178%	1	0	9031	0	0	0	175	0	0	0	0		0	0	8856	0	0	0	0	0	0	8856	0	0	0	0	0	0	0	0	0	486	0	0	0	0	60532	3856										
803957																																																															17178	1386	1386	11.0718%	14.8457%	13.6479%	15792	115710	142633	518	0	6.8457%			5939	13.6479%	1	0	16892	269	313	0	518	0	0	0	0		0	0	15792	0	0	0	0	0	0	15792	0	0	0	0	0	0	0	0	0	1386	0	582	0	0	143215	10435										
804150																																																															7151	255	255	14.4223%	35.3275%	34.0678%	6896	20242	47815	72	0	27.3275%			3250	34.0678%	1	0	6968	0	0	0	72	0	0	0	0		0	0	6896	0	0	0	0	0	0	6896	0	0	0	0	0	0	0	0	0	255	0	0	0	0	47815	3646										
804338																																																															149784	7712	7724	9.9523%	10.9588%	10.3937%	142060	1366790	1427409	1049	0	2.9588%			49155	10.3937%	1	0	143109	0	0	0	893	0	0	0	156		0	0	142060	0	0	0	0	0	0	142060	0	0	0	0	0	0	0	0	0	7724	0	0	12	0	1427409	92905										
804374																																																															45708	2845	2845	11.8051%	17.7706%	16.6645%	42863	257211	363088	84	128	9.7706%			15304	16.6645%	1	0	43360	0	0	0	128	0	0	0	0		119	250	42863	0	0	0	0	0	0	42863	0	0	0	0	0	0	0	0	0	2845	0	369	0	0	363585	27972										
804422																																																															10981	320	320	18.9590%	42.9852%	41.7326%	10661	25546	56232	0	0	34.9852%			1280	41.7326%	1	0	10661	0	0	0	0	0	0	0	0		0	0	10661	0	0	0	0	0	0	10661	0	0	0	0	0	0	0	0	0	320	0	0	0	0	56232	9381										
804758																																																															9165	728	728	10.5703%	15.8094%	14.5536%	8437	57972	79818	0	0	7.8094%			11202	14.5536%	1	0	8471	0	0	20	0	0	0	0	0		0	0	8451	0	0	0	0	14	14	8437	0	0	0	0	14	0	0	0	0	728	0	34	0	0	79852	-2731										
