"IDRSSD"	RCFA3792	RCFA5310	RCFA5311	RCFA7204	RCFA7205	RCFA7206	RCFA8274	RCFAA223	RCFAA224	RCFAB530	RCFAB596	RCFAP742	RCFAP793	RCFAP839	RCFAP840	RCFAP841	RCFAP842	RCFAP843	RCFAP844	RCFAP845	RCFAP846	RCFAP847	RCFAP848	RCFAP849	RCFAP850	RCFAP851	RCFAP852	RCFAP853	RCFAP854	RCFAP855	RCFAP856	RCFAP857	RCFAP858	RCFAP859	RCFAP860	RCFAP861	RCFAP862	RCFAP863	RCFAP864	RCFAP865	RCFAP866	RCFAP867	RCFAP868	RCFAP870	RCFAP872	RCFAP875	RCFAQ257	RCFAQ258	RCFD3368	RCFD3632	RCFW3792	RCFW5310	RCFW5311	RCFW7205	RCFW7206	RCFWA223	RCFWP793	RCFWP870	RCOA3792	RCOA5310	RCOA5311	RCOA7204	RCOA7205	RCOA7206	RCOA8274	RCOAA223	RCOAA224	RCOAB530	RCOAB596	RCOAP742	RCOAP793	RCOAP838	RCOAP839	RCOAP840	RCOAP841	RCOAP842	RCOAP843	RCOAP844	RCOAP845	RCOAP846	RCOAP847	RCOAP848	RCOAP849	RCOAP850	RCOAP851	RCOAP852	RCOAP853	RCOAP854	RCOAP855	RCOAP856	RCOAP857	RCOAP858	RCOAP859	RCOAP860	RCOAP861	RCOAP862	RCOAP863	RCOAP864	RCOAP865	RCOAP866	RCOAP867	RCOAP868	RCOAP870	RCOAP872	RCOAP875	RCOAQ257	RCOAQ258	RCON3368	RCON3632	RCOW3792	RCOW5310	RCOW5311	RCOW7205	RCOW7206	RCOWA223	RCOWP793	RCOWP870	
5135																																																											59653	4076	4076	12.16%	17.84%	16.62%	55577	334425	457231	68	0	25042	16.62%	1	0	56688	1042	0	0	69	0	0	0	0		0	0	55577	0	0	0	0	0	0	55577	0	0	0	0	0	0	0	0	0	4076	0	1042	0	0	458273	31578									
5210																																																											110287	9585	9589	8.84%	14.48%	13.22%	100698	761550	1138756	-4750	-5890	10253	13.22%	1	0	95948	0	0	0	1140	0	0	-5890	0		0	0	100698	0	0	0	0	0	0	100698	0	0	0	0	0	0	0	0	0	9589	0	0	4	0	1132866	90445									
5461																																																											54953	4505	4505	9.45%	15.30%	14.04%	50448	359190	533841	480	0	6300	14.04%	1	0	50928	0	0	0	480	0	0	0	0		0	0	50448	0	0	0	0	0	0	50448	0	0	0	0	0	0	0	0	0	4505	0	0	0	0	533841	44148									
5751																																																											32769	1456	1456	16.49%	22.80%	21.78%	31313	143741	189933	1424	0	9352	21.78%	1	0	33956	1089	130	0	1424	0	0	0	0		0	0	31313	0	0	0	0	0	0	31313	0	0	0	0	0	0	0	0	0	1456	0	1219	0	0	191152	23180									
6039																																																											8999	771	771	9.12%	14.61%	13.35%	8228	61611	90179	-3	0	6069	13.35%	1	0	8225	0	0	0	-3	0	0	0	0		0	0	8228	0	0	0	0	0	0	8228	0	0	0	0	0	0	0	0	0	771	0	0	0	0	90179	2159									
6141																																																											6197	363	363	9.85%	21.40%	20.15%	5834	28957	59214	0	0	4700	20.15%	1	0	5834	0	0	0	0	0	0	0	0		0	0	5834	0	0	0	0	0	0	5834	0	0	0	0	0	0	0	0	0	363	0	0	0	0	59214	1134									
6329																																																											54234	5252	5252	9.53%	12.93%	11.68%	48982	419374	513958	101	0	22600	11.68%	1	0	49741	0	0	263	101	0	0	0	0		0	0	49377	0	0	0	0	395	395	48982	0	0	0	0	395	0	0	0	0	5252	0	658	0	0	514616	27040									
7009																																																											56600	0	501	9.90%	15.85%	15.71%	56099	357145	566421	1080	0	1052	15.71%	1	0	57179	0	0	0	1080	0	0	0	0		0	0	56099	0	0	0	0	0	0	56099	0	0	0	0	0	0	0	0	0	501	0	0	501	0	566421	55047									
7045																																																											19695	1050	1050	9.31%	19.27%	18.25%	18645	102179	200262	406	0	2425	18.25%	1	0	19051	0	0	0	406	0	0	0	0		0	0	18645	0	0	0	0	0	0	18645	0	0	0	0	0	0	0	0	0	1050	0	0	0	0	200262	16220									
7072																																																											29957	1703	1703	15.51%	19.39%	18.29%	28254	154505	182224	17	0	0	18.29%	1	0	32035	751	255	1103	12	0	0	5	0		0	0	29909	0	0	0	0	1655	1655	28254	0	0	0	0	1655	0	0	0	0	1703	0	3764	0	0	185988	32018									
