"IDRSSD"	RCONC978	RCONF164	RCONF165	RCONG401	RCONG402	RCONG403	RCONG404	RCONG405	RCONG406	RCONG407	RCONG408	RCONG409	RCONG410	RCONG411	RCONG412	RCONG413	RCONG414	RCONG415	RCONG416	RCONG417	RCONG418	RCONG422	RCONG423	RCONG427	RCONG428	RCONG432	RCONG433	RCONG437	RCONG453	RCONG457	RCONG458	RCONG462	RCONHT72	RCONJ455	RCONJ456	RCONJ457	RCONJ458	RCONJ459	TEXT3555	TEXT3556	TEXT3557	TEXT5592	TEXT5593	TEXT5594	TEXT5595	
	STNDBY LTRS OF CRD ISSD BY FHLB BK B	1-4  FAM RES CNSTRCTN LN COMMITMNTS	CMRL RE OTHR CNSTRCTN LN & LND DEV L	NTL AMT REG CAP CVRD MRR SL PRTC	NTL AMT REG CAP CVRD MRR PURC PRTC	NTL AMT REG CAP OTHR SL PRTC	NTL AMT REG CAP OTHR PRTC REG CAP	NTL REG CAP OTHR PRTC NOT REG CAP	NTL SL CR PRTC INV MAT LE 1 YR.	NTL SL CR PRTC INV MAT 1T5 YR	NTL SL CR PRTC INV MAT GT 5 YR	NTL SL CR PRTC SUBINV MAT LE 1 YR.	NTL SL CR PRTC SUBINV MAT 1T5 YR	NTL SL CR PRTC SUBINV MAT GT 5 YR	NTL PURC CR PRTC INV MAT LE 1 YR.	NTL PURC CR PRTC INV MAT 1T5 YR	NTL PURC CR PRTC INV MAT GT 5 YR	NTL PURC CR PRTC SUBINV MAT LE 1 YR.	NTL PURC CR PRTC SUBINV MAT 1T5 YR	NTL PURC CR PRTC SUBINV MAT GT 5 YR	OTC DRVT CR EXP BK & SCTY FIRM	OTC DRVT CR EXP CORP OTHR CNTRPRTY	OTC FV CSH USD BK & SCTY FIRM	OTC FV CSH USD CORP OTHR CNTRPRTY	OTC FV CSH OTHR CUR BK & SCTY FIRM	OTC FV CSH OTHR CUR CORP OTHR CNTRPR	OTC FV US TREAS SCTY BK & SCTY FIRM	OTC FV US TREAS SCTY CORP OTHR CNTRP	OTC FV OTHR CLTRL BK & SCTY FIRM	OTC FV OTHR CLTRL CORP OTHR CNTRPRTY	OTC FV TOTAL FV CLTRL BK & SCTY FIRM	OTC FV TOTAL FV CLTRL CORP OTHR CNTR	Unused commitments, Revolving, open	UNUSED CNSMR CR CARD LINE	OTHR UNUSED CNSMR CR CARD LINE	OTHR UNUSED CMTMT CMRL IND LN	OTHR UNUSED CMTMT LN FNCL INST	OTHR UNUSED CMTMT ALL OTHR	1ST CP OF OT OFF BALANCE SHEET LIABI	2ND CP OF OT OFF BALANCE SHEET LIABI	3RD CP OF OT OFF BALANCE SHEET LIABI	1ST ITMZD&DESCRPTN LINE CPNT OF 5591	2ND ITMZD&DESCRPTN LINE CPNT OF 5591	3RD ITMZD&DESCRPTN LINE CPNT OF 5591	4TH ITMZD&DESCRPTN LINE CPNT OF 5591	
42037	0	0	0																																	1196	0	46								
42354	0	272	4406																																	741	0	2026								
42372	0	4473	786																																	408	0	5580								
42420	0	78779	296591	0	0	164632	0	69011	0	0	7500	4261	56634	96237	0	0	0	0	10378	58633													0	70332	53120	622293	0	125921								
42448	80725	30389	56786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	6060	2873	60492	0	4269								
42457	0	0	2325																																	187	0	5631								
43052	0	230	0																																	8943	0	549								
43351	0	1328	0																																	2547	0	1548			0					
43856	0	1226	0																																	1270	0	53								
43959	0	5683	3246																																	3509	0	2032								
44040	0	1095	534																																	2682	0	17765								
44433	0	8825	12281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	1117	9502	0	0								
44741	0	1987	9974																																	5786	0	4832								
44750	6000	456	1078																																	2956	0	4								
44929	0	0	2160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0			1497	0	1724								
45038	0	0	2722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0			3111	0	4549								
45047	7300	2124	0																																	623	0	6101		0						
45056	0	514	0																																	4095	0	10933								
45430	0	3785	0																																	6	0	356								
45458	0	1017	1512																																	3517	0	10820								
45551	0	0	12027																																	0	0	166170								
45560	0	39392	93743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	84062	0	35284								
45775	0	0	4317																																	1587	0	1017								
46053	0	0	0																																	3846	0	13401								
46941	0	220	1540																																	843	0	3634								
47247	0	12572	4071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	1046	4552	12068	0	3130								
47256	0	211	25																																	601	0	343								
47452	0	640	578																																	1088	0	82								
47500	0	440	3018																																	8916	0	12606								
48057	3650	127	1569																																	847	0	5200								
48150	0	0	0																																	0	0	283								
48374	0	2053	61022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	28683	0	37279								
48440	0	0	0																																	5640	0	0				FHLB Pool	FHLB New			
49054	0	0	3490																																	2862	0	4571								
49148	0	0	90																																	3131	0	1007								
49241	21900	11992	39975																																	41725	0	11515								
49652	0	0	5364																																	2241	0	10127								
49858	0	17686	507																																	2022	0	45								
49951	0	80	150																																	7546	0	74	Federal Home Loan Bank							
50144	0	403	0																																	3998	0	305								
50461	0	8359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0			10637	0	157								
50872	880	1651	2920																																	255	0	0								
51253	0	1265	868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	5697	0	2069								
51356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0			0	0	868								
51459	0	235	954																																	4034	0	29869								
51842	0	550	30931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	17957	0	20096								
52719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0	0	0								
52951	27325	1019	613																																	2301	0	3745								
53051	0	239	2065																																	2006	0	735								
54058	0	2705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	0	0	25593								
54656	0	2134	16767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	25922	0	10911								
54973	0	62265	51803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	342796	0	100297								
55336	0	2046	7264																																	7151	0	4096								
55635	0	0	135																																	1444	0	217								
55653	0	120	2089																																	5797	0	12								
55970	0	14970	14481																																	3285	0	7724								
56258	0	151	7351																																	18069	0	6263								
56351	0	27219	46198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	55015	300	59598								
56548	12750	2090	13019																																	2102	0	10139								
56717	0	1874	10553																																	30461	0	9233								
57040	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0			0	0	6063								
57451	0	1262	10541																																	43117	0	5205								
58225	0	1171	5787																																	4113	0	769								
58243	0	121549	196744	0	0	1917	0	0	1917	0	0	0	0	0	0	0	0	0	0	0													0	53450	21051	714992	17205	132812								
58355	0	1064	0																																	2101	0	1361								
58551	0	0	0																																	1076	0	3444								
58636	0	9122	9374																																	5581	0	1461	16 million LOC with FHLB for MS Public Deposits							
58757	0	3029	5705																																	8820	0	12624								
58971	0	87023	335808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	67442	62403	1125184	0	347636								
59316	0	4322	39924																																	29023	0	1923								
59352	0	2563	11955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	5307	0	5532								
59370	0	1825	2525																																	5326	0	1518								
59754	0	0	0																																	13	0	230								
60143																																	0													
60330	0	7326	13699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	6451	40582	43947	0	20174								
60545	0	353	339																																	8559	0	12850								
60554	0	0	0																																	2448	0	4650								
60648	0	2246	346																																	2416	0	6366								
61122	0	9813	11963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	66790	0	3903								
61355	0	27372	27968																																	69946	0	23395								
61476	0	9877	5285																																	15984	0	18659								
61757	0	1419	10526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	20005	0	10446								
61832	0	6882	3280																																	7874	0	1787								
61953	0	425	0																																	1659	0	818								
62044	0	149	119																																	220	0	105								
62110	0	0	0																																	0	0	0								
62147	0	1267	4890																																	179	0	2224								
62772	25000	28311	49394																																	24986	0	1515								
63050	0	4882	0																																	2935	0	6216								
63069																																	0													
63201	0	237	2527																																	2679	0	107								
63573	0	7616	18209																																	0	0	840								
63733	0	10044	6628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	6473	0	38830								
63742	9636	6382	14581																																	42990	0	3355								
63751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0			0	0	21								
64150	0	5409	5873																																	4657	0	9951								
64552	10850	2958	2948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0			4326	0	1888								
64730	0	2761	10345																																	1915	0	1935								
65205	0	2319	1113																																	2381	0	1743								
65513																																	0													
65559	0	7689	5117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	31058	0	39336								
65746	11360	17877	32589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	0	0	49530	0	10481								
65858	0	68541	94457																																	139274	10000	85169								
66154	0	4959	9307																																	6604	0	73								
66275	10000	2097	5889																																	23907	0	11305								
66677	0	944	1220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0			0	0	6317								
67142	0	963	6988																																	2252	0	1786								
67151	0	61541	42044																																	47729	0	13088								
67209	0	15780	113006																																	37415	0	13950								
67254	0	0	0																																	0	0	0								
67656	0	4423	24661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0													0	72123	338	6684	0	12996								
67870	0	4994	11421																																	4013	0	0								
