"IDRSSD"	RCFD0010	RCFD0022	RCFD0070	RCFD0082	RCFD0090	RCON0010	RCON0020	RCON0070	RCON0080	RCON0082	RCON0090	
	CASH AND DUE FROM DEPOSITORIES	CASH & CASH ITEMS IN PROCESS OF COLL	BALANCES WITH BKS IN FGN COUNTRIES	BALANCES DUE FROM DEPOSITORY INSTITU	BALANCES WITH F. R. BKS (COML BK BOO	CASH AND DUE FROM DEPOSITORIES	CASH ITEMS IN PROCESS OF COLLECTION	BALANCES WITH BKS IN FGN COUNTRIES	CURR&COIN (U.S. & FGN) VAULT CASH	BALANCES DUE FROM DEPOSITORY INSTITU	BALANCES WITH F. R. BKS (COML BK BOO	
212577						122486	16727	0	27126	58467	20166	
213471												
213538												
213912												
213958												
214106						29817	7100	0	3588	554	18575	
214414						34513	12684	0	7080	2578	12171	
214722						47957	7822	0	6757	3480	29898	
214807						17588000	51000	14000	0	4000	17519000	
214843												
215345												
215354												
215653												
215662						18879	8398	0	4542	809	5130	
215710												
216164												
216230												
216632												
216922						463235	71047	0	49891	167141	175156	
217059												
218131												
218261												
218850												
218878												
219044												
219343						42302	20101	0	5956	9337	6908	
219651												
219679												
220059												
220527						43370	94	0	11000	30111	2165	
220844												
220974												
221775												
222156												
222446						9661	0	0	1677	6350	1634	
222558												
222754						14352	61	0	887	1044	12360	
223005												
223322						177080	2194	0	8192	32092	134602	
223331						202611	0	0	16328	11382	174901	
223452												
223751												
223845												
224552						3843	82	0	676	3085	0	
224954												
225054												
225157												
225241												
225335												
225559												
225942												
226949												
227151												
227357												
227656						8327	4	0	610	390	7323	
227777												
228000												
228055												
228158												
228279												
228345												
229070												
229173												
229342												
229454												
229801						428629	136611	397	68673	102227	120721	
229913	566725	0	83203	37713	445809	566725	0	83203	0	37713	445809	
230423												
230610												
230759						31035	7369	24	21344	2298	0	
231149												
231279												
231336												
231671												
232258												
232847												
232856												
233031	3467026	1856338	24312	193986	1392390	3467026	519693	24312	1336645	193986	1392390	
233246												
233358												
233442												
233527												
233554												
234355						125848	13350	0	12417	30439	69642	
234506												
234739						111879	9087	0	12615	11690	78487	
234841												
235174												
235231												
235316												
235446												
235530												
235558												
235950												
236153						156930	2515	0	7830	50428	96157	
236256												
236603												
236706						160672	4	0	4143	4745	151780	
236957												
237066						220129	2320	0	11099	4671	202039	
237619						53339	15091	0	8247	1713	28288	
237954												
238139												
238250												
238737												
239275						69519	9226	0	5932	14274	40087	
239556												
239613						32991	12024	0	14586	5246	1135	
239659												
239752												
240954												
241009												
241157						13557	5458	0	6249	1759	91	
241559												
241607						23744	12806	0	3923	3265	3750	
242257												
242444						64379	28163	0	13657	1378	21181	
242949												
242958												
242976												
243375												
243414												
243955												
244037												
244149												
244158												
244251												
245016	628248	9654	486	7640	610468	628248	6210	486	3444	7640	610468	
245276						386090	7958	13	16169	258262	103688	
245351												
245557												
246022						31832	3714	0	1313	1298	25507	
246134						25690	433	0	3565	19444	2248	
246237												
246451												
246657						75420	4028	0	4314	6704	60374	
246947												
246956												
247140												
247355						36155	10926	0	5978	2895	16356	
247476												
247551												
247908						42709	9094	0	4331	2746	26538	
248240						36931	0	0	7495	1796	27640	
248352												
248455												
248633												
248745												
249416												
249564												
249612						867584	551	1938	19543	108523	737029	
249658												
249957												
250430												
250476												
250850												
251352						26265	12175	0	4766	3094	6230	
251558						37175	1	0	2069	6268	28837	
251745												
251857												
251978												
252041												
252256												
252452												
252658												
253356						44584	12395	0	5557	1036	25596	
253468						75146	10212	0	6144	8357	50433	
253646												
253730												
253776												
254317						33259	5871	0	1553	97	25738	
254504												
254849												
255350												
255547												
255556												
255574												
255659						257749	42828	0	24637	7549	182735	
255873												
256049												
256058												
256076												
256179												
256553						168698	26297	0	19195	118679	4527	
257233												
257345												
257466												
257578												
257653												
257756												
258146												
258306												
258379												
258445												
258539												
258771						52749	1583	0	13804	15770	21592	
258874												
259059												
259330						49597	3259	0	5292	3227	37819	
259442												
259956												
260055						369245	37442	0	25097	104687	202019	
260831												
260868						88951	14890	0	4494	10295	59272	
261146												
261360						66820	6047	0	5690	55083	0	
261940												
262059												
262237												
262358												
262741												
262844												
262956												
263243						12464	5	0	5105	5441	1913	
263627												
264455						20287	4310	0	3345	10088	2544	
264772						53769	12	0	502	1562	51693	
265340												
265407						33949	14957	0	12055	1616	5321	
265452												
265676												
266066												
266244												
266253												
266271	588369	243029	10576	74348	260416	577793	83999	0	159030	74348	260416	
266655												
266851												
266945												
267652												
268006						30223	15348	142	8804	1262	4667	
268136												
268677						42848	0	0	4374	1682	36792	
268828						21734	0	0	3371	6489	11874	
268976												
269049												
269058												
269571												
269759												
270148												
270353												
270504												
270531												
270652												
271136												
271275												
271341												
271529												
271752												
272030												
272058												
272151												
272272						40095	15632	0	21179	2763	521	
272302						73879	8305	0	5671	38582	21321	
273336						20363	10916	0	6101	2251	1095	
273550												
273653												
273662						563167	17438	0	6484	763	538482	
273840												
273859												
274025												
274052												
274164												
274548												
274641												
274829						39427	7	0	2949	974	35497	
274856												
275255												
275358												
275479												
275657												
276074												
276159												
276551												
276579						1231922	550694	79923	344181	130489	126635	
276645												
276654												
276850												
276953												
277053												
277240												
277277												
277679												
277736												
277820												
278078												
278153												
278256												
278555												
278733												
278751												
278818						32616	19218	0	10453	302	2643	
278872												
279105						23584	5955	0	4023	5896	7710	
279842												
279954						68204	9348	0	1765	31159	25932	
280110	3295262	986089	94850	132482	2081841	3262339	260211	61927	725878	132482	2081841	
280138												
280352												
280558												
282048												
282075						82338	5706	0	3037	33720	39875	
282226												
282824												
283157												
283438						25837	0	0	5366	7826	12645	
283652												
283737												
283867						94580	18410	0	15700	10419	50051	
284154												
284239												
284248												
284556												
284752												
284958												
285151												
285348												
285544												
285553												
285740						27599	14	0	4181	22368	1036	
285759												
285777												
285852												
285928												
286251												
286457												
286840												
287007												
287342												
287856												
287922												
287959						8914	0	0	740	8081	93	
288152												
288358												
288376												
288853						758057	101663	0	58517	17367	580510	
289056												
289225												
289515						52957	7487	0	6516	7168	31786	
289702						26966	8649	0	7124	6182	5011	
289739												
289757												
290052						85328	17412	0	7766	36316	23834	
290230												
290249						44465	21261	0	4436	11963	6805	
290838												
290922												
291059												
291273												
291330												
291376						755	0	0	34	721	0	
291611												
291732												
292234												
292467												
292850												
292908						39881	9181	0	4622	1989	24089	
293053						321135	20413	0	6494	198331	95897	
293352												
293437						3444	0	0	823	946	1675	
293651												
293754												
294023												
294564						20070	8317	0	3391	3925	4437	
294676												
294751						35698	3058	0	11473	3291	17876	
294779						224085	8125	0	10813	73139	132008	
294827												
295011						12848	2755	0	2524	2234	5335	
295057												
295646												
296456												
296474												
296559												
296755												
296858												
297051												
297257												
297547												
297631												
297761												
298049												
298218												
298245						10656	0	0	353	4877	5426	
299046						239677	32961	0	7098	70718	128900	
299251												
299868						43335	0	0	19	43265	51	
300009												
300036												
300063						90257	0	0	640	20898	68719	
300157												
300353												
300456												
300933												
300942												
300960												
301574												
301800						25014	5247	0	3671	12966	3130	
302030												
302133												
302553						5879	0	0	771	5108	0	
302656						141571	138	0	8933	11567	120933	
303653												
303701												
303747												
303952						23954	6070	0	2184	13743	1957	
304155												
304173												
304520												
304575												
304762												
304913						99260	1	57	0	10987	88215	
305059												
305077												
305237												
305433												
305442												
305648												
305750												
306056												
306140												
306159												
306337												
306908												
307062												
307334												
