"IDRSSD"	RCON0211	RCON1287	RCON1709	RCON1713	RCON1733	RCON1736	RCON1752	RCON1754	RCON1773	RCON2163	RCON2192	RCON2941	RCON3129	RCON3190	RCON8492	RCON8495	RCON8496	RCON8499	RCONA511	RCONB989	RCONB995	RCONG389	RCONG390	RCONG393	RCONG394	RCONG397	RCONG398	RCONG399	RCONG400	
	US TREAS SECS-HLD-TO-MAT-AMRTZ COST	US TREAS SECS-AVL-FOR-SLE-FAIR VALUE	OTHR PASS-THRU SECS-HLD-AMORTZD COST	OTHR PASS-THRU SECS-AVL-FAIR VALUE	MBS-CMOS&REMICS-ALL OTHER-HLD-AMRTZ	MBS-CMOS&REMICS-ALL OTHER-AVL-FAIR	HISTCL COST OF ALL OTH AVL-FOR-SALE	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	NET DUE FROM FOREIGN OFFICES	TOTAL ASSETS	NET DUE TO FOREIGN OFFICES	TOTAL LIABILITIES, EXCL NET DUE TO	OTHER BORROWED MONEY	US GOVT AGCY&CORP OBLIGS-AMRTZ COST	US GOVT AGCY&CORP OBLIGS-FAIR VALUE	SECS ISSD BY US ST&POL SUBDYS-AMRTZ	SECS ISSD BY US ST&POL SUBDYS-FAIR	FAIR VAL OF AVL-FOR-SL INVES MUTL FD	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	MBS PT SCTY ISS FFG AMRTZ HTM SCTY	MBS PT SCTY ISS FFGNMA FV AFS SCTY	OTHR MBS ISS FFG AMRTZ HTM SCTY	OTHR MBS ISS FFG FV AFS SCTY	OTHR DMSTC DEBT SCTY AMRTZ HTM SCTY	OTHR DMSTC DEBT SCTY FV AFS SCTY	FOREIGN DEBT SCTY AMRTZ HTM SCTY	FOREIGN DEBT SCTY FV AFS SCTY	
50461	0	0					0	0	0					0			0	0	0	0	0									
50546	0	0					39	0	14957					0			0	0	0	0	0									
50854	0	0					0	0	17650					0			0	6437	0	0	0									
50872	0	0					2911	0	14000					34064			0	2567	0	0	0									
50957	0	0					1457	0	2391					6654			0	564	0	0	0									
51253	0	0					940	0	14280					20102			0	11210	2546	0	0									
51356	0	500					0	0	12753					0			0	0	0	0	0									
51459	0	7122					1810	0	117970					132			0	31727	0	0	0									
51842	0	0					860	0	17011					0			0	16999	12	0	0									
52719	0	0					6402	0	0					101201			0	0	0	0	0									
52951	0	0					517	0	34647					1114			0	15075	0	0	0									
53033	0	0					36434	29846	937285					367266			0	12230	28286	0	195999									
53051	0	0					5	33182	0					0			1432	0	0	0	0									
53752	0	0					47	6849	28895					0			1766	6868	0	0	0									
54049	0	0					731	0	13814					0			0	4561	7	0	0									
54058	0	0					403	0	44552					4367			0	18792	0	0	1364									
54375	0	0					3882	0	347369					31821			0	125765	253	0	46914									
54441	0	0					136	0	14663					2000			0	7042	0	0	2806									
54656	0	4735					1283	0	664609					0			0	402449	0	0	0									
54973	0	5181					47668	0	906295					100000			0	0	0	0	228793									
55336	0	28248					1067	0	72837					0			0	9576	0	0	0									
55635	0	0					215	0	10687					2500			0	0	0	0	0									
55653	0	0					922	0	24083					0			0	6607	0	0	2593									
55970	0	44354					497	0	70701					0			0	0	0	0	0									
56258	0	0					263	0	67193					0			0	15920	0	0	1872									
56351	0	0					5881	0	678298					921			0	275550	0	0	0									
56548	0	0					1564	0	46441					0			0	39439	34	0	0									
56557	0	0					11843	332777	147485					103000			15325	3850	0	0	39141									
56717	0	0					1671	0	100101					26977			0	49663	0	0	28429									
57040	0	0					95	0	34639					0			0	26201	7	0	0									
57228	0	0					883	0	23443					11250			0	2503	0	0	0									
57451	0	43737					996	0	275219					3500			0	58527	0	0	27319									
58177	199	0					994	559	249					1500			360	0	249	0	0									
58207	0	0					679	0	37123					10009			0	21410	0	0	981									
58225	0	10119					578	0	44192					5600			0	23534	0	0	115									
58243	0	0					27961	204220	252763					95750			26197	5133	0	0	99251									
58355	0	0					51	0	0					650			0	0	0	0	0									
58551	0	0					0	0	76153					0			0	29702	0	0	0									
58636	0	0					664	162	48775					9117			0	23980	0	0	0									
58757	0	0					1017	0	16662					10468			0	1433	2	0	0									
58971	0	15258					6422	479363	810345					0			2519	1584	0	0	167108									
59316	0	0					2982	0	143599					54480			0	61816	0	0	37049									
59352	0	0					118	0	236118					0			0	115280	0	0	0									
59370	0	0					824	3282	9236					10000			0	4781	14	0	0									
59754	0	0					272	0	4126					500			0	4126	0	0	0									
60143	0	2823456	0	0	0	1	524216	1907404	10585813	0	68148819	350291	60248624	1201468	0	0	0	8781	162058	0	1569	0	2344728	1907404	5246152	0	637	0	0	
60330	0	0					2442	0	75543					33567			0	11600	0	0	0									
60545	0	0					622	0	64258					6000			0	12689	0	0	0									
60554	0	0					181	0	11912					175			0	6261	0	0	0									
60648	0	0					764	2356	37730					0			2356	498	0	0	0									
61122	0	0					5881	101521	142999					105789			2625	36835	0	0	29554									
61355	0	0					1901	600	127021					5000			600	73829	0	0	6245									
61476	0	0					1276	116	17196					10182			0	2453	0	0	0									
61757	0	0					336	3152	2959					0			895	695	0	0	0									
61832	0	0					626	0	80385					0			0	39193	0	0	0									
61953	0	0					115	4379	27478					0			3108	10248	0	0	0									
62044	0	0					401	20	3065					233			20	576	0	0	0									
62110	7382	0					81	7382	1466					0			0	0	1466	0	0									
62147	0	0					261	0	24680					800			0	12331	0	0	0									
62772	0	0					2988	0	49100					30052			0	28247	0	0	15002									
63050	0	5065					25	0	87402					0			0	41483	0	0	0									
63069	0	829190	0	0	0	18370	53528	3722873	6388228	0	40319173	0	37203011	183948	660228	165878	785773	267226	0	200000	0	555441	74108	1636207	4088987	25525	23187	59699	921282	
63201	0	0					127	30845	15462					0			14548	4251	0	0	0									
63573	0	0					4266	0	55194					33000			0	0	0	0	0									
63733	0	0					2721	0	295723					63733			0	131804	0	0	0									
63742	0	0					512	0	20271					5938			0	13935	0	0	0									
63751	0	0					26	0	1066					33			0	0	0	0	0									
64150	0	0					1074	12255	38373					2804			12255	13455	5804	0	0									
64543	0	0					1637	0	87654					29034			0	39546	0	0	0									
64552	0	0					509	0	26560					0			0	4465	0	0	0									
64730	0	0					594	0	50754					10000			0	6584	0	0	0									
65205	0	0					2549	45000	218882					0			0	2778	18628	0	0									
65241	0	0					125	0	24374					0			0	19184	19	0	0									
65513	0	0	0	0	0	0	375	127238	6505	0	477351	0	424506	74000	0	0	0	1060	0	0	0	0	0	0	0	66464	993	60774	4452	
65559	0	36944					1	0	275131					0			0	58375	0	0	0									
65746	0	0					6476	1018	58504					43035			0	1454	0	0	3832									
65858	0	0					771	0	376675					28			0	53024	0	0	0									
66154	0	0					1046	0	28522					4097			0	11694	0	0	0									
66275	0	0					357	0	23780					2000			0	5202	0	0	0									
66677	0	0					888	0	2209					20275			0	0	0	0	0									
67142	0	0					544	16691	34720					5000			16091	27628	0	0	0									
67151	0	0					1194	2711	147293					12677			0	56664	0	0	0									
67209	0	0					6212	0	110758					114994			0	262	27132	0	1030									
67254	0	0					0	0	121					0			0	0	0	0	0									
67311	0	0					147797	2613700	4102987					401716			558795	172731	1694	0	719850									
67656	0	0					1127	28256	68377					10000			10680	25990	0	0	1238									
67870	0	0					592	0	21222					8464			0	0	0	0	0									
68448	0	0					72	0	21461					0			0	20732	0	0	0									
68671	0	0					54	0	0					0			0	0	0	0	0									
68756	0	0					1600	0	86688					0			0	33682	0	0	0									
68831	0	0					252	324	33276					0			0	15099	0	0	0									
68840	0	0					865	0	53466					3000			0	35690	0	0	31									
68859	0	0					750	0	277828					713			0	184889	1214	0	3984									
68943	0	0					570	119	18007					5305			0	9475	0	0	0									
69333	0	0					4033	180482	119816					0			79311	5126	0	0	22704									
69678	0	37109					1273	1444	193821					0			1444	138827	19	0	20281									
70058	0	0					916	0	48242					3858			0	21663	0	0	0									
70218	0	0					204	0	2068					2000			0	0	0	0	0									
70414	0	0					3341	2698	146163					0			2045	61636	0	0	0									
