"IDRSSD"	RCFDF236	RCFDF237	RCFDG465	RCFDG466	RCFDG467	RCFDG468	RCFDG469	RCFDG470	RCFDG471	RCFDG472	RCFDK652	RCFDK653	RCFDK654	RCFDK655	RCFDK656	RCFDK657	RCFDK658	RCFDK659	RCFDK660	RCFDK661	RCFDK663	RCFDK664	RCFDK665	RCFDK666	RCFDK667	RCFDK668	RCFDK669	RCFDK670	RCFDK671	RCFDK672	RCFDK673	RCFDK674	RCFDK675	RCFNF234	RCON5597	RCONA545	RCONF045	RCONF046	RCONF047	RCONF048	RCONF049	RCONF050	RCONF051	RCONF052	RCONF236	RCONF237	RCONG465	RCONG466	RCONG467	RCONG468	RCONG469	RCONG470	RCONG471	RCONG472	RCONG803	RCONJ944	RCONJ945	RCONK652	RCONK653	RCONK654	RCONK655	RCONK656	RCONK657	RCONK658	RCONK659	RCONK660	RCONK661	RCONK663	RCONK664	RCONK665	RCONK666	RCONK667	RCONK668	RCONK669	RCONK670	RCONK671	RCONK672	RCONK673	RCONK674	RCONK675	RCONK676	RCONK677	RCONK678	RCONK679	RCONK680	RCONK681	RCONK682	TEXTA545	
935719																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	11674	494	1494	4	118306	16195	42477	70	173951	0	0	0	0	0	0	0	0	0	0	6256	12	188209	1	17635	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
935858																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	1441	53	0	0	20916	1668	888	3	23245	0	0	0	0	0	0	0	0	0	0	262	1	27650	1	1782	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
936136																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF		98752	0	175077	6324	13996	45	1275590	115482	288075	499	1752738	0	0	0	0	0	0	0	0	0	1257	163174	212	1964175	1	186330	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
936426																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF		698128	0	219006	19751	10216	29	2181504	246588	981776	1905	3392502	0	0	0	0	0	0	0	0	70000	16841	260979	351	4026300	1	307925	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
936462																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF		552679	0	65351	3169	6155	14	1440405	96091	989830	1292	2501741	0	0	0	0	0	0	0	0	0	0	323607	435	2898345	1	297193	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
936640																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	4849	189	271	1	67672	6059	9097	19	81889	0	0	0	0	0	0	0	0	0	0	697	2	101275	2	11190	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
936837																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	2079	129	0	0	49523	3875	4593	12	56196	0	0	0	0	0	0	0	0	0	0	0	0	67663	1	7866	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
936855																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF		665364	0	159169	10773	8449	29	3330205	517023	4316425	2540	7814248	0	0	0	0	0	0	0	0	0	0	2257680	1206	9848867	1	635549	0	false			true	3528448	711611	CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
937339																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	15839	720	4854	15	103654	8562	32346	50	156693	0	0	0	0	0	0	0	0	0	0	1520	2	173685	1	14344	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
937553																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF			0	6103	267	0	0	55937	5767	10136	21	72176	0	0	0	0	0	0	0	0	0	0	273	1	88553	1	9416	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
