"IDRSSD"	RCFD0426	RCFD2150	RCFD2651	RCFD3164	RCFD3190	RCFD4088	RCFD5507	RCFD6164	RCFD6165	RCFDA590	RCFDB026	RCFDB569	RCFDB570	RCFDB571	RCFDF055	RCFDF056	RCFDF057	RCFDF058	RCFDF059	RCFDF060	RCFDF061	RCFDF062	RCFDF063	RCFDF065	RCFDJ461	RCFDJ462	RCFDJA29	RCFDK183	RCFDK192	RCFDK193	RCFDK194	RCFN5513	RCFNK260	RCON0426	RCON2150	RCON2651	RCON3164	RCON3190	RCON4088	RCON5507	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB026	RCONB569	RCONB570	RCONB571	RCONC979	RCONF055	RCONF056	RCONF057	RCONF058	RCONF059	RCONF060	RCONF061	RCONF062	RCONF063	RCONF064	RCONF065	RCONG463	RCONG464	RCONJ461	RCONJ462	RCONJA29	RCONK169	RCONK170	RCONK171	RCONK172	RCONK173	RCONK174	RCONK175	RCONK176	RCONK177	RCONK183	RCONK187	RCONK188	RCONK189	RCONK190	RCONK191	RCONK192	RCONK193	RCONK194	RCONL133	RCONL135	RCONN517	RCONN518	RCONN519	RCONN520	RCONN521	RCONN522	RCONN523	RCONN524	RCONN527	TE01N528	TE01N529	TE02N528	TE02N529	TE03N528	TE03N529	TE04N528	TE04N529	TE05N528	TE05N529	TE06N528	TE06N529	TE07N528	TE08N528	TE09N528	TE10N528	TEXT4087	
30502																																		35	265	61585	0	61585	true	35	0	0	240	0	25	554	1	0	0	true	0	0	0	61585	0	0	0	0	0	0	0	0	0	0	false	false	0	0	19675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																												http://www.northwaybank.com	
30650																																		0	698	0	0	0		0	63	0	0	0	635	2699	3	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0					0																															Lake Community Bank															www.lcbankmn.com	
30810																																		6600	167	0	0	22517872	true	6600	0	0	167	0	0	817	0	0	0	false	0	5623946	0	0	0	0	0	0	9583165	7218526	2984503	2731678	0	16385665	true	false	0	0	58277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0												www.mydiscoverbank.com		aaa.discoverbank.com		aaii.discoverbank.com		nea.discoverbank.com										www.discover.com	
31134																																		0	0	0	0	0	true	0	0	0	0	0	0	6298	4	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																												www.fnbwaynesboro.com	
31255																																		0	0	0	0	0	true	0	0	0	0	0	0	1913	2	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																												http://www.centralbankhouston.com	
31657																																		0	0	0	0	0		0	0	0	0	0	0	296	0	0	0			0	0	0	0	0	0	0	0	0	0	0	1615	0					0																																														www.fsbbenwheeler.com	
31826																																		0	377	0	0	0	true	0	0	0	221	0	156	598	0	0	0	true	15740	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																												www.powellvalleybank.com	
31835																																		0	5	0	0	0	true	0	0	0	5	0	0	9144	3	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0																																																			http://www.bankofanguilla.com	
32234																																		1185	0	0	0	0		1185	0	0	0	0	0	5673	2	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0					0																														www.qwickrate.com																www.firstnbtc.com	
32766																																		0	296	0	0	0		0	0	0	0	0	296	276	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0																																																			http://www.Lakeside.bank	
32971																																		415	65	0	415	10012		0	0	0	65	0	0	1203	0	415	0			12	0	0	5000	5000	0	0	12	0	0	0	0	12					0																			1	true																										WWW.SECFEDBANK.COM	
