"IDRSSD"	RCONK123	RCONK124	RCONK125	RCONK126	RCONK127	RCONK128	RCONK130	RCONK131	RCONK132	RCONK138	RCONK139	RCONK140	RCONK213	RCONK214	RCONK215	RCONK216	RCONK217	RCONK218	RCONK257	RCONK258	RCONK259	RCONK274	RCONK275	RCONK276	RCONK277	RCONK278	RCONK279	RCONK280	RCONK281	RCONK282	RCONL183	RCONL184	RCONL185	RCONL186	RCONL187	RCONL188	
	LN RSTR CMRL IND LN NUS ADR PD 30 - 	LN RSTR CMRL IND LN NUS ADR PD 90	LN RSTR CMRL IND LN NUS ADR NACRL	LN RSTR ALL OTHR LN LEASE PD 30 - 89	LN RSTR ALL OTHR LN LEASE PD 90	LN RSTR ALL OTHR LN LEASE NACRL	ITEMIZE LN FARM PD 30 - 89	ITEMIZE LN FARM PD 90	ITEMIZE LN FARM NACRL	ITEMIZE LN FINANCE AGRI FARM PD 30 -	ITEMIZE LN FINANCE AGRI FARM PD 90	ITEMIZE LN FINANCE AGRI FARM NACRL	AUTO LN TO IND HH FAM PD 30 - 89	AUTO LN TO IND HH FAM PD 90	AUTO LN TO IND HH FAM NONACCRUAL	OTHR LN TO IND HH FAM PD 30 - 89	OTHR LN TO IND HH FAM PD 90	OTHR LN TO IND HH FAM NONACCRUAL	LN RSTR CMRL IND LN PD 30 - 89	LN RSTR CMRL IND LN PD 90	LN RSTR CMRL IND LN NACRL	CREDIT CARD LN HOUSE FAMILY PD 30 - 	CREDIT CARD LN HOUSE FAMILY PD 90	CREDIT CARD LN HOUSE FAMILY NACRL	ITEMIZE AUTO LN HOUSE FAMILY PD 30 -	ITEMIZE AUTO LN HOUSE FAMILY PD 90	ITEMIZE AUTO LN HOUSE FAMILY NACRL	OTHR CNSMR LN HOUSE FAMILY PD 30 - 8	OTHR CNSMR LN HOUSE FAMILY PD 90	OTHR CNSMR LN HOUSE FAMILY NACRL	PURCH CREDIT IMPR LN BAL PD 30 - 89	PURCH CREDIT IMPR LN BAL PD 90	PURCH CREDIT IMPR LN BAL NACRL	PURCH CREDIT IMPR LN CARRY PD 30 - 8	PURCH CREDIT IMPR LN CARRY 90	PURCH CREDIT IMPR LN CARRY NACRL	
23504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	82	0	119	0	0	0	0	0	0	0	0	0							
23643				0	0	0	0	0	0				191	39	37	88	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
23755				0	0	0	0	0	0				35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
24006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	274	0	0	0	0	0	0	0	0	0							
24378				0	0	0	0	0	0				0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
24453				0	0	0	0	0	0				0	0	0	294	105	24	0	0	0	0	0	0	0	0	0	0	0	0							
24659				0	0	0	0	0	0	0	0	0	91	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
24668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
24949				0	0	55	0	0	0	0	0	0	0	0	0	1	0	24	0	0	86	0	0	0	0	0	0	0	0	0							
25357				0	0	0	0	0	0	0	0	0	58	4	22	88	0	37	0	0	0	0	0	0	0	0	0	0	0	0							
25647				0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
26176				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
26242				0	0	0	0	0	0	0	0	0	47	0	0	29	0	7	0	0	0	0	0	0	0	0	0	0	0	0							
26457				0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
26765	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
27070				0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
27548	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	3	0	0	0	0	632	0	0	0	0	0	0	0	0	0							
27614				0	0	0	0	0	0	0	0	0	0	0	0	11	0	57	0	0	0	0	0	0	0	0	0	0	0	0							
27847				55	0	94	55	0	0	0	0	0	45	0	7	78	0	50	0	0	0	0	0	0	0	0	0	0	0	1							
28013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	282	0	0	0	0	0	0	0	0	0	0							
28152				0	0	1	0	0	0	0	0	0	7	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	1							
28255				0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
28406	0	0	0	0	0	0	0	0	0	0	0	0	31	0	58	23	0	10	0	0	0	0	0	0	0	0	0	0	0	0							
28675				0	0	0	0	0	0				6	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0							
28732				0	0	0	0	0	0				23	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
29476				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
29636	0	0	0	0	0	0	0	0	0	0	0	0	50	0	83	106	0	5	0	0	0	0	0	0	0	0	0	0	0	0							
29878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
30052				0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
30502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	5	0	0	177	0	0	0	0	0	0	0	0	0							
30650				0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
30810							0	0	0																												
31134				0	0	0	0	0	0	0	0	0	145	35	26	155	23	87	0	0	0	0	0	0	0	0	0	0	0	0							
31255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
31657				0	0	0	0	0	0	0	0	0	4	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
31826				0	0	0	0	0	0				81	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
31835				0	0	0	0	0	0	0	0	0	60	23	82	13	36	328	0	0	0	0	0	0	0	0	0	0	0	0							
32234				0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
32766				0	0	0	0	0	0				8	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0							
32971				0	0	0	0	0	0				0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0							
33147				0	0	0	0	0	0	0	0	0	56	0	88	26	1	8	0	0	0	0	0	0	0	0	0	0	0	0							
33259				0	0	968	0	0	968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
33268				0	0	0	0	0	0	0	0	0	0	0	0	4	6	0	0	0	59	0	0	0	0	0	0	0	0	0							
33370				0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
33839				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
33857	0	0	0	0	0	0	0	0	0	0	0	0	60	0	81	162	0	207	0	0	0	0	0	0	0	0	0	0	0	0							
34425	0	0	0	0	0	120	0	0	0	0	0	0	38	0	115	272	0	211	0	0	0	0	0	0	0	0	0	0	0	0	372	132	0	306	47	0	
34434				0	0	0	0	0	0	0	0	0	120	24	76	14	5	0	0	0	0	0	0	0	0	0	0	0	0	0							
34452				0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
34537	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	848	0	126	0	0	0	0	0	0	0	0	0	0	0	0							
34555				0	0	0	0	0	0	0	0	0	170	5	0	9	3	0	0	0	0	0	0	0	0	0	0	0	0	0							
34742				0	0	0	0	0	0	0	0	0	0	0	15	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
35057				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
35301							0	0	0																												
35570	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	9973	0	177	0	0	6144	0	0	0	0	0	0	0	0	138							
35646				0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
35879				0	0	0	0	0	0				0	0	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
36456				0	0	0	0	0	0	0	0	0	61	0	12	18	5	0	0	0	0	0	0	0	0	0	0	0	0	0							
36933				0	0	0	0	0	0				113	0	27	65	0	13	0	0	0	0	0	0	0	0	0	0	0	0							
37051				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
37341				0	0	0	0	0	0	0	0	0	38	0	4	51	0	2	0	0	0	0	0	0	0	0	0	0	0	0							
37435	0	0	0	0	0	332	0	0	332	0	0	0	109	0	21	226	0	43	0	0	0	0	0	0	0	0	0	0	0	0							
37640	0	0	0	0	0	0	0	0	0	0	0	0	68	0	23	258	0	101	0	0	0	0	0	0	0	0	0	0	0	0							
