"IDRSSD"	RCON9224	RCON9999	RSSD9017	RSSD9050	RSSD9130	RSSD9200	RSSD9220	
	ID_LEI	MICR9999REPORT DATE	NM_LGL	ID_FDIC_CERT	CITY	STATE_ABBR_NM	ZIP CODE	
285759		20190331	Oklahoma State Bank	15611	Vinita	OK	74301	
285777		20190331	Nokomis Savings Bank	29532	Nokomis	IL	62075	
285852		20190331	FIRST OPTION BANK	4746	OSAWATOMIE	KS	66064	
285928		20190331	Peoples Bank The	16968	Iva	SC	29655	
286251		20190331	Bank of Vici	420	Vici	OK	738590727	
286457		20190331	Park State Bank	8851	Duluth	MN	55806	
286840		20190331	State Savings Bank	8513	Rake	IA	50465	
287007		20190331	The Putnam County National Bank of Carmel	6990	Carmel	NY	10512	
287342		20190331	The Readlyn Savings Bank	9300	Readlyn	IA	50668	
287856		20190331	THE AMERICAN BANK	2312	WAGONER	OK	74477	
287922		20190331	The Peoples Savings Bank	9439	New Matamoras	OH	45767	
287959		20190331	Kansas State Bank	10505	Ottawa	KS	66067	
288152		20190331	FIRST NATIONAL BANK OF FREDERICK	3985	FREDERICK	SD	57441	
288358		20190331	First National Bank And Trust Company Of Vinita, The	4218	Vinita	OK	74301	
288376		20190331	Pinnacle Bank	29548	Jasper	AL	35501	
288853	5493009V3WNJX9V2GZ85	20190331	FIRSTBANK	18714	LAKEWOOD	CO	80215	
289056		20190331	Northern Interstate Bank, National Association	13784	Norway	MI	49870	
289225		20190331	Union Banking Company, The	15326	West Mansfield	OH	43358	
289515		20190331	Farmers And Merchants Trust Company Of Chambersburg	8405	Chambersburg	PA	17201	
289702	549300S32ZDD67D2FB46	20190331	Norway Savings Bank	17658	Norway	ME	4268	
289739	549300MZ53GGF2499G54	20190331	GUARANTY BANK & TRUST COMPANY	17767	NEW ROADS	LA	70760	
289757		20190331	Merchants State Bank	01125	Freeman	SD	57029	
290052	549300CFJHGA40RI7O81	20190331	Central Bank of the Ozarks	17633	Springfield	MO	65804	
290230	549300II4U7S5GDYGU90	20190331	The First National Bank of Manchester, TN	4951	Manchester	TN	37355	
290249	5493003H8ECZKN771Z88	20190331	Waukesha State Bank	16160	Waukesha	WI	53188	
290838		20190331	The Citizens Bank of Valley Head	15270	Valley Head	AL	35989	
