"IDRSSD"	RCON9224	RCON9999	RSSD9017	RSSD9050	RSSD9130	RSSD9200	RSSD9220	
	ID_LEI	MICR9999REPORT DATE	NM_LGL	ID_FDIC_CERT	CITY	STATE_ABBR_NM	ZIP CODE	
568126		20190331	The St. Henry Bank	9871	Saint Henry	OH	45883	
568135	549300JRDBJ5RPA6TY76	20190331	HOLCOMB BANK	9080	HOLCOMB	IL	61043	
568359		20190331	American Bank Of Missouri	15423	Wellsville	MO	63384	
568377		20190331	Slovenian Savings and Loan Association of Franklin-Conemaugh	31994	Conemaugh	PA	15909	
568470		20190331	Peoples Bank SB	29523	Munster	IN	46321	
568939		20190331	FIRST NATIONAL BANK OF PICAYUNE	16612	PICAYUNE	MS	39466	
570558		20190331	ARROWHEAD BANK	1198	LLANO	TX	78643	
570651		20190331	FIRST TRI-COUNTY BANK	8333	SWANTON	NE	68445	
571135		20190331	The Citizens Bank	22358	Greensboro	AL	36744	
571265		20190331	Denali State Bank	26530	Fairbanks	AK	99701	
571920		20190331	First National Bank Of Pandora, The	6671	Pandora	OH	45877	
571957		20190331	State Exchange Bank, The	17375	Mankato	KS	66956	
572347		20190331	Bank Of Billings	16959	Billings	MO	65610	
572374	1TMVIO1SD0RLIPEIW803	20190331	Great Southern Bank	29546	Springfield	MO	65810	
572459		20190331	The Citizens State Bank	14269	Marysville	KS	66508	
572655		20190331	COMMUNITY BANK	25752	LONGVIEW	TX	75606	
573036	254900OPB6J0NM26JY33	20190331	Oconee State Bank	18143	Watkinsville	GA	30677	
573335	549300VRPB0NU0485164	20190331	RIVERHILLS BANK	8234	VICKSBURG	MS	39183	
574051		20190331	Heritage Bank	26372	Pearland	TX	77581	
574079		20190331	Franklin Bank	30402	Pilesgrove	NJ	08098	
574949		20190331	FARMERS & MERCHANTS BANK	15779	BERLIN	WI	549230270	
574976	549300DU4JZVSGF3G964	20190331	Cashmere Valley Bank	1265	Cashmere	WA	98815	
575133		20190331	Peoples Bank, The	17073	Willacoochee	GA	31650	
575254	549300VHBALPLHRR4080	20190331	City Bank	25103	Lubbock	TX	79407	
575348		20190331	The Farmers National Bank Of Lebanon	2754	Lebanon	KY	40033	
575375	549300TSV5GUFPY3IT90	20190331	Superior Savings Bank	28790	Superior	WI	54880	
575647		20190331	State Bank Of Saunemin	12391	Saunemin	IL	61769	
575656		20190331	Dilley State Bank	1490	Dilley	TX	78017	
575759	2549003Q4MH7EVI34Z09	20190331	MNB Bank	5434	McCook	NE	69001	
575834	549300Q2Y7B8UEC43S54	20190331	First National Bank of Louisiana	4288	Crowley	LA	705270267	
575955		20190331	First Midwest Bank Of The Ozarks	1970	Piedmont	MO	63957	
576354		20190331	GREAT NORTH BANK	15146	FLORENCE	WI	54121	
576541	5493007FU37PO3TMOM73	20190331	Central Bank of Branson	16924	Branson	MO	65616	
576578	254900P3FG3HDU6NKK74	20190331	Monroe Federal Savings And Loan Association	29578	Tipp City	OH	45371	
576608	549300EWO1QALFC6LE98	20190331	Meredith Village Savings Bank	17180	Meredith	NH	03253	
576644	2549006HGDHH72X1BE36	20190331	THE GREENWOODS STATE BANK	11623	LAKE MILLS	WI	53551	
576653		20190331	The Midland National Bank of Newton	4739	Newton	KS	671140427	
576952	5493007FRLGNQEXCGS66	20190331	First Nebraska Bank	12248	Valley	NE	68064	
577128		20190331	Peoples Bank	6544	Marietta	OH	457500738	
577137	549300IGECXJZ184KV64	20190331	PACIFIC NATIONAL BANK	26299	MIAMI	FL	33131	
577230	549300V2JTNkMMF06966	20190331	Talbot State Bank	178	Woodland	GA	31836	
577472	549300G7S7F0HVM24F79	20190331	West End Bank, S. B.	28807	Richmond	IN	47374	
578116	5493002RL75O2Y62Z184	20190331	The Savings Bank	13216	Circleville,	OH	43113	
578237		20190331	Commonwealth National Bank	22229	Mobile	AL	36617	
578255		20190331	First United Bank	12769	Dimmitt	TX	79027	
578554		20190331	Citizens Community Bank	12694	Pilot Grove	MO	65276	
578741	549300WVVCPSUJMG9419	20190331	BLC Community Bank	11608	Little Chute	WI	54140	
578862		20190331	First State Bank of San Diego	17350	San Diego	TX	78384	
579140		20190331	Regional Missouri Bank	18385	Marceline	MO	64658	
579319		20190331	Community First Bank, National Association	6584	Forest	OH	45843	
579364		20190331	TEXAS CHAMPION BANK	11159	ALICE	TX	78332	
579636	549300XBK37R056FL102	20190331	MERCHANTS & PLANTERS BANK	327	RAYMOND	MS	39154	
580155		20190331	PLATTE VALLEY BANK - TOR	5442	TORRINGTON	WY	82240	
580548	5493005JOVFFHEU5TF17	20190331	Bank of Luxemburg	13264	Luxemburg	WI	542170440	
580847		20190331	Lewisburg Banking Company	297	Lewisburg	KY	42256	
580874		20190331	Brattleboro Savings & Loan Association	28837	Brattleboro	VT	05302	
581237	549300C2DIL58ZRXSH20	20190331	Bank of Pensacola	21284	Pensacola	FL	32502	
581358		20190331	State Nebraska Bank &Trust	5490	Wayne	NE	68787	
582177		20190331	Huntingdon Valley Bank	30464	Huntingdon Valley	PA	19006	
582654		20190331	The Kansas State Bank of Overbrook Kansas	1865	Overbrook	KS	66524	
582878		20190331	Home Federal Savings And Loan Association	31774	Bamberg	SC	29003	
582953		20190331	Charter West Bank	26185	West Point	NE	68788	
582971		20190331	First Federal Savings Bank	28845	Twin Falls	ID	833030249	
583071	2549002U96ZPEAFKGZ11	20190331	First Federal Savings and Loan Association of Bath	29636	Bath	ME	04530	
583138		20190331	First Trust & Savings Bank Of Albany	5754	Albany	IL	61230	
583268		20190331	Schertz Bank & Trust	10344	Schertz	TX	78154	
583352		20190331	First National Bank of Huntsville	3269	Huntsville	TX	77342	
583754		20190331	BANK OF HOUSTON, N.A.	3178	Houston	TX	77027	
583905		20190331	Kennebec Savings Bank	17897	Augusta	ME	04330	
584377	549300HGZNH5YBU04369	20190331	Kitsap Bank	6161	Port Orchard	WA	98366	
584724	2549001ZX3163R62TB83	20190331	Unified Bank	9463	Martins Ferry	OH	43935	
584920	25490012KFFZI81TDT02	20190331	THE FIDELITY BANK	11507	FUQUAY-VARINA	NC	275260008	
585235		20190331	Algonquin State Bank	13080	Algonquin	IL	60102	
585749		20190331	Pilot Grove Savings Bank	9100	Pilot Grove	IA	52648	
586027		20190331	FIRST BANK OF OHIO	9450	TIFFIN	OH	44883	
586072		20190331	First Palmetto Bank	28396	Camden	SC	29020	
586335		20190331	Bank Of Moundville	9057	Moundville	AL	35474	
586960		20190331	Peoples State Bank	10345	Shepherd	TX	77371	
587677		20190331	Eureka Savings Bank	28401	La Salle	IL	61301	
587752		20190331	First Colorado National Bank	3047	Paonia	CO	81428	
587800	549300KWXO8FUM7L0E14	20190331	Liberty Bank	17943	Middletown	CT	06457	
588245		20190331	Bank of Deerfield	2477	Deerfield	WI	53531	
588348		20190331	Savings Bank	13735	Primghar	IA	51245	
588478		20190331	Freehold Savings Bank	30519	Freehold	NJ	07728	
589158		20190331	Great Plains Bank	505	Eureka	SD	57437	
589523		20190331	Bank of Travelers Rest	16389	Travelers Rest	SC	29690	
589943	549300XY02VS45I5ZZ90	20190331	Lincoln Savings Bank	14207	Cedar Falls	IA	50613	
590220	5493001LHLYJE6PHUL18	20190331	Uwharrie Bank	24919	Albemarle	NC	28001	
590248	54930055WXO1SUC1AH62	20190331	Town and Country Bank	18487	Springfield	IL	62791	
590640		20190331	FNB Oxford Bank	5005	Oxford	MS	38655	
590976		20190331	Financial Federal Bank	31840	Memphis	TN	38120	
591209	549300HI3FIGFR7SU483	20190331	Piscataqua Savings Bank	17443	Portsmouth	NH	03801	
591320		20190331	Arthur State Bank	15085	UNION	SC	29379	
591357		20190331	The Peoples Bank	6110	Sardis	TN	38371	
591366	549300CUL44QXBGFJM68	20190331	FIRST NATIONAL BANK OF SONORA	5531	SONORA	TX	76950	
591740		20190331	Peoples Trust and Savings Bank	11351	Riverside	IA	52327	
592439		20190331	First Security Trust And Savings Bank	17224	Elmwood Park	IL	60707	
592448		20190331	Evolve Bank & Trust	1299	West Memphis	AR	72301	
592550		20190331	Quoin Financial Bank	15629	Miller	SD	57362	
592644	549300LCSS511JWT1A44	20190331	Greenfield Banking Company	15632	Greenfield	IN	46140	
592859		20190331	Hillsboro State Bank	14084	Hillsboro	KS	67063	
593007	549300VMVKSQE1B7DD43	20190331	Camden National Bank	4255	Camden	ME	04843	
593052		20190331	Plains Commerce Bank	1678	Hoven	SD	57450	
593249		20190331	The Peoples Bank	15871	Ripley	MS	38663	
593333		20190331	The First National Bank of Arenzville	03599	Arenzville	IL	62611	
593771		20190331	Liberty Bank, Inc.	26816	Salt Lake City	UT	84102	
593940		20190331	Bank Of Stronghurst	16413	Stronghurst	IL	61480	
594433		20190331	CB&S BANK	15310	RUSSELLVILLE	AL	35653	
594451		20190331	Maplemark Bank	3182	Dallas	TX	75219	
594853	549300T1KLQQ7B84EZ41	20190331	Citizens National Bank, N.A,	26381	Bossier City	LA	71111	
594938		20190331	Apple River State Bank	17453	Apple River	IL	61001	
594947		20190331	Bank First National	5304	Manitowoc	WI	54220	
595270	337KMNHEWWWR6B7Q7W10	20190331	MidFirst Bank	4063	Oklahoma City	OK	73118	
595337		20190331	Valley State Bank	26021	Russellville	AL	35653	
595430	549300KX2KT8MOAS5Q71	20190331	State Bank of The Lakes	5744	Antioch	IL	60002	
595869	FT6J43S06X6CLJ0R0B48	20190331	Cathay Bank	18503	El Monte	CA	91731	
595944		20190331	Sanborn Savings Bank	11352	Sanborn	IA	51248	
596062		20190331	THE CITY NATIONAL BANK OF SULPHUR SPRINGS	5544	SULPHUR SPRINGS	TX	75482	
596156		20190331	Capital Bank	19401	Houston	TX	77029	
596277		20190331	Columbia Savings And Loan Association	28480	Milwaukee	WI	53205	
596455		20190331	Madison Valley Bank	19544	Ennis	MT	59729	
596642		20190331	HomeBank of Arkansas	5629	Portland	AR	71663	
596848		20190331	American Trust & Savings Bank	13150	Dubuque	IA	520040938	
596978		20190331	Marathon Bank	29745	Wausau	WI	54403	
597041		20190331	Savanna-Thomson State Bank	5753	Savanna	IL	61074	
597313		20190331	Ps Bank	444	Wyalusing	PA	18853	
597452		20190331	AMERICAN BANK & TRUST CO.	19234	COVINGTON	LA	70433	
597546	549300WD04PCWCETKZ02	20190331	Premier Community Bank	15799	Marion	WI	54950	
597658		20190331	First State Bank Of Forsyth	8317	Forsyth	MT	59327	
598002		20190331	Savings Bank of Walpole	18030	Walpole	NH	3608	
598048		20190331	The Stephenson National Bank and Trust	5306	Marinette	WI	541430137	
598132		20190331	The Security State Bank	19680	McRae	GA	310550628	
598534	549300VEKCSSF6IT9X67	20190331	Fidelity Bank	21440	Atlanta	GA	30305	
598543		20190331	Sibley State Bank	11764	Sibley	IA	51249	
598646		20190331	TNB Bank	938	Tuscola	IL	61953	
598954		20190331	Jefferson Bank and Trust	1071	St. Louis	MO	63103	
599643		20190331	Ergo Bank	10004	Markesan	WI	53946	
599764	549300QFJDBOCX7WKY08	20190331	The American National Bank of Texas	23474	Terrell	TX	75160	
600419	549300RIR04Y64SF4306	20190331	KISH BANK	14969	BELLEVILLE	PA	17004	
601032		20190331	Fairview State Banking Company	11731	Fairview	IL	614320318	
601041		20190331	First State Bank Of Beecher City	10871	Beecher City	IL	62414	
601050		20190331	Commerce Bank	24998	Kansas City	MO	64106	
601153		20190331	Farmers And Merchants State Bank	501	Plankinton	SD	57368	
601416	5493006LH4LKHY2EIN26	20190331	FIVE STAR BANK	659	WARSAW	NY	14569	
601443		20190331	Bank Of Mauston	12327	Mauston	WI	53948	
601658	5493006XPYTPLP6BLN10	20190331	Alliance Bank Central Texas	15657	Waco	TX	76710	
602048		20190331	The State Bank	11406	Fenton	MI	48430	
602543		20190331	PETEFISH, SKILES & CO.	10829	VIRGINIA	IL	62691	
602842		20190331	DYSART STATE BANK	17441	DYSART	IA	52224	
603232		20190331	BANK OF GUEYDAN	8144	GUEYDAN	LA	70542	
603540		20190331	Black River Country Bank	15152	Black River Falls	WI	54615	
603559		20190331	FARMERS STATE BANK	14344	PHILLIPSBURG	KS	67661	
603755		20190331	FIRST STATE BANK	16643	JUNCTION	TX	76849	
604024		20190331	MINSTER BANK	763	MINSTER	OH	458650090	
604033		20190331	First National Bank of Assumption	3600	Assumption	IL	62510	
604547		20190331	Heartland Bank	14809	Somers	IA	50586	
604640		20190331	Waterman State Bank	10878	Waterman	IL	60556	
605571		20190331	The Peoples Savings And Loan Company	29813	Bucyrus	OH	44820	
605610		20190331	Sawyer Savings Bank	16039	Saugerties	NY	12477	
605656		20190331	FIRST STATE BANK AND TRUST	14974	TONGANOXIE	KS	66086	
606046	Q7C315HKI8VX0SSKBS64	20190331	Bancorpsouth Bank	11813	Tupelo	MS	38804	
606176	549300QOIO7RN6JTEI45	20190331	Pioneer Bank	27872	Roswell	NM	88201	
606653		20190331	Independence Bank	20989	Havre	MT	59501	
607146		20190331	Central State Bank	10903	State Center	IA	50247	
607333	549300FGUI1NQCS1M144	20190331	Midwest Community Bank	19628	Freeport	IL	61032	
608358		20190331	Garfield County Bank	18164	Jordan	MT	59337	
608451		20190331	FIRST NATIONAL BANK OF KEMP	3281	KEMP	TX	751430587	
608844	549300FQ2SN6TRRGB032	20190331	FNBC Bank and Trust	11306	LaGrange	IL	60525	
609010		20190331	THE FIRST NATIONAL BANK OF ELMER	6464	ELMER	NJ	8318	
609467		20190331	United Pacific Bank	23805	City Of Industry	CA	91748	
609476		20190331	Huntington Federal Savings Bank	27884	Huntington	WV	25707	
609609		20190331	KEB HANA BANK USA, NATIONAL ASSOCIATION	26790	Fort Lee	NJ	7024	
609645		20190331	Elgin State Bank	10489	Elgin	IA	52141	
609832		20190331	Tompkins State Bank	10849	Avon	IL	61415	
610128		20190331	The Bank Of Southside Virginia	11580	Carson	VA	23830	
610164		20190331	Herring Bank	5568	Amarillo	TX	79109	
610539		20190331	The Bank Of Edison	5686	Edison	GA	39846	
610557		20190331	Three Rivers Bank Of Montana	21557	Kalispell	MT	59901	
610913		20190331	FIRST NATIONAL BANK OF GRAYSON	02695	GRAYSON	KY	41143	
611031		20190331	Peoples Bank, The	16152	Eatonton	GA	31024	
611451	54930069NUR8S0ECRM96	20190331	Central Bank of Sedalia	4569	Sedalia	MO	65301	
612159		20190331	Solutions North Bank	16971	Stockton	KS	67669	
612878		20190331	Home Savings And Loan Association Of Carroll County, F.A.	27898	Norborne	MO	64668	
613008	TKT6FH38184ZYBTPKS77	20190331	Rockland Trust Company	9712	Rockland	MA	2370	
613156		20190331	First Montana Bank, Inc.	363	Missoula	MT	59802	
613307	N4662XQCE3KKIZ6EZS08	20190331	People's United Bank, National Association	27334	Bridgeport	CT	06604	
613343		20190331	Cnb Bank & Trust, Na	3775	Carlinville	IL	62626	
613400	549300IYKILIU506KA05	20190331	Peoplesbank	90213	Holyoke	MA	01040	
613558	549300RWMKY0FK1H5L44	20190331	MONTGOMERY BANK	8255	SIKESTON	MO	63801	
613679	549300MTH7LUU0OHYB47	20190331	First Federal Savings Bank	29056	Evansville	IN	47715	
613839		20190331	EXCHANGE BANK	160	MILLEDGEVILLE	GA	31061	
613950	5493006KQF5UKZ3Y9N07	20190331	First National Bank Texas	3285	Killeen	TX	76540	
613978	549300JEBZPKAD7H6427	20190331	Jarrettsville Federal Savings And Loan Association	31083	Jarrettsville	MD	21084	
614256		20190331	FIRST NATIONAL BANK OF KANSAS	4794	BURLINGTON	KS	668390228	
614313		20190331	State Bank And Trust Company, The	13339	Defiance	OH	43512	
614368		20190331	First National Bank Of Weatherford	5575	Weatherford	TX	76086	
614751		20190331	Manhattan Bank	11823	Manhattan	MT	59741	
614948	54930000REMJYLBAS614	20190331	First National Bank in Carlyle	14761	Carlyle	IL	62231	
615217		20190331	The North Side Bank And Trust Company	9457	Cincinnati	OH	45223	
615253		20190331	The First State Bank Of Malta	1982	Malta	MT	59538	
615776		20190331	Elberton Federal Savings   Loan Association	29065	Elberton	GA	30635	
615851	549300ZP58VS10D8CK07	20190331	The Farmers State Bank of Westmoreland	15164	Westmoreland	KS	66549	
615879		20190331	Central Savings, F.S.B.	27910	Chicago	IL	60657	
615954	5493002BECVKN2TJ6H05	20190331	TrailWest Bank	23806	Lolo	MT	59847	
616036	5493001P1J1K386Q4G58	20190331	South Louisiana Bank	23144	Houma	LA	70360	
616148		20190331	First National Bank in Fairfield	13853	Fairfield	IA	52556	
616540		20190331	Security Savings Bank	14208	Gowrie	IA	50543	
616849		20190331	Victor State Bank	12859	Victor	IA	52347	
617051		20190331	CITIZENS BANK, N. A.	12309	ABILENE	TX	79602	
617079		20190331	Blue Grass Federal Savings and Loan Association	31090	Paris	KY	40361	
617145		20190331	Citizens Bank, The	9306	Hickman	KY	42050	
617275		20190331	HOLLADAY BANK & TRUST	21448	HOLLADAY	UT	84117	
617341		20190331	Walker State Bank	16432	Walker	IA	52352	
617538		20190331	Glasford State Bank	8492	Glasford	IL	61533	
617743		20190331	FNB BANK	954	FONTANELLE	IA	50846	
618544		20190331	Exchange State Bank	15064	Carsonville	MI	48419	
618647		20190331	First Heritage Bank	4457	Shenandoah	IA	51601	
618740		20190331	Field & Main Bank	13838	Henderson	KY	42420	
618777		20190331	Fairview Savings And Loan Association	28652	Fairview	OK	73737	
618807	5493006NTCY0P06JR884	20190331	Salem Five Cents Savings Bank	23296	Salem	MA	1970	
619327		20190331	Farmers Bank, Windsor Va	2429	Windsor	VA	23487	
619457		20190331	Granite Mountain Bank Inc	15744	Philipsburg	MT	59858	
619701	549300SZBQMYMAL3OM08	20190331	Avidia Bank	90215	Hudson	MA	01749	
619859		20190331	First Community National Bank	1639	Steelville	MO	65565	
619877		20190331	USAA Federal Savings Bank	32188	San Antonio	TX	78288	
620015		20190331	The First National Bank	2698	Jackson	KY	41339	
620752		20190331	First Citizens Bank Of Polson, National Association	21478	Polson	MT	59860	
621151		20190331	THE FARMERS STATE BANK OF BRUSH	10407	Brush	CO	80723	
621245		20190331	Wayland State Bank	1862	Mount Pleasant	IA	52641	
621357		20190331	State Bank of DeKalb	15463	DeKalb	TX	75559	
621441		20190331	Buena Vista National Bank	10844	Chester	IL	62233	
622037		20190331	The First National Bank of Jeanerette	04290	Jeanerette	LA	70544	
622653		20190331	FARMERS & STOCKMENS BANK	13625	CLAYTON	NM	88415	
622774		20190331	Central Bank	9204	Provo	UT	84601	
623052		20190331	The Lamesa National Bank	3292	Lamesa	TX	79331	
623454	549300DNUPSQ3UW3EM09	20190331	The Bank and Trust, s.s.b.	1184	Del Rio	TX	78841	
623548		20190331	Clay City Banking Co., The	10845	Clay City	IL	62824	
623874		20190331	First Federal Savings And Loan Association	29090	Newark	OH	43055	
624246		20190331	CONNECTION BANK	955	FORT MADISON	IA	52627	
624648		20190331	Farmers Savings Bank	18284	FOSTORIA	IA	51340	
624778		20190331	First Federal Savings And Loan Association Of Greene County	28706	Waynesburg	PA	15370	
624956		20190331	Valley Bank of Ronan	24966	Ronan	MT	59864	
625056		20190331	First Security Bank Of Roundup	20479	Roundup	ND	59072	
625065		20190331	Citizens State Bank	12303	Woodville	TX	75979	
625140		20190331	Lee County Bank	5819	Fort Madison	IA	52627	
625159		20190331	Commerce Bank	23772	Laredo	TX	78041	
625654		20190331	COUNTRY CLUB BANK	8888	KANSAS CITY	MO	64112	
625757		20190331	Northern State Bank	15242	Ashland	WI	548060617	
625850		20190331	THE BANK OF VERSAILLES	1086	VERSAILLES	MO	65084	
625953		20190331	BANK OF WINNFIELD & TRUST CO.	9323	WINNFIELD	LA	71483	
626101		20190331	The Savings Bank of Danbury	15912	Danbury	CT	06810	
627108		20190331	Cape Ann Savings Bank	90203	Gloucester	MA	01930	
627377		20190331	First Savings Bank	28723	Danville	IL	61832	
627425	549300WIOD85GPCMEM61	20190331	The First State Bank	14361	Barboursville	WV	255040295	
627854		20190331	The First National Bank Of Bangor	5337	Bangor	WI	54614	
628039		20190331	Bank Of Hazlehurst	149	Hazlehurst	GA	31539	
628123		20190331	The Bank of Glen Burnie	16820	Glen Burnie	MD	21061	
628178		20190331	Heritage Bank	30846	Jonesboro	GA	30236	
628356		20190331	Sterling Bank	6195	Barron	WI	54812	
628552		20190331	WINNSBORO STATE BANK & TRUST COMPANY	10533	WINNSBORO	LA	71295	
629148		20190331	BANK OF CAVE CITY	105	CAVE CITY	AR	72521	
629353	549300IC1SF2RZ8ROR54	20190331	THE FIRST LIBERTY NATIONAL BANK	3301	LIBERTY	TX	77575	
629522		20190331	Freedom Bank, Inc.	15664	Belington	WV	26250	
629746	549300OHTBYVLLO8NW69	20190331	THE FARMERS AND MERCHANTS BANK	1843	BOSWELL	IN	47921	
630041		20190331	First State Bank Of Dongola, The	12098	Dongola	IL	62926	
630340		20190331	United Security Bank	1427	Fulton	MO	65251	
630555		20190331	American Bank	20311	Bozeman	MT	59715	
630658		20190331	First National Bank Of Livingston, The	3305	Livingston	TX	77351	
631039		20190331	First Southern Bank	10055	Patterson	GA	31557	
631150		20190331	First-Lockhart National Bank	13599	Lockhart	TX	78644	
631178		20190331	SECURITY FEDERAL SAVINGS BANK	31146	MCMINNVILLE	TN	37111	
631422	2549008EFPQHWHJ5MO60	20190331	The Conway National Bank	2102	Conway	SC	29526	
631570	549300VRYDYOPWK5MO08	20190331	Provident Savings Bank, F.S.B.	30879	Riverside	CA	92506	
632410		20190331	Newfield National Bank	14646	Newfield	NJ	08344	
632607	549300L6YKIXOYQ57883	20190331	Greenfield Savings Bank	90206	Greenfield	MA	01302	
632858		20190331	Frontier State Bank	21978	Oklahoma City	OK	73129	
633341		20190331	First State Bank, Inc.	19106	Central City	KY	42330	
633378	549300N6U5XCH70TOK35	20190331	Kearny Bank	28765	Kearny	NJ	07032	
633501	549300RA8FPV4K1HE018	20190331	United Bank	18203	Hartford	CT	06103	
633640	549300D5ZV9HW2DYO911	20190331	Hendricks County Bank And Trust Company	13111	Brownsburg	IN	46112	
633677	549300KM534EBXZB8F72	20190331	Edgewater  Bank	29981	St. Joseph	MI	49085	
634544		20190331	Bank 21	8560	Carrollton	MO	64633	
634955		20190331	The First National Bank And Trust Company Of Okmulgee	4170	Okmulgee	OK	74447	
634973		20190331	Quarry City Savings and Loan Association	28776	Warrensburg	MO	64093	
635457		20190331	LAKESIDE STATE BANK	22217	OOLOGAH	OK	74053	
635840	549300OVUSU8E87XZV67	20190331	Legence Bank	10886	Eldorado	IL	62930	
635907	54930061YDWSR567KC82	20190331	Pentucket Bank	90208	Haverhill	MA	01830	
636276		20190331	Mutual Savings Association	29988	Leavenworth	KS	66048	
636753		20190331	First National Bank Of Dighton, The	4654	Dighton	KS	67839	
636771	20TVKH7M13MUBGE80C53	20190331	INDEPENDENT BANK	27811	GRAND RAPIDS	MI	49525	
637170	549300OHXNUMVE33Q475	20190331	American Federal Bank	29140	Fargo	ND	58102	
637451		20190331	Plainscapital Bank	17491	Dallas	TX	75219	
637554		20190331	First Bank of Owasso	18592	Owasso	OK	74055	
638131	549300LIPY4ISRLGTF16	20190331	Bank Of Dickson	17327	Dickson	TN	37055	
638355		20190331	Bank Of Desoto, National Association	26542	Desoto	TX	75115	
638850		20190331	The Fidelity State Bank And Trust Company	10920	Dodge City	KS	67801	
639343	549300N6Z26TG1202D22	20190331	RIVER TOWN BANK	14749	DARDANELLE	AR	72834	
639549		20190331	First Central State Bank	19716	De Witt	IA	52742	
639567		20190331	Credit One Bank, N.A.	25620	Las Vegas	NV	89113	
639633		20190331	Citizens Bank Of Weston, Inc., The	19674	Weston	WV	26452	
639651		20190331	First National Bank Of Pawnee, The	4177	Pawnee	OK	74058	
639857		20190331	Peoples Bank of Deer Lodge	26941	Deer Lodge	MT	59722	
640143		20190331	Federated Bank	10464	Onarga	IL	60955	
640246		20190331	Fairfield National Bank	3792	Fairfield	IL	628370429	
640442		20190331	FIRST TRUST AND SAVINGS BANK	8752	WHEATLAND	IA	527770220	
640554		20190331	Western Bank of Clovis	22059	Clovis	NM	88101	
640956		20190331	First Bank & Trust Company	13946	Perry	OK	73077	
641355		20190331	Security Bank	13408	Midland	TX	79701	
641449		20190331	Citizens National Bank	2753	Lebanon	KY	40033	
641579		20190331	Clackamas County Bank	9486	Sandy	OR	97055	
641775	549300CR6ELPCYKQRB34	20190331	Prudential Bank	30011	Philadelphia	PA	19145	
642437		20190331	Bank of Forest	898	Forest	MS	39074	
642549	O4XVIZ10YPQYFKUKCF76	20190331	Dubuque Bank and Trust	15219	Dubuque	IA	520040778	
642857	549300F8WCNGZFWUT684	20190331	First Community Bank	2176	Glasgow	MT	59230	
643078		20190331	Eastern Savings Bank, FSB	32360	Hunt Valley	MD	21031	
643274		20190331	Pioneer Savings Bank	27847	Cleveland	OH	44102	
643340		20190331	EASTERN MICHIGAN BANK	982	CROSWELL,	MI	48422	
643452		20190331	Community National Bank	23431	Hondo	TX	78861	
643658		20190331	Pikes Peak National Bank	17782	Colorado Springs	CO	809346669	
644057	549300804WJYT6LNWL24	20190331	THE FIRST STATE BANK	11527	POND CREEK	OK	73766	
644141	254900XF62I1YBJP7H05	20190331	Kalamazoo County State Bank	5892	Schoolcraft	MI	49087	
644646		20190331	Liberty Trust & Savings Bank	10121	Durant	IA	52747	
644776		20190331	UNITED ROOSEVELT SAVINGS BANK	29170	CARTERET	NJ	07008	
644842	5493000A2XS66AH5XM81	20190331	Merchants And Farmers Bank	8735	Dumas	AR	71639	
644954		20190331	D.A. Davidson Trust Company	35510	Great Falls	MT	59401	
644963		20190331	FIRST NATIONAL BANK	3401	QUITAQUE	TX	79255	
645157		20190331	BANK NORTHWEST	16601	HAMILTON	MO	64644	
645317		20190331	The Adirondack Trust Company	660	Saratoga Springs	NY	12866	
645465		20190331	Vista Bank	1210	Ralls	TX	79357	
645540	5493006D5TDDSA5NA741	20190331	Earlham Savings Bank	05796	West Des Moines	IA	50266	
645577		20190331	Greeneville Federal Bank, FSB	31198	Greeneville	TN	37743	
645625	QGPGHQ1EN2OOLJRFTH41	20190331	WESBANCO BANK , INC.	803	WHEELING	WV	26003	
646042	254900JBS4I4F2PTVN03	20190331	FARMERS TRUST & SAVINGS BANK	8510	EARLING	IA	51530	
646145		20190331	The Casey County Bank, Inc.	15708	Liberty	KY	42539	
646172		20190331	First Piedmont Federal Savings and Loan Association of Gaffney	28859	Gaffney	SC	29341	
646444		20190331	First Bank And Trust Company Of Illinois	18641	Palatine	IL	60067	
646471		20190331	Huntingdon Savings Bank	30031	Huntingdon	PA	16652	
646556		20190331	Wells Bank	14025	Platte City	MO	64079	
646743	254900SPZRGOBHSHRP90	20190331	Community Savings Bank	14633	Edgewood	IA	52042	
646873		20190331	New Carlisle Federal Savings Bank	29173	New Carlisle	OH	45344	
646958		20190331	Pony Express Community Bank	22185	Saint Joseph	MO	64506	
647218	549300OULGV8ZW0JV320	20190331	Cumberland Valley National Bank & Trust Co	2691	London	KY	40744	
647245		20190331	Hardin County Savings Bank	5817	Eldora	IA	50627	
647414		20190331	SAVANNAH BANK, N.A.	14619	SAVANNAH	NY	13146	
647432	549300VP1VKDLSCAH317	20190331	OXFORD BANK & TRUST	9260	OAK BROOK	IL	60523	
647759		20190331	The Farmers State Bank	404	Quinton	OK	74561	
647777		20190331	Citizens Federal Savings & Loan Association	28060	Bellefontaine	OH	43311	
647955		20190331	First Security Bank of Helena	20162	Helena	MT	59601	
648130		20190331	Grove Bank & Trust	8018	Miami	FL	33133	
648242		20190331	Independence Bank	8136	Owensboro	KY	42302	
648251		20190331	McClain Bank	4187	Purcell	OK	73080	
648345	549300JH6IWUYV8WYT95	20190331	Sidney State Bank	17232	Sidney	MI	48885	
648550		20190331	First National Bank	26228	Dublin	TX	76446	
649342		20190331	Iowa Trust & Savings Bank	18400	Emmetsburg	IA	50536	
649632		20190331	ROCHELLE STATE BANK	16609	ROCHELLE	GA	31079	
