"IDRSSD"	RCONC223	RCONC224	RCONC968	RCONC969	RCONC970	RCONC971	RCONC972	RCONC973	RCONC974	RCONC975	RCONC978	RCONF164	RCONF165	RCONG401	RCONG402	RCONG403	RCONG404	RCONG405	RCONG406	RCONG407	RCONG408	RCONG409	RCONG410	RCONG411	RCONG412	RCONG413	RCONG414	RCONG415	RCONG416	RCONG417	RCONG418	RCONG419	RCONG420	RCONG421	RCONG422	RCONG423	RCONG424	RCONG425	RCONG426	RCONG427	RCONG428	RCONG429	RCONG430	RCONG431	RCONG432	RCONG433	RCONG434	RCONG435	RCONG436	RCONG437	RCONG438	RCONG439	RCONG440	RCONG441	RCONG442	RCONG443	RCONG444	RCONG445	RCONG446	RCONG447	RCONG448	RCONG449	RCONG450	RCONG451	RCONG452	RCONG453	RCONG454	RCONG455	RCONG456	RCONG457	RCONG458	RCONG459	RCONG460	RCONG461	RCONG462	RCONJ455	RCONJ456	RCONJ457	RCONJ458	RCONJ459	RCONJ477	RCONJ478	TEXT3555	TEXT3556	TEXT3557	TEXT5592	TEXT5593	TEXT5594	TEXT5595	
20053	0	1029	0	0	0	0	0	0	0	0	0	797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																3756	0	2720										
20512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																116	0	474										
20633	0	0	0	0	0	0	0	0	0	0	0	370	895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														0	0	3874	0	2622										
20857	0	0	0	0	0	0	0	0	0	0	0	1	301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																4359	0	16101										
21256	0	0	0	0	0	0	0	0	0	0	300	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																19	0	2										
21359	0	0	0	0	0	0	0	0	0	0	0	217	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																338	0	2169										
21630	0	0	0	0	0	0	0	0	0	0	0	1621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																2770	0	0										
21658	0	58	0	0	0	0	0	0	0	0	0	408	2283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																3026	0	1856										
22048	0	0	0	0	0	0	0	0	0	0	0	1121	6450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																8579	0	4483										
22543	0	0	0	0	0	0	0	0	0	0	0	538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																2305	0	1466										
22552	0	0	0	0	0	0	0	0	0	0	0	0	338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																5999	0	5498										
22730	0	0	0	0	0	0	0	0	0	0	0	98	2571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																2291	0	861										
22936	0	0	0	0	0	0	0	0	0	0	0	349	401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														0	0	2308	0	7207										
23045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																0	0	422										
23456	0	5	0	0	0	0	0	0	0	0	0	968	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																2741	0	1619										
