"IDRSSD"	RCON6979	TEXT6980	
	NO COMMENT-BK MANAGEMENT STATEMENT	BANK MANAGEMENT STATEMENT	
480228	true	Securitized credit card receivables, included in Schedule RC-V, line 1.c.Col. A, are legally isolated from BANA and other affiliates and are not available to satisfy obligations of such entities.	
480246	false		
480330	false		
480433	false		
480723	false		
480808	false		
480853	true	Schedule RC-N Column C items 1-8 totals $1,065. Of this amount, most represents loans purchased from FDIC Liquidation Division, RTC, and others at substantial discounts. This Bank's previous experience over 31.75 years with these types of loans would indicate that the Bank would not experience any substantial loss based upon its cost. Excluding loans purchased from FDIC and others are: Column A-$1,165 or 1.8; Column B-$582 or .90; Column C-$197 or .30; Total-$1,944 or 3.	
481140	false		
481159	false		
481177	false		
481430	false		
481542	false		
481579	false		
481627	false		
481748	false		
481944	false		
482053	false		
482156	false		
482370	false		
482446	false		
483274	false		
483537	false		
483751	false		
484057	false		
484141	false		
484776	false		
484927	false		
485054	false		
485139	false		
485214	false		
485456	false		
485559	false		
487142	false		
487357	false		
487843	false		
