"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2343	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONA241	RCONA243	RCONA579	RCONA580	RCONA581	RCONA582	RCONA584	RCONA585	RCONA586	RCONA587	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONJ472	RCONJ473	RCONJ474	RCONK219	RCONK220	RCONK221	RCONK222	RCONK223	RCONP752	RCONP753	RCONP754	RCONP755	RCONP756	RCONP757	RCONP758	RCONP759	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	BROKERED DEPS LT 100000	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TM DEPS LT 100000 MAT LESS 1 YR	BROKERED DEPS LT 100000 MAT LE 1 YR	TM DEPS LT 100000 MAT/REPRCE LE 3 MO	TM DEPS LT 100000 MAT/REPRCE 3-12 MO	TM DEPS LT 100000 MAT/REPRCE 1-3 YR	TM DEPS LT 100000 MAT/REPRCE GT 3 YR	TM DEPS GE 100000 MAT/REPRCE LE 3 MO	TM DEPS GE 100000 MAT/REPRCE 3-12 MO	TM DEPS GE 100000 MAT/REPRCE 1-3 YR	TM DEPS GE 100000 MAT/REPRCE GT 3 YR	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	BROKERED DEPS LT 100K GE 250K	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	BRKRD DEP 100000 - 250000 MAT LE 1 Y	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP 100000 - 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	OFFR CONSUM DEP ACT INDIV HSHLD FMLY	NONINTR TRN ACCTS INDIV HSHLD FMLY	INTR TRN ACCTS INDIV HSHLD FMLY	DEP OTHR TRNS ACCTS INDV PRTNRS CRPS	MMDA DEPS PRIMRLY INDIV HSHLD FAMLY	OTHR MMDA INDIV PRTNRS CORPS	OTHR SVGS DEPS IND HSHLD FAMILY USE	OTHR SVGS DEPS IND PRTNRS AND CORPS	
851172	8605	0	0	0	0	0	0	0	0	0	0	89337	0	0		33076	0	17816	23808	0	4828	18980	9033	235	5848	26926	14882	0	0	89337	0	0	10887	0	32878	14778	0	0	23226	9548	0	true								
851239	49496	0	1310	73267	0	114603	0	0	285	6322	0	171264	0	3091		51737	35085	17890	30646	285	13344	20634	11605	6154	9563	10958	9751	4674	113293	168173	0	0	5242	6037	28123	6823	6037	0	18527	1994	0	true								
851631	80	0	12788	41899	0	162956	0	0	0	0	0	82739	0	12530		34911	27911	5768	24179	0	6354	17825	8934	1798	3786	10398	5049	604	150168	68626	0	1583	532	0	14514	5323	0	0	9122	5062	0	true								
852218	40332000	169000	5956000	231518000	21220000	259284000	3323000	10705000	8806000	15613000	5022000	856203000	97000	35552000		19717000	750567000	9988000	8054000	526000	4023000	5602000	3748000	6344000	16068000	25516000	3068000	935000	227298000	796821000	1318000	8006000	1051000	0	4683000	40904000	0	6807000	3057000	38503000	0	true	13009000	28153000	186136000	352823000	346018000	38194000	2118000	
852254	32121	0	8594	27629	0	52247	0	0	0	0	0	84929	0	4882		22234	22445	6153	14308	0	4651	10547	5535	1501	1136	3110	3439	445	43653	80047	0	0	0	0	6083	2047	0	0	2581	1232	0	false								
852263	244901	0	998	75386	0	75386	0	0	186	4008	0	442790	0	32252		40261	98947	8306	30904	186	11763	19151	9062	285	22531	25641	10046	463	74388	410294	0	244	1753	3822	22992	35689	3822	0	18037	30135	0	true								
852320	7894471	9798	1861854	11913960	1842	12664377	0	20000	422324	4940245	0	126601454	5	10159135		9091089	103055120	3831480	5170112	417149	1554828	3627428	3345978	562855	2073251	2051643	2126895	308985	10336622	116278715	454261	143599	792207	2179917	3937235	2623539	2149812	2332901	2190883	1933662	0	true	684103	750418	8902101	41029803	52465907	7672675	204322	
852357	8686	0	2387	20086	0	26492	0	0	20186	20186	0	71341	0	4423		36234	15869	4264	20343	9000	3960	16656	11908	3710	1826	5597	1682	1447	24105	58914	0	8004	1107	0	7454	3098	0	0	5437	1372	0	true								
852544	512398	2	16820	43571	0	92103	0	0	2741	26778	0	872656	0	147566		139191	77947	42670	117180	2741	48995	68187	17962	4047	43101	80983	15758	3278	75281	724346	0	744	14287	24037	106005	37115	24037	0	90793	33291	0	true	12424	29826	33031	32915	33550	268126	137752	
852704	3286	0	498	55190	0	91361	0	0	5540	174284	0	306470	0	37640		11994	191061	1410	9865	5540	4175	6153	1339	327	32316	65878	1585	350	90863	250457	0	18373	822	168744	96602	3527	168744	0	95648	2272	0	true								
852713	484151	1	18582	23003	0	76928	0	0	0	117	0	787537	0	117361		146514	65841	55198	72081	0	20479	51602	50821	23612	8773	34233	29670	18355	58345	668286	0	1890	17126	117	58566	32465	117	0	24482	18524	5067	true								
852870	5828	0	1393	140	0	10717	0	0	0	0	0	41103	0	0		13835	10698	9192	734	0	0	734	6175	6926	0	0	2771	7971	9324	41103	0	0	3986	0	8634	2108	0	0	0	0	0	false								
