"IDRSSD"	RCFDF236	RCFDF237	RCFDG465	RCFDG466	RCFDG467	RCFDG468	RCFDG469	RCFDG470	RCFDG471	RCFDG472	RCFDK652	RCFDK653	RCFDK654	RCFDK655	RCFDK656	RCFDK657	RCFDK658	RCFDK659	RCFDK660	RCFDK661	RCFDK663	RCFDK664	RCFDK665	RCFDK666	RCFDK667	RCFDK668	RCFDK669	RCFDK670	RCFDK671	RCFDK672	RCFDK673	RCFDK674	RCFDK675	RCFDL189	RCFDL194	RCFDL195	RCFDL196	RCFNF234	RCON5597	RCONA545	RCONF045	RCONF046	RCONF047	RCONF048	RCONF049	RCONF050	RCONF051	RCONF052	RCONF236	RCONF237	RCONG465	RCONG466	RCONG467	RCONG468	RCONG469	RCONG470	RCONG471	RCONG472	RCONG803	RCONJ944	RCONJ945	RCONK652	RCONK653	RCONK654	RCONK655	RCONK656	RCONK657	RCONK658	RCONK659	RCONK660	RCONK661	RCONK663	RCONK664	RCONK665	RCONK666	RCONK667	RCONK668	RCONK669	RCONK670	RCONK671	RCONK672	RCONK673	RCONK674	RCONK675	RCONK676	RCONK677	RCONK678	RCONK679	RCONK680	RCONK681	RCONK682	RCONL189	RCONL190	RCONL194	RCONL195	RCONL196	RCONL197	TEXTA545	
3620539																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF							0	782	20	0	0	30407	1073	18799	36	49988	0	0	0	0	0	0	0	0	0	0	2526	6	56809	1	7826	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF															
3620883																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF							0	2371	44	308	1	70707	1943	55548	106	128935	0	0	0	0	0	0	0	0	0	0	4513	5	157139	1	21027	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF															
3620913																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF							0	1630	47	255	1	59102	1397	15233	40	76220	0	0	0	0	0	0	0	0	0	1050	0	0	92387	1	8692	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF															
3620922																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF							0	2899	117	0	0	119152	3600	13621	38	135672	0	0	0	0	0	0	0	0	0	3402	1485	4	147361	1	13463	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF															
3623110																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF							0	0	0	0	0	174517	3694	64244	154	238761	0	0	0	0	0	0	0	0	0	0	2831	5	293819	1	27533	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF															
3623969																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF							0	2518	100	0	0	65963	5105	29714	56	98195	0	0	0	0	0	0	0	0	0	0	6260	13	110059	1	13422	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF															
3625002																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF							0	717	14	697	2	46738	992	86270	137	134422	0	0	0	0	0	0	0	0	0	0	19650	29	166432	1	25648	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF															
3625048																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF							0	8420	252	1281	4	113201	2580	65787	114	188689	0	0	0	0	0	0	0	0	0	0	9547	16	236233	1	21040	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF															
3625132																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF							0	3281	90	824	2	91414	2814	38954	69	134473	0	0	0	0	0	0	0	0	0	0	9244	16	165806	1	18668	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF															
3625664																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF							0	1741	27	262	1	95258	1222	21308	44	118569	0	0	0	0	0	0	0	0	0	23682	2031	4	136125	1	11315	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF															
3626184																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF							0	0	0	0	0	13812	1863	9809	11	23622	0	0	0	0	0	0	0	0	0	0	2400	5	26044	1	2531	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF															
3626858																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF							0	0	0	0	0	37251	432	4671	10	41922	0	0	0	0	0	0	0	0	0	0	0	0	54467	1	11246	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF															
3627109																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF							0	2154	67	0	0	62086	1870	13603	30	77843	0	0	0	0	0	0	485	0	0	0	2711	4	84771	1	8379	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF															
3628777																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF							0	1985	51	903	3	90998	2314	104622	155	198508	0	0	0	0	0	0	0	0	0	22624	14831	22	232135	1	17481	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF															
3629420																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF							0	7969	332	711	2	157669	1520	92186	128	258535	0	0	0	0	0	0	0	0	0	0	15618	29	301615	1	40684	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF															
3629484																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF							0	893	6	0	0	25450	519	20731	29	47076	0	0	0	0	0	0	0	0	0	0	8353	8	57099	1	5903	0	false	0	0	false	0	0	CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF															
3630323																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF							0	1450	39	813	1	75274	1659	153885	114	231422	0	0	0	0	0	0	0	0	0	0	22870	25	256874	1	29088	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF															
3631067																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF							0	926	15	424	1	92414	2509	73438	115	167202	0	0	0	0	0	0	0	0	0	2936	20361	31	197732	1	28697	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF															
3631870																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF							0	679	21	0	0	55725	2521	34265	49	90669	0	0	0	0	0	0	0	0	0	1990	17706	18	99246	1	8622	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF															
3632448																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF							0	2876	176	2471	4	237542	7110	102605	179	345494	0	0	0	0	0	0	0	0	0	29429	7169	16	374017	1	34015	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF															
3633016																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF							0	1471	83	0	0	48578	4221	22298	39	72346	0	0	0	0	0	0	0	0	0	0	3780	9	87576	2	10546	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF															
3633173																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF							0	28289	888	2083	8	429251	10141	317787	377	777410	0	0	0	0	0	0	0	0	0	0	64525	89	880623	1	102147	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF															
3634394																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF							0	444	18	0	0	44987	1291	21317	45	66748	0	0	0	0	0	0	0	0	0	0	4290	9	75592	1	8906	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF															
3635029																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF							0	477	21	0	0	29464	1607	11605	23	41546	0	0	0	0	0	0	0	0	0	0	3821	9	51527	1	9128	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF															
3635533																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF							0	2865	56	268	1	169508	5792	364348	195	536989	0	0	0	0	0	0	0	0	0	0	23230	25	589251	1	49844	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF															
3635551																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF							0	2182	85	0	0	75734	4653	21249	50	99165	0	0	0	0	0	0	0	0	0	0	4192	8	106601	1	8791	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF															
3636259																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF							0	0	0	0	0	29730	779	12402	28	42132	0	0	0	0	0	0	0	0	0	0	5874	7	55695	1	7597	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF															
3636428																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF							0	3364	183	1294	3	82610	2733	22188	49	109456	0	0	0	0	0	0	0	0	0	0	3010	7	124425	1	17577	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF															
3636446																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF							0	0	0	0	0	52140	1861	36824	76	88964	0	0	0	0	0	0	0	0	0	0	18478	37	101479	1	9250	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF															
3636914																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF							0	2877	107	256	1	67606	2621	35740	76	106479	0	0	0	0	0	0	0	0	0	14590	3121	6	130207	1	18365	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF															
3637050																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF							0	2746	79	0	0	70471	1938	26505	6	99722	0	0	0	0	0	0	0	0	0	0	11715	3	106569	1	7653	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF															
3637096																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF							0	729	20	0	0	31210	809	29150	48	61089	0	0	0	0	0	0	0	0	0	5025	9039	11	79438	1	16558	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF															
3637229																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF							0	3367	54	252	1	56374	1289	52044	82	112037	0	0	0	0	0	0	0	0	0	178	5517	12	136722	1	19156	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF															
3637247																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF							0	3988	82	1062	3	144279	4009	120862	197	270233	42	0	0	0	0	0	0	0	0	0	11515	23	289574	1	24977	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF															
3637685																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF							0	4194	114	1275	3	310840	4679	391720	357	708030	0	0	0	0	0	0	0	0	0	93105	140510	98	809534	1	69833	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF															
3637706																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF							0	1179	33	259	1	45912	1740	41596	83	88946	0	0	0	0	0	0	0	0	0	0	13427	16	104969	2	11300	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF															
