"IDRSSD"	RCFD0071	RCFD0081	RCFD1754	RCFD1773	RCFD2130	RCFD2143	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFDJA22	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON1754	RCON1773	RCON2130	RCON2143	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	RCONJA22	
7045																																							6228	5622	0	113812	0	0	1816	165	3627	206160	187127	654	187781	0	1212	0	0	18379	100	206160	0	0	19034	0	0	2325	0	22663	164464			0	76102	74890	-3080	0	0	0	0	18379		
7072																																							155	5539	1013	20956	0	5694	6592	765	14488	325767	255856	5014	290831	0	1901	29961	0	34936	0	325767	0	0	31364	0	0	4060	0	43637	212219			0	265584	263683	-488	6882	0	0	0	34936	0	
7456																																							973	2278	0	12791	0	0	881	0	3522	91986	82909	226	83154	0	816	0	0	8832	400	91986	0	0	2881	0	0	5600	0	18639	64270			0	72357	71541	-49	0	0	19	0	8832		
7634																																							4984	843	1	11806	0	0	457	316	774	69034	58661	176	59587	0	1043	750	0	9447	200	69034	0	0	1588	0	0	8060	0	11869	46792			0	50896	49853	-401	0	0	0	0	9447		
8033																																							8577	5038	0	5954	0	0	5787	457	5316	287375	229119	3329	250584	0	1421	18136	0	36792	774	287376	0	0	30885	0	0	5226	0	63534	165585			0	225717	224296	-93	31950	0	0	0	36792		
8462																																							5849	8862	0	88891	0	0	372	0	816	169040	147738	269	148007	0	1079	0	0	21033	350	169040	0	0	22331	0	0	350	0	64856	82882			0	60264	59185	-1998	5065	0	0	0	21033		
8631																																							5156	2430	0	12203	0	0	3334	94	3162	65220	57679	694	58373	0	426	0	0	6848	500	65221	0	0	5769	0	0	800	0	16889	40790			0	36797	36371	-221	2470	0	0	0	6848		
9357																																							4886	6696	0	81225	800	26747	315	0	2340	454666	358017	2601	369618	0	3564	9000	0	85048	500	454666	0	0	31720	0	0	54660	0	136093	221924			0	335134	331570	-1832	87	0	0	0	85048		
9553																																							4644	1139	32825	20518	0	0	899	0	7837	171129	102811	1233	156322	0	1209	47873	0	14807	400	171129	0	0	13661	0	0	1700	0	18656	84155			0	104476	103267	-954	0	0	4405	0	14807		
9807																																							105995	24622	0	358979	84	0	14037	30572	134819	2349426	1947084	5688	1987883	0	32871	0	0	361543	20000	2349426	0	0	231285	0	0	112272	0	116115	1830969			0	1711976	1679105	-2014	0	0	0	35111	361543	1213	
9955																																							14667	1686	0	50335	0	0	1001	0	2454	151556	109867	218	132304	0	1576	22219	0	19252	110	151556	0	0	16720	0	0	3023	0	21642	88225			0	82989	81413	-601	0	0	0	0	19252		
10250																																							23002	11384	0	100849	0	0	9391	0	4772	435466	395879	1440	397319	0	3591	0	0	38147	1500	435466	0	0	8431	0	0	30800	0	100143	295736			0	289659	286068	-2584	0	0	0	0	38147		
10849																																							12324	1508	0	104992	0	694	6877	7157	4943	269689	244826	515	245341	0	1281	0	0	24348	16	269689	0	0	12429	0	0	15375	0	26808	218019			0	132475	131194	-3472	0	0	0	0	24348	0	
11145																																							12297	5204	0	21574	94	450	5514	509	9069	266303	221633	1910	242598	0	2403	19055	0	23705	1000	266303	0	0	11993	0	0	11000	0	54277	167356			0	213495	211092	-288	500	0	0	0	23705		
11640																																							469	7796	0	100194	0	0	4089	0	22481	363691	315123	2906	318779	0	3411	0	0	44912	650	363691	0	0	7073	0	0	39245	0	96615	218508			0	232073	228662	-2056	0	0	750	0	44912		
11837																																							1689	848	0	43105	0	0	1426	620	1793	91397	72068	232	78300	0	834	6000	0	13097	314	91397	0	0	2375	0	0	11686	0	8833	63235			0	42750	41916	-1278	0	0	0	0	13097		
12030																																							28276	16554	2352	22281	0	0	3853	2739	14338	370360	306494	3608	310102	0	7696	0	0	60258	300	370360	0	0	59706	0	0	300	0	88562	217932			0	274755	267059	-48	12908	0	0	0	60258		
