"IDRSSD"	RCON0211	RCON1287	RCON1709	RCON1713	RCON1733	RCON1736	RCON1752	RCON1754	RCON1773	RCON2163	RCON2192	RCON2941	RCON3129	RCON3190	RCON8492	RCON8495	RCON8496	RCON8499	RCONA511	RCONB989	RCONB995	RCONG389	RCONG390	RCONG393	RCONG394	RCONG397	RCONG398	RCONG399	RCONG400	RCONJA22	
	US TREAS SECS-HLD-TO-MAT-AMRTZ COST	US TREAS SECS-AVL-FOR-SLE-FAIR VALUE	OTHR PASS-THRU SECS-HLD-AMORTZD COST	OTHR PASS-THRU SECS-AVL-FAIR VALUE	MBS-CMOS&REMICS-ALL OTHER-HLD-AMRTZ	MBS-CMOS&REMICS-ALL OTHER-AVL-FAIR	HISTCL COST OF ALL OTH AVL-FOR-SALE	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	NET DUE FROM FOREIGN OFFICES	TOTAL ASSETS	NET DUE TO FOREIGN OFFICES	TOTAL LIABILITIES, EXCL NET DUE TO	OTHER BORROWED MONEY	US GOVT AGCY&CORP OBLIGS-AMRTZ COST	US GOVT AGCY&CORP OBLIGS-FAIR VALUE	SECS ISSD BY US ST&POL SUBDYS-AMRTZ	SECS ISSD BY US ST&POL SUBDYS-FAIR	FAIR VAL OF AVL-FOR-SL INVES MUTL FD	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	MBS PT SCTY ISS FFG AMRTZ HTM SCTY	MBS PT SCTY ISS FFGNMA FV AFS SCTY	OTHR MBS ISS FFG AMRTZ HTM SCTY	OTHR MBS ISS FFG FV AFS SCTY	OTHR DMSTC DEBT SCTY AMRTZ HTM SCTY	OTHR DMSTC DEBT SCTY FV AFS SCTY	FOREIGN DEBT SCTY AMRTZ HTM SCTY	FOREIGN DEBT SCTY FV AFS SCTY	Equity securities with readily deter	
2756730	0	0					1349	7007	0					23647			263	0	0	0	0										
2756767	0	0					238	0	15319					600			0	7958	0	0	0										
2756909	0	0					1663	10909	11908					610			610	0	0	0	0										
2757205	0	17322					9676	0	226505					207370			0	80106		0	20676									4966	
2758024	0	0					4024	0	122280					71692			0	1014	0	0	0										
2758613	0	0					24304	19206	463652					413173			10163	93227		0	0									2885	
2759629	0	0					433	2235	15310					0			2235	7103	0	0	0										
2760102	0	0					5006	0	216839					36235			0	71978	0	0	2791										
2760232	0	0					1292	0	48302					12300			0	0	0	0	0										
2761967	0	0					226	0	21109					0			0	0		0	0									0	
2764212	0	0					5722	1074	35905					104650			1074	0		0	0										
2765602	0	0					1362	0	320					22000			0	0	0	0	0										
2769570	0	0					820	68585	0					0			16176	0	0	0	7173										
2769589	0	0					7630	0	286791					143000			0	7189	0	0	11903										
2769954	0	15334					584	0	55600					1051			0	1553	0	0	500										
2771694	0	0					1339	62	0					3000			0	0	0	0	0										
2774707	0	0					0	0	494					0			0	0	0	4890	0										
2775151	0	0					162	0	2292					8176			0	0		0	0									0	
2775179	0	0					737	0	43382					0			0	7881	0	0	0										
2775692	0	0					195	0	10159					2567			0	3261	0	0	0										
2785477	0	0					1859	0	6557					29693			0	557	0	0	0										
2785646	0	0					2438	1721	26674					37000			0	10227	0	0	0										
2787770	0	1814					1887	3708	54634					10000			0	12138	0	0	0										
2788656	0	1024					1187	0	34469					0			0	12646	0	0	483										
2791085	0	100					851	0	12381					15000			0	0	0	38306	0										
2791517	0	0					198	0	57245					2936			0	21567	0	0	17233										
2793593	0	0					1235	0	25162					1805			0	8666	0	0	0										
2794732	0	0					130	0	8448					138			0	219	0	0	0										
2796277	0	3937					10	0	3937					0			0	0	0	0	0										
2797162	0	0					372	2207	79668					12100			1207	32146	0	0	10760										
2797210	0	0					84	0	5781					0			0	0	1612	0	0										
