"IDRSSD"	RCFDF236	RCFDF237	RCFDG465	RCFDG466	RCFDG467	RCFDG468	RCFDG469	RCFDG470	RCFDG471	RCFDG472	RCFDK652	RCFDK653	RCFDK654	RCFDK655	RCFDK656	RCFDK657	RCFDK658	RCFDK659	RCFDK660	RCFDK661	RCFDK663	RCFDK664	RCFDK665	RCFDK666	RCFDK667	RCFDK668	RCFDK669	RCFDK670	RCFDK671	RCFDK672	RCFDK673	RCFDK674	RCFNF234	RCON5597	RCONA545	RCONF045	RCONF046	RCONF047	RCONF048	RCONF049	RCONF050	RCONF051	RCONF052	RCONF236	RCONF237	RCONG465	RCONG466	RCONG467	RCONG468	RCONG469	RCONG470	RCONG471	RCONG472	RCONG803	RCONJ944	RCONJ945	RCONK652	RCONK653	RCONK654	RCONK655	RCONK656	RCONK657	RCONK658	RCONK659	RCONK660	RCONK661	RCONK663	RCONK664	RCONK665	RCONK666	RCONK667	RCONK668	RCONK669	RCONK670	RCONK671	RCONK672	RCONK673	RCONK674	RCONK675	RCONK676	RCONK677	RCONK678	RCONK679	RCONK680	RCONK681	RCONK682	TEXTA545	
222446																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	32047	1546	3056	7	239835	23238	37058	66	311995	0	0	0	0	0	0	0	0	0	0	7851	12	375369	1	39946	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
222558																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	1287	170	0	0	38110	3080	65966	29	105363	0	0	0	0	0	0	0	0	0	0	11984	16	114731	2	9897	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
222754																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	4254	286	0	0	100692	6727	54778	102	159724	0	0	0	0	0	0	0	0	0	4102	12082	25	190854	1	22408	0	false	0	0	false	0	0	CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
223322																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF		129434	0	37984	1928	2085	6	691346	63418	299065	309	1030480	0	0	0	0	0	0	0	0	0	91234	44511	67	1174951	1	112450	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
223331																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	8863	587	0	0	475187	56070	372181	475	856231	0	0	0	0	0	0	0	0	0	0	82277	138	1026691	1	108328	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
223452																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	3284	164	0	0	48469	4823	9030	13	60783	0	0	0	0	0	0	0	0	0	0	0	0	70809	1	6460	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
223751																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	5074	141	875	2	49270	4447	2560	8	57779	0	0	0	0	0	0	0	0	0	0	0	0	64546	1	5818	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
223845																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	6209	267	619	2	68389	3653	22748	31	97965	0	0	0	0	0	0	0	0	0	0	792	2	110089	2	12451	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
224178																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF		106560	0	103409	6571	4427	11	820286	80913	184008	211	1112130	0	0	0	0	0	0	0	0	0	0	14580	28	1905731	1	150597	13711	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
224552																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF		1186	0	501	23	0	0	16253	1750	2941	5	19695	0	0	0	0	0	0	0	0	0	0	1755	2	20995	1	1697	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
224637																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	18720	667	2243	6	274109	15623	64060	138	359132	0	0	0	0	0	0	0	0	0	1371	18395	31	434683	1	37218	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
224655																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	10197	1318	618	2	267880	27401	158665	181	437360	0	0	0	0	0	0	0	0	0	0	51561	56	539608	1	50396	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
224954																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	3715	19	0	0	40456	4958	9864	19	54035	0	0	0	0	0	0	0	0	0	0	253	1	63067	1	8191	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
225054																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	2402	128	0	0	42164	3729	8960	18	53526	0	0	0	0	0	0	0	0	0	0	297	1	63157	1	5286	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
225157																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	3219	170	299	1	70435	5815	26364	47	100317	0	0	0	0	0	0	0	0	0	0	2642	4	110141	1	10255	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
225241																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	2881	173	0	0	22548	3157	6905	13	32334	0	0	0	0	0	0	0	0	0	0	637	2	38042	2	4186	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
225335																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF		150949	0	53243	1429	0	0	449200	16310	169899	209	672343	0	0	0	0	0	0	0	0	0	40253	28690	43	793674	1	69233	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
225559																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	12916	675	631	2	270550	22563	38271	88	322368	0	0	0	0	0	0	0	0	0	0	12030	30	388874	1	10667	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
225942																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	1612	118	0	0	27873	2560	789	1	30274	0	0	0	0	0	0	0	0	0	0	0	0	34089	1	3460	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
226752																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	2889	162	261	1	44255	4794	9778	21	57183	0	0	0	0	0	0	0	0	0	0	0	0	69621	1	6912	0	false	0	0	false	0	0	CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
226949																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	0	0	0	0	15437	1115	737	2	16174	0	0	0	0	0	0	0	0	0	0	0	0	16695	1	1176	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
227151																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	14666	661	252	1	136258	13663	32650	66	183825	0	0	0	0	0	0	0	0	0	0	6849	14	227763	1	18766	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
227179																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	23468	930	795	3	439100	39624	144592	224	607955	0	0	0	0	0	0	0	0	0	14245	18600	40	711556	1	65545	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
227357																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	6749	356	0	0	150655	9160	66237	88	223641	0	0	0	0	0	0	0	0	0	0	27168	33	251500	1	21583	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
227656																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	5640	169	0	0	48332	3367	8289	13	62261	0	0	0	0	0	0	0	0	0	0	371	1	70988	2	4785	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
228000																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	19112	1207	1269	4	177184	26059	37626	67	235191	0	0	0	196	0	0	0	0	0	0	3992	9	322803	1	82292	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
