"IDRSSD"	RCFD0071	RCFD0081	RCFD0426	RCFD1754	RCFD1773	RCFD2130	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3163	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFDJA22	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON0426	RCON1754	RCON1773	RCON2130	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3163	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	RCONJA22	
659556																																								18562	4267	61	4493	13310	0	3171	19	6318	178241	160354	463	163152	0	1925	205	1978	0	15089	500	178241	0	0	13952	0	0	1000	0	16647	143707	1a	1231	0	129243	127318	-363	517	0	0	357	15089	0	
659640																																								490	3820	0	6735	0	0	85	0	154	16365	14394	52	14446	0	37	0	0	0	1919	60	16365	0	0	-41	0	0	1900	0	5477	8917	6	1231	0	4618	4581	0	500	0	0	0	1919		
659734																																								649	2291	0	609	85105	0	99	0	818	109951	96160	118	98623	0	662	0	0	0	11328	136	109951	20	0	11079	0	0	1000	105	23416	72744	4	1231	0	20917	20255	-887	0	0	0	2345	11328	0	
659855																																								561238	186631	72597	462749	2277723	5957	234282	10976	389390	12224845	10025518	90140	10802490	0	73505	444278	15729	0	1422355	50000	12224845	8345	7693	395331	0	0	1010489	32315	2897578	7127940	2b	1231	0	7611773	7538268	-33465	96	0	0	663410	1422355		
660066																																								4187	1212	0	0	39405	0	769	0	361	73660	64578	79	64657	0	71	0	0	0	9003	585	73660	0	0	6521	0	0	2415	0	22118	42460	1a	1231	0	27797	27726	-518	0	0	0	0	9003		
660253																																								7050	1286	0	1755	0	0	1146	0	3553	82879	59600	101	75937	0	654	0	16236	0	6942	23	82879	0	0	672	0	0	6247	0	9766	49834	4	1231	0	68743	68089	0	0	0	0	0	6942		
660271																																								19583	7569	1323	1751	91069	0	6961	188	5529	318644	265827	2222	290830	0	2059	0	0	0	27814	3009	318644	0	0	17365	0	0	8828	461	40017	225810	2b	0331	0	186269	184210	-1388	0	0	0	22781	27814		
660570																																								3336	388	0	0	20738	0	1580	119	7437	210660	161888	1219	191118	0	1689	0	28011	0	19542	0	210660	0	0	20482	0	0	0	0	13433	148455	1b	1231	0	174084	172395	-940	4667	0	0	0	19542		
660655																																								43977	46249	4658	0	581682	0	34299	96	58034	3688879	2893174	17863	3345310	0	32020	29005	380993	0	343569	3270	3688879	0	0	172020	0	0	182265	2207	725240	2167934	2a	0331	0	2920692	2888672	-13986	0	0	0	53280	343569		
660879																																								27355	1350	8	310	0	0	782	65	355	65457	59495	236	59731	0	176	0	0	0	5726	959	65457	0	0	4497	0	0	270	0	12072	47423	1a	630	0	35408	35232	0	0	0	0	0	5726	0	
660927																																								19402	7831	0	32859	0	0	7653	0	10639	353114	282418	2176	315594	0	2868	0	31000	0	37520	14004	353114	0	0	7023	0	0	16493	0	70110	212308	4	1231	0	277321	274453	0	277	0	0	0	37520		
661072																																								6086	1884	161	1794	5674	0	2878	0	4204	122748	102690	1202	110892	0	470	0	7000	0	11856	0	122748	0	0	11878	0	0	0	230	9150	93540	1a	930	0	100307	99837	-22	0	0	0	0	11856		
661157																																								12247	1238	0	4595	0	0	59	0	212	25153	21599	51	21650	0	232	0	0	0	3503	150	25153	0	0	2903	0	0	450	0	4480	17119	1a	1231	0	7034	6802	0	0	0	0	0	3503		
661223																																								6866	4859	0	0	15891	424	2530	2026	2180	150046	126268	2148	128416	0	1790	0	0	0	21630	200	150046	0	0	23126	0	0	500	0	26942	99327	1a	1231	-421	114503	112713	-1775	2557	0	0	0	21630		
661308																																								43772	18793	0	9353	975998	0	21622	1098	174900	4165169	3344592	72216	3818583	134	37382	0	401775	0	346452	14030	4165169	0	0	107167	0	6700	230022	37490	1464454	1880138	1a	1231	0	2919525	2882143	-11467	0	0	0	0	346586		
661474																																								19325	930	0	4258	0	0	1049	0	8379	89017	55687	1758	57445	0	685	0	0	0	31572	0	89017	0	0	31572	0	0	0	0	0	55687	1a	1231	0	55761	55076	0	0	0	0	0	31572		
661858																																								10	1800	768	0	23140	0	379	0	1071	81061	62786	35	68713	0	600	3135	5892	0	12348	500	81061	0	0	1035	0	0	11070	0	7860	54926	5	1231	0	50358	49758	-257	1000	0	0	0	12348		
662350																																								6263	3296	0	2565	14808	0	2304	0	2946	81169	68248	1135	74683	0	701	0	5300	0	6486	480	81169	0	0	2634	0	0	3625	0	9861	58387	4	1231	0	47788	47087	-253	1900	0	0	0	6486		
662369																																								7288	56221	6004	0	563582	0	29060	5304	92384	2373378	2039047	28196	2085872	0	8991	27357	5800	0	287506	73335	2373378	0	0	171643	0	0	50205	0	644780	1394267	2a	1231	0	1595169	1586178	-7677	0	0	300	12529	287506		
