"IDRSSD"	RCONHT81	RCONHT82	RCONHT83	RCONHT84	RCONHT86	RCONL191	RCONL192	RCONM288	RIADHT85	
						REP AND WARRNTY TO US GOVT AGCY	REP AND WARRNTY TO OTHR PARTIES	REP WARRNTY TO US GOVT AGCY TOTAL		
88950						CONF	CONF			
89032	0	0	0	0	0	CONF	CONF	0	0	
89135						CONF	CONF			
89854						CONF	CONF			
89957						CONF	CONF			
90047						CONF	CONF			
90177						CONF	CONF			
90328						CONF	CONF			
90337	0	0	0	0	0	CONF	CONF	0	0	
90579						CONF	CONF			
91615						CONF	CONF			
91754	0	0	0	0	0	CONF	CONF	0	0	
91950						CONF	CONF			
92144						CONF	CONF			
92676						CONF	CONF			
92706						CONF	CONF			
92902						CONF	CONF			
93244						CONF	CONF			
93543						CONF	CONF			
93619	0	0	0	0	0	CONF	CONF	0	0	
93758	0	0	0	0	0	CONF	CONF	0	0	
94139						CONF	CONF			
94522						CONF	CONF			
94755						CONF	CONF			
94858						CONF	CONF			
95051	0	0	0	0	0	CONF	CONF	0	0	
95677						CONF	CONF			
96553						CONF	CONF			
97055						CONF	CONF			
97279						CONF	CONF			
97457						CONF	CONF			
97804						CONF	CONF			
97943						CONF	CONF			
98351						CONF	CONF			
98463						CONF	CONF			
98717	0	0	0	0	0	CONF	CONF	0	0	
99143						CONF	CONF			
99255	0	0	0	0	0	CONF	CONF	0	0	
99376	19199	0	18477	2223	0	CONF	CONF	300	992	
99442						CONF	CONF			
99536						CONF	CONF			
99853						CONF	CONF			
100236						CONF	CONF			
100357						CONF	CONF			
100562	20524	0	20301	3824	0	CONF	CONF	0	993	
100777						CONF	CONF			
100843						CONF	CONF			
101019	0	0	0	0	0	CONF	CONF	0	0	
101037						CONF	CONF			
101439						CONF	CONF			
101671						CONF	CONF			
101738						CONF	CONF			
101952						CONF	CONF			
102155						CONF	CONF			
102333						CONF	CONF			
102342						CONF	CONF			
102539						CONF	CONF			
102557						CONF	CONF			
102874						CONF	CONF			
103134	0	0	0	0	0	CONF	CONF	0	0	
103255	43996	0	43166	2484	0	CONF	CONF	0	1152	
103563						CONF	CONF			
104234						CONF	CONF			
104542						CONF	CONF			
104971						CONF	CONF			
105026						CONF	CONF			
105222						CONF	CONF			
105473						CONF	CONF			
105530						CONF	CONF			
106359						CONF	CONF			
106452						CONF	CONF			
106676						CONF	CONF			
107244	0	0	0	0	0	CONF	CONF	0	0	
107459						CONF	CONF			
107570						CONF	CONF			
107758						CONF	CONF			
108072						CONF	CONF			
108269						CONF	CONF			
108652						CONF	CONF			
108746						CONF	CONF			
108951						CONF	CONF			
109136						CONF	CONF			
109154						CONF	CONF			
109453						CONF	CONF			
109574						CONF	CONF			
109659						CONF	CONF			
110413						CONF	CONF			
110936						CONF	CONF			
110945						CONF	CONF			
110972						CONF	CONF			
111157	0	0	0	0	0	CONF	CONF	0	0	
111205						CONF	CONF			
111661						CONF	CONF			
111942						CONF	CONF			
111979						CONF	CONF			
112163	19226	0	20130	826	0	CONF	CONF	0	598	
112332						CONF	CONF			
112444						CONF	CONF			
112510						CONF	CONF			
112556						CONF	CONF			
112837	0	0	410358	35368	21523	CONF	CONF	10770	104013	
113003						CONF	CONF			
113030						CONF	CONF			
113441						CONF	CONF			
113601						CONF	CONF			
113740	17058	0	18384	3724	0	CONF	CONF	0	858	
113937						CONF	CONF			
114149						CONF	CONF			
114251						CONF	CONF			
114260	26596	0	27051	12617	0	CONF	CONF	0	810	
114457						CONF	CONF			
114774	8879	0	9413	258	0	CONF	CONF	0	0	
114840						CONF	CONF			
114859						CONF	CONF			
115100						CONF	CONF			
115146						CONF	CONF			
115575						CONF	CONF			
116358						CONF	CONF			
116554						CONF	CONF			
116741						CONF	CONF			
117038	0	0	0	0	0	CONF	CONF	0	0	
117074						CONF	CONF			
117458						CONF	CONF			
117672						CONF	CONF			
117775	0	0	0	0	0	CONF	CONF	0	0	
118156						CONF	CONF			
118660						CONF	CONF			
118736						CONF	CONF			
119153						CONF	CONF			
119528						CONF	CONF			
119779						CONF	CONF			
119872						CONF	CONF			
120476						CONF	CONF			
120542						CONF	CONF			
120609						CONF	CONF			
120953						CONF	CONF			
121642	46549	0	48520	7808	0	CONF	CONF	0	1086	
121651						CONF	CONF			
121679						CONF	CONF			
121914						CONF	CONF			
122153						CONF	CONF			
122546						CONF	CONF			
122854	101065	0	103939	27730	0	CONF	CONF	0	3242	
123075						CONF	CONF			
123374						CONF	CONF			
123646						CONF	CONF			
124344	0	0	3570	236	0	CONF	CONF	0	106	
124830						CONF	CONF			
125154						CONF	CONF			
125471	0	0	393	0	234	CONF	CONF	1472	1087	
125855						CONF	CONF			
125873						CONF	CONF			
125958						CONF	CONF			
126012						CONF	CONF			
126049						CONF	CONF			
126375						CONF	CONF			
126553	34288	0	34570	4267	0	CONF	CONF	0	0	
126740						CONF	CONF			
126834						CONF	CONF			
127055						CONF	CONF			
127224						CONF	CONF			
128258						CONF	CONF			
128904	34713	0	34123	3538	0	CONF	CONF	0	80	
129349						CONF	CONF			
129358	0	15947	17276	2047	0	CONF	CONF	0	342	
129479						CONF	CONF			
129732	0	0	0	0	0	CONF	CONF	0	0	
129853						CONF	CONF			
129910						CONF	CONF			
130345						CONF	CONF			
130541	58256	0	59276	1980	0	CONF	CONF	0	2401	
130813						CONF	CONF			
131034						CONF	CONF			
131173	18704	0	19514	962	0	CONF	CONF	0	535	
131418						CONF	CONF			
131436	0	0	0	0	0	CONF	CONF	0	0	
131650	74688	0	76036	5456	0	CONF	CONF	580	496	
131717	0	0	0	0	0	CONF	CONF	0	0	
131940						CONF	CONF			
132107						CONF	CONF			
132451						CONF	CONF			
132554	24654	0	16093	1797	0	CONF	CONF	0	369	
132778						CONF	CONF			
132938						CONF	CONF			
133579						CONF	CONF			
133850	27577	0	27749	4440	0	CONF	CONF	0	658	
133971						CONF	CONF			
134156						CONF	CONF			
134437	0	0	0	0	0	CONF	CONF	0	0	
134455						CONF	CONF			
134848						CONF	CONF			
135836						CONF	CONF			
135854						CONF	CONF			
136048						CONF	CONF			
136338						CONF	CONF			
136459						CONF	CONF			
136655						CONF	CONF			
137205						CONF	CONF			
137447						CONF	CONF			
137456						CONF	CONF			
137559						CONF	CONF			
137643						CONF	CONF			
137652	234238	9241	271349	62162	309	CONF	CONF	148	8342	
137915	2480	0	2717	630	0	CONF	CONF	0	-77	
138051						CONF	CONF			
138257						CONF	CONF			
138556						CONF	CONF			
138725						CONF	CONF			
139133						CONF	CONF			
139478						CONF	CONF			
139553	0	0	0	0	0	CONF	CONF	0	0	
139656	12536	0	14413	1698	0	CONF	CONF	0	398	
139740						CONF	CONF			
139834						CONF	CONF			
139843	19940	0	20724	3114	0	CONF	CONF	0	913	
139955						CONF	CONF			
140018	10408	0	11392	420	0	CONF	CONF	34	269	
140157						CONF	CONF			
140362	0	0	0	0	0	CONF	CONF	0	0	
140634						CONF	CONF			
141211						CONF	CONF			
141341						CONF	CONF			
141350						CONF	CONF			
141556						CONF	CONF			
141677						CONF	CONF			
141958						CONF	CONF			
142049						CONF	CONF			
142179						CONF	CONF			
142656						CONF	CONF			
142955	7931	0	8421	1410	0	CONF	CONF	279	242	
143372						CONF	CONF			
143662	752879	0	905087	289537	876	CONF	CONF	1400	31484	
143859						CONF	CONF			
143952						CONF	CONF			
144034						CONF	CONF			
144052						CONF	CONF			
144155						CONF	CONF			
144436						CONF	CONF			
144678						CONF	CONF			
144856						CONF	CONF			
144913						CONF	CONF			
145059						CONF	CONF			
145545						CONF	CONF			
145554						CONF	CONF			
145741						CONF	CONF			
145750						CONF	CONF			
145844						CONF	CONF			
145956						CONF	CONF			
146056						CONF	CONF			
146663						CONF	CONF			
146672	1069411	7924609	8425052	4835466	1997	CONF	CONF	10000	27230	
147633	0	0	0	0	0	CONF	CONF	0	0	
147651						CONF	CONF			
147679						CONF	CONF			
147857	0	0	0	0	0	CONF	CONF	0	0	
147923						CONF	CONF			
148171						CONF	CONF			
148238						CONF	CONF			
148340						CONF	CONF			
148470						CONF	CONF			
148715						CONF	CONF			
148809						CONF	CONF			
148920						CONF	CONF			
149150						CONF	CONF			
150035	0	7133	7094	1294	0	CONF	CONF	0	186	
150044						CONF	CONF			
150156						CONF	CONF			
150727						CONF	CONF			
151546						CONF	CONF			
151957						CONF	CONF			
152057						CONF	CONF			
152253						CONF	CONF			
152431						CONF	CONF			
152440						CONF	CONF			
153054						CONF	CONF			
153353						CONF	CONF			
154154						CONF	CONF			
154770						CONF	CONF			
155759						CONF	CONF			
156457						CONF	CONF			
156635						CONF	CONF			
156952						CONF	CONF			
156970						CONF	CONF			
157155						CONF	CONF			
157379						CONF	CONF			
157650	0	0	0	0	0	CONF	CONF	0	0	
157744						CONF	CONF			
157856						CONF	CONF			
158376						CONF	CONF			
158741						CONF	CONF			
159636	39103	0	35480	6620	0	CONF	CONF	0	1287	
159645						CONF	CONF			
159953						CONF	CONF			
159971						CONF	CONF			
160360						CONF	CONF			
160454						CONF	CONF			
160650	0	0	0	0	0	CONF	CONF	0	0	
160959	147490	0	152058	22562	0	CONF	CONF	0	2819	
161273						CONF	CONF			
161602	70132	0	69418	6571	0	CONF	CONF	0	348	
162337						CONF	CONF			
163343						CONF	CONF			
163370						CONF	CONF			
163549	26488	0	24843	4889	0	CONF	CONF	0	750	
163857						CONF	CONF			
164153						CONF	CONF			
164331						CONF	CONF			
164377						CONF	CONF			
164854						CONF	CONF			
164957						CONF	CONF			
164975						CONF	CONF			
165039	0	0	0	0	0	CONF	CONF	0	43	
165628	59585	0	66286	13277	0	CONF	CONF	0	2404	
165758						CONF	CONF			
165806	1829	0	1460	369	0	CONF	CONF	0	23	
166111						CONF	CONF			
166531						CONF	CONF			
166652	0	0	0	0	0	CONF	CONF	0	0	
166849						CONF	CONF			
167453						CONF	CONF			
167565	0	0	0	0	0	CONF	CONF	0	0	
167752						CONF	CONF			
167864						CONF	CONF			
168357						CONF	CONF			
168571						CONF	CONF			
169327						CONF	CONF			
169354						CONF	CONF			
169653	98398	0	95966	35970	0	CONF	CONF	1550	3630	
169756						CONF	CONF			
170257						CONF	CONF			
170275						CONF	CONF			
170332	0	0	0	0	0	CONF	CONF	0	0	
170640						CONF	CONF			
171133	0	0	0	0	0	CONF	CONF	0	0	
171656						CONF	CONF			
171759						CONF	CONF			
171768		10242	10562	1158		CONF	CONF		264	
172158						CONF	CONF			
172251						CONF	CONF			
172457						CONF	CONF			
172475						CONF	CONF			
172859						CONF	CONF			
173306						CONF	CONF			
173342						CONF	CONF			
173548						CONF	CONF			
173557						CONF	CONF			
173575	0	0	0	0	0	CONF	CONF	0	0	
173641						CONF	CONF			
173959						CONF	CONF			
174321						CONF	CONF			
174367	0	0	0	0	0	CONF	CONF	0	0	
174572	0	0	0	1860	0	CONF	CONF	0	248	
175056	0	0	0	0	0	CONF	CONF	0	0	
175140	0	0	0	0	0	CONF	CONF	0	0	
175458						CONF	CONF			
175609						CONF	CONF			
176101	0	0	0	0	0	CONF	CONF	0	0	
176325	0	0	0	0	0	CONF	CONF	0	0	
176437						CONF	CONF			
176464						CONF	CONF			
176642						CONF	CONF			
177135						CONF	CONF			
177443						CONF	CONF			
177500						CONF	CONF			
177555						CONF	CONF			
177751						CONF	CONF			
177920	2911	0	3113	0	0	CONF	CONF	0	42	
178057						CONF	CONF			
178150						CONF	CONF			
178244						CONF	CONF			
178356						CONF	CONF			
178851						CONF	CONF			
179148						CONF	CONF			
179335						CONF	CONF			
179700						CONF	CONF			
180144						CONF	CONF			
180443						CONF	CONF			
180537						CONF	CONF			
180845						CONF	CONF			
181963						CONF	CONF			
182353						CONF	CONF			
182951						CONF	CONF			
183668						CONF	CONF			
183770						CONF	CONF			
183846						CONF	CONF			
183958						CONF	CONF			
184142						CONF	CONF			
184656	0	0	0	0	0	CONF	CONF	0	0	
184759						CONF	CONF			
185251						CONF	CONF			
185448	0	0	0	0	0	CONF	CONF	0	0	
185859						CONF	CONF			
186221	0	0	0	0	0	CONF	CONF	0	0	
186548						CONF	CONF			
186717						CONF	CONF			
186744						CONF	CONF			
186856						CONF	CONF			
187648						CONF	CONF			
187899						CONF	CONF			
187947	5077	8436	11026	3674	0	CONF	CONF	0	173	
188056						CONF	CONF			
188177						CONF	CONF			
188430						CONF	CONF			
188449						CONF	CONF			
188720						CONF	CONF			
188739						CONF	CONF			
188917						CONF	CONF			
188926	0	0	0	0	0	CONF	CONF	0	0	
189044	84780	6881	87543	20667	0	CONF	CONF	485	2186	
189129						CONF	CONF			
189549						CONF	CONF			
189745	0	91073	99516	13261	0	CONF	CONF	50	3373	
189950						CONF	CONF			
190563						CONF	CONF			
190648						CONF	CONF			
190947						CONF	CONF			
190956						CONF	CONF			
191355	0	0	0	0	0	CONF	CONF	0	0	
191449						CONF	CONF			
191935						CONF	CONF			
192147	0	4279	4860	562	0	CONF	CONF	0	0	
192558						CONF	CONF			
192651						CONF	CONF			
192857						CONF	CONF			
193162						CONF	CONF			
193247						CONF	CONF			
193537						CONF	CONF			
193649	0	0	0	0	0	CONF	CONF	0	0	
193809	4073	0	4856	274	0	CONF	CONF	0	161	
194440						CONF	CONF			
194570						CONF	CONF			
194936						CONF	CONF			
195111						CONF	CONF			
195157						CONF	CONF			
195456						CONF	CONF			
196743						CONF	CONF			
196752	0	0	0	0	0	CONF	CONF	0	0	
196800	0	0	18666	16665	0	CONF	CONF	0	285	
197142						CONF	CONF			
197254	0	0	0	0	0	CONF	CONF	0	0	
197302						CONF	CONF			
197478	6103	0	20922	1141	0	CONF	CONF	20	255	
197759						CONF	CONF			
198046						CONF	CONF			
198073						CONF	CONF			
198149						CONF	CONF			
198251						CONF	CONF			
198961						CONF	CONF			
199137						CONF	CONF			
199351						CONF	CONF			
199436						CONF	CONF			
199463						CONF	CONF			
200042						CONF	CONF			
200378	0	0	30353	28743	1576	CONF	CONF	2575	729	
200435						CONF	CONF			
200640						CONF	CONF			
201254						CONF	CONF			
201647						CONF	CONF			
201834	12507	0	12307	1477	0	CONF	CONF	0	184	
202514						CONF	CONF			
202541						CONF	CONF			
202907	7059	0	8340	0	1	CONF	CONF	0	344	
203043	11089	233	10812	1800	0	CONF	CONF	0	343	
203052	0	0	0	0	0	CONF	CONF	0	0	
203070						CONF	CONF			
203418						CONF	CONF			
203575						CONF	CONF			
204004	0	0	0	0	0	CONF	CONF	0	0	
204077						CONF	CONF			
204237						CONF	CONF			
204826						CONF	CONF			
205243						CONF	CONF			
205346						CONF	CONF			
205458						CONF	CONF			
205542						CONF	CONF			
205654	0	0	0	0	0	CONF	CONF	0	0	
206156						CONF	CONF			
206174						CONF	CONF			
206473						CONF	CONF			
206772						CONF	CONF			
206950						CONF	CONF			
207041						CONF	CONF			
207050						CONF	CONF			
207452						CONF	CONF			
207470						CONF	CONF			
207555						CONF	CONF			
207845	10902	0	10253	1117	0	CONF	CONF	0	357	
207872						CONF	CONF			
207957						CONF	CONF			
208057	5883	0	4946	1336	0	CONF	CONF	0	127	
208244	137501	0	142315	21384	0	CONF	CONF	0	1665	
208347	0	0	0	0	0	CONF	CONF	0	0	
208440						CONF	CONF			
208459						CONF	CONF			
208570						CONF	CONF			
208655						CONF	CONF			
208972						CONF	CONF			
209148						CONF	CONF			
209362						CONF	CONF			
209447						CONF	CONF			
209559						CONF	CONF			
209830						CONF	CONF			
209858						CONF	CONF			
210238						CONF	CONF			
210256						CONF	CONF			
210434	0	0	680	0	0	CONF	CONF	0	0	
210452						CONF	CONF			
210779						CONF	CONF			
211114	0	0	0	0	0	CONF	CONF	0	0	
211271	398298	0	398801	123245	1125	CONF	CONF	502	8743	
211338						CONF	CONF			
211851						CONF	CONF			
212018						CONF	CONF			
212335						CONF	CONF			
212344						CONF	CONF			
212465	174889	20533	170934	76273	1725	CONF	CONF	801	12359	
