"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2343	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONA241	RCONA243	RCONA579	RCONA580	RCONA581	RCONA582	RCONA584	RCONA585	RCONA586	RCONA587	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONJ472	RCONJ473	RCONJ474	RCONK219	RCONK220	RCONK221	RCONK222	RCONK223	RCONP752	RCONP753	RCONP754	RCONP755	RCONP756	RCONP757	RCONP758	RCONP759	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	BROKERED DEPS LT 100000	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TM DEPS LT 100000 MAT LESS 1 YR	BROKERED DEPS LT 100000 MAT LE 1 YR	TM DEPS LT 100000 MAT/REPRCE LE 3 MO	TM DEPS LT 100000 MAT/REPRCE 3-12 MO	TM DEPS LT 100000 MAT/REPRCE 1-3 YR	TM DEPS LT 100000 MAT/REPRCE GT 3 YR	TM DEPS GE 100000 MAT/REPRCE LE 3 MO	TM DEPS GE 100000 MAT/REPRCE 3-12 MO	TM DEPS GE 100000 MAT/REPRCE 1-3 YR	TM DEPS GE 100000 MAT/REPRCE GT 3 YR	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	BROKERED DEPS LT 100K GE 250K	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	BRKRD DEP 100000 - 250000 MAT LE 1 Y	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP 100000 - 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	OFFR CONSUM DEP ACT INDIV HSHLD FMLY	NONINTR TRN ACCTS INDIV HSHLD FMLY	INTR TRN ACCTS INDIV HSHLD FMLY	DEP OTHR TRNS ACCTS INDV PRTNRS CRPS	MMDA DEPS PRIMRLY INDIV HSHLD FAMLY	OTHR MMDA INDIV PRTNRS CORPS	OTHR SVGS DEPS IND HSHLD FAMILY USE	OTHR SVGS DEPS IND PRTNRS AND CORPS	
528849	50275	1	3909	96415	0	141228	0	0	15312	17811	0	370251	0	18632		83968	189090	13697	54908	6947	18835	36290	25895	2948	14200	19134	11106	2478	137318	350981	0	638	4290	499	29179	17739	0	2000	19529	13805	0	true								
528858	3883	0	4193	11407	0	19298	0	0	0	0	0	34653	0	7868		9396	5706	1647	6372	0	2401	3971	2752	272	4453	8445	2328	442	15105	25388	0	1397	466	0	12304	3364	0	0	9534	3364	1397	true								
528960	34046	0	33563	351005	0	457668	0	0	3675	77232	0	610593	0	37590		39888	201782	918	36539	3675	17191	19348	3281	68	178960	130578	25339	0	424105	570774	0	2229	290	73557	158712	176165	73557	0	156416	153122	0	true	78701	51996	293408	42392	159390	27999	6047	
529172	6723	0	358	13881	0	19319	0	0	4994	5242	0	37910	0	545		11808	5761	1638	6663	773	2846	3817	4962	183	1625	4855	1784	5354	17455	33613	1506	3752	307	248	7336	6282	248	0	4431	2049	0	true								
529275	13113	0	0	5008	0	25772	0	0	0	0	0	179035	0	0		109245	8208	14670	73371	0	31243	42128	20417	15456	13636	18199	9513	7121	25772	179035	0	0	2092	0	43837	4632	0	0	28610	3225	0	true								
529341	39767	0	666	39427	0	68038	0	0	0	0	0	168524	0	2317		39615	59157	13246	24860	0	8293	16567	12724	2031	5989	12245	10500	1251	67372	166207	0	0	4638	0	23243	6742	0	0	14146	4088	0	true								
529659	22272	0	1916	24180	0	78197	0	0	0	0	0	101088	0	23300		34326	21346	8945	13469	0	5102	8367	12500	8357	5568	5739	6341	5496	75283	77788	998	0	3448	0	15691	7453	0	0	6336	4971	0	true								
529855	8881	0	1140	8081	0	22116	0	0	0	0	0	50143	0	2035		16650	11130	7150	13688	0	6181	7999	2008	462	5329	6464	1363	326	20976	48108	0	0	2454	0	11925	1557	0	0	10235	1557	0	true								
529873	5055	0	0	132	0	246	0	0	0	0	0	9469	0	0		2832	0	0	1777	0	511	1266	839	216	0	1348	126	107	246	9469	0	0	0	0	1581	0	0	0	1348	0	0	false								
529958	0	0	0	679408	0	679408	0	0	15000	305169	0	1097762	0	24318		15137	791206	1849	15137	15000	15002	135	0	0	247599	600	43220	0	94179	241238	585229	832206	1740	246949	247547	43872	246949	0	247547	652	0	false								
530655	151803	101	2479	19110	0	23840	0	0	0	0	0	276282	0	47490		35881	4019	13943	31612	0	21423	10189	3509	760	67590	14017	2205	767	21260	228792	0	0	2451	0	30355	54224	0	0	28184	53423	0	true								
530703	29807	0	1511	17876	0	45334	0	0	0	4273	0	104579	0	1862		27151	24836	9797	15674	0	5703	10052	7951	3445	11076	6351	4048	1310	43823	102717	0	0	1682	4273	16822	5963	4273	0	11465	5962	0	true								
530851	9465	0	817	31107	0	70030	0	0	58	2833	0	150670	0	11693		42489	35925	11581	28118	58	13965	16745	9836	1943	14876	25414	20531	1970	68312	138451	901	526	3519	2775	27755	35036	2775	0	19320	20066	0	true								
531157	6202	7	4539	10812	0	20057	0	0	0	0	0	34452	43	7991		12672	3247	1511	11068	0	3804	7264	1538	66	5721	5143	1367	100	15502	26331	9	87	241	0	6355	5976	0	0	5388	5476	0	true								
531250	12459	1	5709	39411	0	58827	0	0	18375	18375	0	200927	0	9089		74174	57541	10066	43343	2430	15730	31289	13309	13846	13192	26039	13414	4108	52037	185315	1080	6523	2974	0	51275	5478	0	0	35546	2834	4436	true								
532042	39618	8	9264	56224	0	85556	0	0	0	0	0	178446	0	7526		63579	45794	27853	30105	0	28708	21289	13358	225	12508	10593	6354	0	76284	170920	0	0	7507	0	23492	5963	0	0	11756	3838	0	true								
532453	4447	0	3539	8582	0	15671	0	0	0	0	0	29569	0	4401		8599	6661	3079	4425	0	1370	3055	3781	393	2784	3200	3138	740	12132	25168	0	0	1417	0	6750	3112	0	0	4882	0	0	true								
532752	8298	0	7279	10139	0	20027	0	0	0	0	0	47937	0	4006		16492	11372	6750	8510	0	2230	6280	4705	3277	3219	3192	3475	1889	12748	43931	0	0	1374	0	5773	6002	0	0	2108	4303	0	true								
533124	74411	0	633	11555	0	15121	0	0	0	0	0	194942	6760	14094		22898	73118	5199	15780	0	5512	10533	5288	1565	5937	11931	5103	1544	14488	173684	0	404	1171	0	15357	9158	0	0	8463	7318	0	true								
