"IDRSSD"	RIADC899	RIADC900	RIADC901	RIADC902	RIADC903	RIADC904	RIADC905	RIADC906	RIADC907	RIADC908	RIADC909	RIADC910	RIADC911	RIADC913	RIADC914	
	TOTAL INTEREST INCOME IN FOREIGN OFF	TOT INTEREST EXPENSE IN FOREIGN OFFI	PROVISION LOAN&LEASE LOSSES FRGN OFF	NONINT INCOME FRGN OFFICS:TRADNG REV	NONINT INC FRG OFFCS:INVMT BKG,ADVRY	NONINT INC FRG OFFCS:NT SECURIZATION	NONINT INC FRGN OFFICS:OTHER NONINTE	REALZD GAINS(LOSS) ON H-T-M & A-F-S 	TOTAL NONINT EXPENSE IN FOREIGN OFFI	ADJMTS TO PRETAX INC FOREIGN OFFICES	APPLICABLE INCOME TAXES	EXTRAORDINARY ITEMS&OTHER ADJMNTS,ET	NET INC ATTRIBUTABLE TO FRGN OFFICES	ELIMINATIONS ARISING FRM CONSOLIDATN	CONSOLIDTD NET INC ATTRIBTLE FRGN OF	
458142																
458544																
458553																
458665																
458946																
459046																
459130																
459354																
459372																
459448																
459644																
459671																
460033																
460275																
460332																
460341																
460350																
460556																
460770																
461058																
462756																
462774																
463203																
463342																
463605																
463650																
463735																
463977																
464255																
464750																
464853																
465038																
465243																
465337																
465524																
465618																
465672																
466044																
466240																
466549																
466642																
466754																
466857																
466932																
467144																
467265																
467470																
467658																
467733																
467957																
468673																
468806																
468954																
469250																
469362																
469559																
469737																
470032																
470050																
470434																
470452																
470724																
471057																
471217																
471749																
472018																
472045																
472148																
472250																
472531																
472616																
472643																
472652																
472858																
472951																
472979																
473042																
473257																
473266																
473341																
473501																
473930																
474058																
474245																
474254																
474357																
474450																
474544																
474656																
474759																
474777																
474919																
475046																
475345																
475354																
475653																
475756																
476070																
476342																
476445																
476454																
476472																
476539																
476810	18053000	3574000	1879000	4183000	266000	0	3331000	968000	12863000	-82000	2665000	-8000	5730000	0	5730000	
476968																
477059																
477303																
477321																
477349																
477376																
477639																
477648																
477844																
478140																
478195																
478252																
478430																
478476																
478533																
478766																
478944																
479053																
479071																
479268																
479370																
479446																
479567																
479754																
479839																
479914																
480059																
480228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
480246																
480330																
480433																
480723																
480808																
480853																
481140																
481159																
481177																
481355																
481430																
481542																
481579																
481627																
481748																
481944																
482053																
482156																
482370																
482446																
482772																
483032																
483274																
483537																
483751																
484057																
484141																
484776																
484927																
485054																
485139																
485214																
485456																
485559	86	3	0	1544	0	0	0	0	2234	0	-233	0	-374	0	-374	
486248																
487142																
487357																
487843																
488055																
488167																
488318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
488420																
488653																
488756																
489016																
489155																
489249																
489548																
489623																
489641																
489913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
490179																
490348																
490450																
490535																
490544																
490843																
490937																
490955																
491224																
491251																
491402																
491653																
491822																
491934																
492173																
492650																
492810																
493013																
493077																
493143																
493152																
493741																
493844																
