"IDRSSD"	RCFD0426	RCFD2150	RCFD2651	RCFD3164	RCFD3190	RCFD4088	RCFD5507	RCFD6164	RCFD6165	RCFDA590	RCFDB026	RCFDB569	RCFDB570	RCFDB571	RCFDF055	RCFDF056	RCFDF057	RCFDF058	RCFDF059	RCFDF060	RCFDF061	RCFDF062	RCFDF063	RCFDF065	RCFDJ461	RCFDJ462	RCFDK178	RCFDK179	RCFDK180	RCFDK181	RCFDK182	RCFDK183	RCFDK184	RCFDK185	RCFDK186	RCFDK192	RCFDK193	RCFDK194	RCFDK273	RCFN5513	RCFNK260	RCFNK290	RCON0426	RCON2150	RCON2651	RCON3164	RCON3190	RCON4088	RCON5507	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB026	RCONB569	RCONB570	RCONB571	RCONC979	RCONF055	RCONF056	RCONF057	RCONF058	RCONF059	RCONF060	RCONF061	RCONF062	RCONF063	RCONF064	RCONF065	RCONG463	RCONG464	RCONJ461	RCONJ462	RCONK169	RCONK170	RCONK171	RCONK172	RCONK173	RCONK174	RCONK175	RCONK176	RCONK177	RCONK178	RCONK179	RCONK180	RCONK181	RCONK182	RCONK183	RCONK184	RCONK185	RCONK186	RCONK187	RCONK188	RCONK189	RCONK190	RCONK191	RCONK192	RCONK193	RCONK194	RCONK273	RCONL133	RCONL135	RCONN517	RCONN518	RCONN519	RCONN520	RCONN521	RCONN522	RCONN523	RCONN524	RCONN527	TE01N528	TE01N529	TE02N528	TE02N529	TE03N528	TE03N529	TE04N528	TE04N529	TE05N528	TE05N529	TE06N528	TE06N529	TE07N528	TE08N528	TE09N528	TE10N528	TEXT4087	
929802																																											119	1092	16500	100	21000	true	19	0	0	54	0	1038	1513	1	100	0	false	0	0	0	16500	1500	3000	0	0	0	0	0	0	0	0	true	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																												http://www.mysteubentrust.com	
929932																																											0	3595	0	0	448	true	0	3416	0	179	0	0	480	0	0	0	false	0	0	0	0	0	0	448	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0								0	0	0	0																	www.bankmidsouth.com	
929978																																											5289	5817	77009	946	153445	true	4343	526	0	367	3	4921	539	0	946	0	false	0	0	0	81509	29785	41181	970	0	0	0	0	0	0	0	true	false	0	0	0	30	0	612	2937	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0																												www.home24bank.com	
930358																																											0	1549	3000	0	22000	true	0	1000	0	0	0	549	1754	1	0	0	false	0	0	0	3000	16000	3000	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																												www.ubb.com	
930442																																											1424	1789	0	384	0	true	1040	0	0	612	0	1177	1262	0	387	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																												http://www.bankofpontiac.com	
930853																																											284	487	0	0	250	true	284	0	0	82	0	405	1447	1	0	0	false	0	0	0	250	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																												www.catlabank.com	
930871																																											0	782	30172	0	104161	false	0	0	0	782	0	0	2555	0	0	0	false	0	0	0	32707	35699	33059	2460	17200	236	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																												www.lincolnparksavings.com	
930965																																											192	0	55250	0	159490	true	149	0	0	0	0	0	0	0	0	43	true	0	0	0	55250	34240	20000	50000	0	0	0	0	0	0	0	true	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																												http://www.manufacturersbank.com	
931038																																											824	311	27000	824	44000	true	0	311	0	0	0	0	1246	1	824	0	true	0	0	0	27000	10000	7000	0	0	0	0	0	0	0	0	true	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																												http://www.central-bank.com	
931047																																											0	780	0	0	4652	true	0	275	0	193	0	312	5437	4	0	0	false	0	0	0	2000	0	2551	101	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																												www.bksalem.net	
931159																																											0	0	0	0	0	false	0	0	0	0	0	0	830	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																												fsbofgolva.com	
931207																																											0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																												http://www.bbh.com	
931270																																											0	0	0	0	0	true	0	0	0	0	0	0	52	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0								0	0	0	0																	www.asknccb.com	
931355																																											0	0	0	0	0	true	0	0	0	0	0	0	1940	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																												http://www.hodgebank.net	
931458																																											0	0	0	0	923	true	0	0	0	0	0	0	40	0	0	0	false	0	0	0	0	528	57	338	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																												http://www.fnbharveyville.com	
