"IDRSSD"	RCFDHU20	RCFDHU21	RCFDHU22	RCFDHU23	RCFDJ981	RCFDJF77	RCFDJF78	RCFDJF84	RCFDJF85	RCFDJF86	RCFDJF87	RCFDJF88	RCFDJF89	RCFDJF90	RCFDJF91	RCFDJF92	RCFDJF93	RCFDK009	RCFDK030	RCFDK033	RCONHU20	RCONHU21	RCONHU22	RCONHU23	RCONJ981	RCONJF77	RCONJF78	RCONJF84	RCONJF85	RCONJF86	RCONJF87	RCONJF88	RCONJF89	RCONJF90	RCONJF91	RCONJF92	RCONJF93	RCONK009	RCONK030	RCONK033	
	Assets of considated variable intere	Assets of considated variable intere	Assets of considated variable intere	Assets of considated variable intere	ASST CNSL VIE CASH DUE FROM DI SCTY 	Total assets of ABCP conduit VIE	Total liabilities of ABCP conduit VI	Assets of consoidated variable inter	Liabilities of consolidated VIEs for	Liabilities of consolidated VIEs for	All other assets of consolidated VIE	All other assets of consolidated VIE	Assets of consoidated variable inter	Assets of consoidated variable inter	Assets of consolidated variable inte	Liabilities of consolidated VIEs for	Liabilities of consolidated VIEs for	ASST CNSL VIE OTHR RE OWNED SCTY TRS	ALL OTHR ASST CNSL VIE NT INCL SCTY 	ALL OTHR LIAB CNSL VIE NT INCL SCTY 	Assets of considated variable intere	Assets of considated variable intere	Assets of considated variable intere	Assets of considated variable intere	ASST CNSL VIE CASH DUE FROM DI SCTY 	Total assets of ABCP conduit VIE	Total liabilities of ABCP conduit VI	Assets of consoidated variable inter	Liabilities of consolidated VIEs for	Liabilities of consolidated VIEs for	All other assets of consolidated VIE	All other assets of consolidated VIE	Assets of consoidated variable inter	Assets of consoidated variable inter	Assets of consolidated variable inte	Liabilities of consolidated VIEs for	Liabilities of consolidated VIEs for	ASST CNSL VIE OTHR RE OWNED SCTY TRS	ALL OTHR ASST CNSL VIE NT INCL SCTY 	ALL OTHR LIAB CNSL VIE NT INCL SCTY 	
83638																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
83834																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
83852																																									
83955																																									
84046																																									
84541																																									
84804																																									
85052																																									
85454																																									
85472																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
85931																																									
86349																																									
86554																																									
86675																																									
87047																																									
87159																																									
87234																																									
87476																																									
87579																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
88231																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
88240																																									
88259																																									
88352																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
88455																																									
88950																																									
89032																																									
89135																																									
89854																																									
89957																																									
90047																																									
90177																																									
90328																																									
90337																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
90579																																									
91615																																									
91754																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
91950																																									
92144																																									
92676																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
92706																																									
92902																																									
93244																																									
93543																																									
93619																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
94139																																									
94522																																									
94755																																									
94858																																									
95051																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
95677																																									
96553																																									
97055																																									
97279																																									
97457																																									
97804																																									
97943																																									
98351																																									
98463																																									
98717																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
99143																																									
99255																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
99376																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
99442																																									
99536																																									
99853																																									
100236																																									
100357																																									
100562																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
100777																																									
100843																																									
101019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																					
101037																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
101439																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
101671																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
101738																																									
101952																																									
102333																																									
102342																																									
102539																																									
102557																																									
102874																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
103134																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
103255																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
103563																																									
104234																																									
104542																																									
104971																																									
105026																																									
105222																																									
