"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2343	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONA241	RCONA243	RCONA579	RCONA580	RCONA581	RCONA582	RCONA584	RCONA585	RCONA586	RCONA587	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONJ472	RCONJ473	RCONJ474	RCONK219	RCONK220	RCONK221	RCONK222	RCONK223	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	BROKERED DEPS LT 100000	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TM DEPS LT 100000 MAT LESS 1 YR	BROKERED DEPS LT 100000 MAT LE 1 YR	TM DEPS LT 100000 MAT/REPRCE LE 3 MO	TM DEPS LT 100000 MAT/REPRCE 3-12 MO	TM DEPS LT 100000 MAT/REPRCE 1-3 YR	TM DEPS LT 100000 MAT/REPRCE GT 3 YR	TM DEPS GE 100000 MAT/REPRCE LE 3 MO	TM DEPS GE 100000 MAT/REPRCE 3-12 MO	TM DEPS GE 100000 MAT/REPRCE 1-3 YR	TM DEPS GE 100000 MAT/REPRCE GT 3 YR	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	BROKERED DEPS LT 100K GE 250K	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	BRKRD DEP 100000 - 250000 MAT LE 1 Y	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP 100000 - 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	
451246	7337	0	3603	10222	0	28417	0	0	0	0	0	90758	0	7253		13775	62938	3333	9232	0	2831	6401	4152	391	1063	2815	2368	461	24814	83505	0	0	803	0	5109	1598	0	0	2936	942	0	
451853	2604	6	801	4945	0	13352	0	0	0	0	0	17512	0	298		10649	0	0	9460	0	2704	6756	1189	0	1711	2349	200	0	12545	17214	0	0	0	0	3999	261	0	0	3799	261	0	
451965	203864000	119000	10520000	80942000	1593000	95563000	12000	6002000	11263000	14001000	3441000	701978000	272000	23145000		52388000	419653000	40312000	23486000	3252000	7644000	15842000	17499000	11403000	3992000	6553000	8674000	6854000	80344000	665730000	2975000	3388000	3514000	1883000	15812000	10261000	1883000	855000	6674000	3723000	0	
452104	53694	0	4106	40936	0	56502	0	3	0	0	0	136090	0	5019		46579	11760	11325	34132	0	9144	24989	9718	2730	6138	9882	6594	1443	51792	131068	604	0	2846	0	16123	7934	0	0	10350	5669	0	
452159	5091	0	197	49278	0	62516	0	0	0	0	0	81660	0	98		6735	42060	4554	5498	0	4391	2036	308	0	17431	7048	2728	567	62319	81562	0	0	1678	0	10020	17754	0	0	6789	17004	0	
452739	3561	0	9768	15403	0	35804	0	0	0	0	0	56122	0	4265		22282	10110	7906	20530	0	5913	14617	1429	322	3248	16505	414	0	26012	51857	24	0	2895	0	16304	3863	0	0	16141	3612	0	
452841	24565	0	15329	14234	0	37026	0	0	0	0	0	128355	0	3655		55529	19384	23307	29159	0	15106	17252	18649	4521	6406	5788	12470	4213	21697	124700	0	0	8592	0	25307	3570	0	0	9787	980	0	
452850	127638	0	9755	21758	0	34045	0	0	275	8764	0	311838	0	96741		28489	71993	7023	20892	275	5301	15591	5974	1623	14583	40631	26311	2192	24290	214858	0	239	3266	8489	34268	49449	8489	0	25186	30028	0	
453026	2409	1	587	6233	0	19410	0	0	0	0	0	78025	0	527		41929	12857	9177	27374	0	9099	18275	12414	2141	4615	8806	6431	978	18820	77340	2	158	2338	0	19092	1738	0	0	12141	1280	0	
453147	12144	8	5729	10322	0	21697	0	0	0	100	0	53936	0	7246		19638	14140	8058	16652	0	8919	7733	1572	1414	2491	2749	1843	931	15960	46690	0	0	1470	100	5025	2989	100	0	3601	1639	0	
453446	11118	0	11082	24267	0	70644	0	0	0	0	0	104115	0	2883		38411	28839	8226	33321	0	9684	23637	4918	172	6788	15781	3177	0	59562	101232	0	0	3133	0	21250	4496	0	0	18346	4223	0	
453839	7742	0	5055	17544	0	32401	0	0	9931	9931	0	51712	0	7430		20254	10810	1225	6764	0	2332	4457	3380	10085	5078	3755	4073	0	26905	33426	441	10856	402	0	5547	7359	0	0	2814	6019	0	
454340	5191	0	443	7096	0	10011	0	0	0	0	0	25783	0	1218		9134	1333	1783	7938	0	2519	5419	1197	0	1335	5973	2717	100	9556	24441	12	124	422	0	9309	816	0	0	6747	561	0	
454546	39367	0	4188	26450	0	49591	0	0	0	0	0	104804	0	7237		38726	4543	15181	24268	0	6035	18283	10407	4001	3301	9622	7176	2068	45403	97369	0	198	5376	0	20695	1472	0	0	11905	1018	0	
