"IDRSSD"	RCFDJJ03	RCONJJ03	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	RIADC781	RIADJH88	RIADJH89	RIADJH90	RIADJH91	RIADJH92	RIADJH93	RIADJH94	RIADJH95	RIADJH96	RIADJH97	RIADJH98	RIADJH99	RIADJJ00	RIADJJ01	RIADJJ02	
	Allowance for credit losses on other	Allowance for credit losses on other	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	AMT OF ALLOWNCE FOR POST-ACQUISTN LO	Balance most recently reported for e	Recoveries, Held-to-maturity debt se	Provisions for credit losses, Held-t	Adjustments, Held-to-maturity debt s	Less: charge-offs, Held-to-maturity 	Balance end of current period, Held-	Balance most recently reported for e	Recoveries, Available-for-sale debt 	Provisions for credit losses, Availa	Adjustments, Available-for-sale debt	Less: charge-offs, Available-for-sal	Balance at end of current period, Av	Less: Write-downs arising from trans	Less: Write-downs arising from trans	Provisions for credit losses on othe	
790271			2256	441	4	0	1813	2	0				0																
790543			10474	4775	16	0	6658	975	0																				
790703			3841	608	0	0	3251	18	0																				
790918			7334	388	2	0	7005	61	0																				
791072			1408	200	8	0	1268	68	0																				
791353			1161	0	8	0	1253	100	0				0																
791821			5339	1312	0	0	4097	70	0																				
791942			3000	100	29	0	2873	2	0																				
792248			766	20	2	0	744	0	0																				
792453			931	0	0	0	931	0	0																				
792640			1517	120	61	0	1340	4	0			0	0																
792659			1052	20	111	0	966	45	0																				
793571			6037	320	9	0	5722	14	0			0	0																
794149			1438	195	37	0	1247	41	0				0																
794336			8465	1014	0	0	7461	10	0																				
794345			2311	190	12	0	2585	476	0																				
794475			850	0	0	0	850	0	0																				
794653			325	0	0	0	325	0	0																				
795249			631	40	0	0	594	3	0			0	0																
795548			3777	600	1	0	3177	1	0			0	0																
795959			606	45	21	0	571	31	0																				
795968	0		173439	74000	6609	0	110027	15460	-1737					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
796152			1629	145	51	0	1552	119	0																				
796451			2512	0	4	0	2763	255	0																				
796572			8649	778	82	0	8564	775	0																				
796657			782	0	17	0	786	21	0																				
797140			3838	930	1	0	2926	19	0																				
797775			17250	2753	0	0	14500	3	0			0	0																
798512			442	31	16	0	442	47	0																				
799359			276	15	0	0	290	29	0																				
799751			1904	85	2	0	1834	17	0				0																
799854			1636	307	18	0	1431	120	0																				
799939			279	0	18	0	261	0	0																				
799948			1489	66	34	0	1430	41	0																				
800134			1589	535	0	0	1086	32	0																				
800442			461	0	9	0	541	89	0																				
800479			142	6	0	0	144	8	0																				
800657			121376	19366	1835	0	110232	10057	0				0																
800853			1648	60	3	0	1588	3	0																				
801047			3421	120	22	0	3236	43	86																				
801056			1030	85	5	0	948	8	0																				
801654			244	1	1	0	243	1	0																				
802866	0		589476	300679	11829	0	304803	51953	24118	0	0	0		0	0	48	174	0	222	0	0	0	0	0	0	0	0	0	
803256			616	27	0	0	589	0	0																				
803265			268	20	7	0	293	52	0																				
803649			8232	2376	62	0	5920	126	0																				
803658			521	30	18	0	488	15	0																				
803957			2897	0	7	0	2021	38	907																				
804150			395	0	0	0	395	0	0			0	0																
804338			12296	1610	528	0	10402	244	0																				
804374			4081	766	116	0	3497	298	0																				
804422			422	5	3	0	417	3	0																				
804860			519	78	40	0	581	180	0			0	0																
804963			783286	221013	55018	0	617497	110242	0				0																
805045			890	80	0	0	1228	418	0																				
805250			2141	100	23	0	2041	23	0			0	0																
805335			879	240	11	0	730	102	0				0																
805755			6015	650	15	0	5707	357	0				0																
805876			580	160	4	0	452	36	0																				
806220			1295	15	1	0	1285	6	0																				
806846			6102	550	251	0	5621	320	0																				
806958			6125	3600	2	0	5419	2896	0			0	0																
807348			832	250	0	0	616	34	0																				
807432			927	12	0	0	915	0	0																				
807656			1361	180	49	0	1360	228	0																				
807946			787	0	1	0	787	1	0																				
807955			12240	6917	40	0	16585	11302	0																				
808176		0	397612	194711	4869	0	146588	31750	83194			0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
808260			55058	300	208	0	55012	462	0				0																
808345			542	0	118	0	478	54	0																				
808354			900	-115	0	0	1015	0	0																				
808448			60	60	0	0	0	0	0																				
808653			1450	180	100	0	1343	173	0																				
809070			200	0	0	0	200	0	0																				
809276			4725	1984	188	0	4271	1718	0																				
809379			609	0	9	0	623	23	0																				
809650			2040	237	10	0	1871	78	0				0																
809678			271	76	1	0	194	0	0				0																
809771			4077	245	0	0	3832	0	0																				
809856			600	100	0	0	500	0	0																				
810544			1815	0	5	0	1823	13	0																				
811046			60557	8600	571	0	55312	3926	0				0																
811279			6970	2185	11	0	4880	106	0																				
811457			81	0	0	0	81	0	0			0	0																
811541			506	30	13	0	468	5	0																				
811550			625	140	70	0	495	80	0																				
811747			4237	0	9	0	4264	36	0																				
812164	0		0	0	0	0	0	0	0			0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
812379			1324	156	6	0	1184	22	0			0	0																
812436			6051	876	8	0	5272	105	0																				
812557			7821	932	88	0	6813	12	0				0																
812614			715	16	4	0	748	53	0				0																
813059			294	0	2	0	292	0	0																				
813572			705	0	40	0	666	1	0			0	0																
813853			3674	188	26	0	3472	12	0																				
814074			839	360	15	0	469	5	0																				
814355			328	0	0	0	339	11	0																				
814430			84862	39100	645	0	49046	3929	0				42																
814458			3405	600	0	0	2814	9	0																				
814476			1649	65	0	0	1584	0	0				0																
814551			1754	565	24	0	1737	572	0																				
814711			2264	300	57	0	2060	153	0			0	0																
815053			1056	30	5	0	1025	4	0																				
815147			3371	857	81	0	2491	58	0																				
815156			8206	311	316	0	7955	376	0																				
815277			2651	420	0	0	2231	0	0				0																
815754			1032	11	1	0	988	8	40																				
815772			646	4	6	0	637	1	0																				
816210		0	146026	12652	1101	0	67218	12692	77747					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
816256			646	95	3	0	618	70	0																				
816304			1091	79	2	0	1016	6	0																				
816603		0	41441	8857	30	0	27014	961	6501					0	0	0	0	0	0	0	0	0	0	0	0	0	0	379	
816751			247	8	0	0	247	8	0																				
817477			855	100	5	0	822	72	0																				
817824	17282		5927971	3171430	170992	10356	2741938	608130	462097	0	7205	0		0	0	948	1698	0	2646	0	0	29757	83	0	29840	0	0	4854	
818401			8347	2500	50	0	6729	932	0																				
818540			726	0	1	0	725	0	0			10	0																
818559			199	0	0	0	202	3	0																				
818652			230	15	6	0	209	0	0				0																
819154			650	42	4	0	625	21	0																				
819172			1029	50	1	0	995	17	0																				
819453			2024	500	18	0	1643	137	0				0																
819556			1476	301	34	0	1282	141	0																				
819855			3661	425	14	0	3233	11	0																				
820048			8175	2205	1	0	6414	445	0			0	0																
820301			2471	371	21	0	2234	155	0			0	0																
820477			331	0	4	0	330	3	0																				
820842			2035	225	8	0	1811	9	0																				
820879			176	9	0	0	167	0	0																				
821036			1515	599	0	0	916	0	0																				
821157			1118	0	3	0	1123	8	0																				
821559			399	8	3	0	396	8	0																				
821643			234	130	12	0	340	248	0			0	0																
821906			12371	3512	34	0	8895	70	0																				
822042			6936	1750	75	0	5184	73	0				0																
822051			1562	361	16	0	1500	315	0																				
822275			3094	0	1	0	3097	4	0																				
822408			1832	105	2	0	1727	2	0																				
822556			7084	3467	0	0	3843	226	0				0																
822631			293	0	0	0	293	0	0																				
822846			1089	30	3	0	1486	430	0																				
823076			53	0	0	0	55	2	0																				
823133			2242	842	29	0	2976	1605	0																				
823142			566	0	3	0	564	1	0			0	0																
823450			2712	320	15	0	2415	38	0																				
823478			5138	524	25	0	4593	4	0																				
823553			140	0	9	0	137	6	0																				
823638			877	0	0	0	878	1	0																				
823656			2484	0	0	0	2493	9	0																				
824242			246	0	0	0	246	0	0																				
824653			1821	720	8	0	1407	314	0																				
824671			3476	153	12	0	3336	25	0																				
824738			597	0	4	0	599	6	0																				
825146			34741	10500	196	0	24858	813	0				289																
825454			2414	290	9	0	2126	11	0				0																
825548			1724	100	24	0	1627	27	0																				
825753			2826	0	164	0	2667	5	0				0																
825847			4148	450	2	0	3759	63	0																				
825940			388	75	19	0	343	49	0																				
826451			946	0	7	0	951	12	0																				
826648			1866	322	46	0	1581	83	0																				
826956			18839	2038	240	0	16812	251	0			0	0																
827355			1112	45	0	0	1068	1	0																				
827458			3802	380	4	0	3747	329	0																				
827560			11780	0	232	0	11548	0	0				0																
828110			1167	300	2	0	1162	297	0																				
828174			569	60	29	0	501	21	0																				
828473			932	259	3	0	725	55	0				0																
828651			16460	1054	153	0	15332	79	0				0																
829032			1198	65	21	0	1141	29	0																				
829041			2430	215	5	0	2272	62	0																				
829050			2800	162	50	0	2800	212	0																				
829452			1142	0	1	0	1142	1	0																				
830113			2936	200	4	0	2754	22	0																				
830252			399	107	45	0	385	138	0																				
830355			3399	600	28	0	3621	850	0																				
830542			4823	823	75	0	4085	160	0																				
830645			297	0	52	0	296	51	0			0	0																
830748			1465	600	0	0	921	56	0																				
831008			7094	1030	0	0	6360	296	0																				
831352			718	45	0	0	673	0	0																				
831576			3667	1167	135	0	2809	444	0																				
831642			2940	450	22	0	2501	33	0																				
831875			529	0	0	0	530	1	0																				
831941			1147	177	19	0	1081	130	0																				
832528			1256	3	33	0	1255	35	0																				
832546			3404	600	47	0	2855	98	0				0																
833404			6177	181	8	0	6007	19	0			0	0																
833749			5618	1150	0	0	4473	5	0																				
833758			752	120	3	0	645	16	0																				
833851			217	25	3	0	210	21	0																				
834175			217	-15	0	0	232	0	0																				
834755			1385	155	8	0	1222	0	0																				
835079			205	0	0	0	205	0	0																				
835257			3007	600	90	0	2869	552	0																				
835378			349	42	3	0	364	60	0																				
835444			2364	240	77	0	2126	79	0																				
835613			280	0	3	0	277	0	0																				
835659			760	50	18	0	707	15	0																				
835743			1449	281	56	0	1309	197	0																				
835770			2771	75	4	0	2743	51	0																				
836656			101	10	0	0	97	6	0																				
836843		4205	55644	25646	535	0	29079	3600	3984			0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	772	
