"IDRSSD"	RCFD1410	RCFD1420	RCFD1460	RCFD1563	RCFD1590	RCFD1763	RCFD1764	RCFD1797	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2746	RCFD5367	RCFD5368	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCFDC391	RCFDC779	RCFDC780	RCFDF158	RCFDF159	RCFDF160	RCFDF161	RCFDF162	RCFDF163	RCFDG091	RCFDG092	RCFDG093	RCFDG094	RCFDG095	RCFDG096	RCFDG097	RCFDG098	RCFDG099	RCFDG100	RCFDG101	RCFDG102	RCFDG378	RCFDHK25	RCFDK098	RCFDK137	RCFDK163	RCFDK164	RCFDK165	RCFDK168	RCFDK203	RCFDK204	RCFDK207	RCON1288	RCON1420	RCON1460	RCON1545	RCON1590	RCON1763	RCON1764	RCON1766	RCON1797	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB534	RCONB535	RCONB538	RCONB539	RCONB837	RCONC391	RCONC779	RCONC780	RCONF158	RCONF159	RCONF160	RCONF161	RCONF162	RCONF163	RCONF230	RCONF231	RCONF232	RCONF576	RCONF577	RCONG091	RCONG092	RCONG093	RCONG094	RCONG095	RCONG096	RCONG097	RCONG098	RCONG099	RCONG100	RCONG101	RCONG102	RCONG376	RCONG378	RCONGW45	RCONGW46	RCONGW47	RCONHK25	RCONJ451	RCONJ454	RCONJ464	RCONJ466	RCONJ467	RCONJ468	RCONJ469	RCONJ470	RCONJ471	RCONK098	RCONK137	RCONK158	RCONK159	RCONK160	RCONK161	RCONK162	RCONK163	RCONK164	RCONK165	RCONK166	RCONK168	RCONK203	RCONK204	RCONK207	RCONK256	RCONLG24	RCONLG25	RIADG377	
59316																																																																989	9441		1988			136063	19631		66134	989031	0	0	0	221070	10049	42325	43794	2615	6296	5481	12806	111537	81695	59067	59816	185073	172842	229626	59205				0	346			766	669	5683	9499	210394	142137			0			0	296														600138	0	0	0	0		0	102							0	115280	0	0	0	0	0			0	0	0	0	0	40225	0	CONF	CONF		
59352																																																																16064	22728	0	11237	43084	0	43084	0		866	276570	0	0	0	33046	624	17483	24750	795	927	331	1309	16042	13642	5061	17967	42225	14023	47508	116740	0	0	0	0	0	0		0	0	1522	25197	40811	78906	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	26	0	26							0	517	0	0	0	0	0	0	0	0	0	0	0	0	1942	0	CONF	CONF	0	
59370																																																																540	3394		0			7696	4075		0	247243	0	0	0	157511	4132	84463	7973	3446	15245	18353	20811	55369	43232	16452	5262	11814	10243	32659	11435				0	0			0	0	4391	17585	7277	10751			0			163	0														74009	0	0	0	163		0	4							0	104	0	0	0	0	0			0	0	0	0	0	29783	0	CONF	CONF		
59754																																																																335	0		297			2293	0		0	7242	0	0	0	1542	0	383	820	172	153	97	47	704	369	337	495	787	896	2765	216				0	0			0	0	0	0	0	1120			0			0	0													0	0	0	0	0	0		0	10							0	1309	0	0	0	0	0			0	0		0	0	336	0	CONF	CONF	0	
60143		8000	1096000	7887000	29000	26109000	1042000	1702000	0	182000	53457000	1000	1453000	2014000	48000	17185000	42795000	2126000	4749000	839000	667000	26000	0	0	0	0	0	0	335000	16000				255000	4050000	4952000	2996000	0	589000	0	0	0	0	0	0	0	0	0	0	0	0	39562000	44000	0	4000	0	0	0	0	0	0	160000		8000	1096000	11000	29000	26083000	676000		1702000	0	182000	53056000	0	589000		2014000	48000	1547000		113000	177000	308000	291000	1055000	45000							0	0	0	0	335000					255000	4050000	4942000	2996000			0			4000	0																			365000	7511000									4000	0	0	37000	3000	0				0				160000		CONF	CONF		
60330																																																															0	24775	20692	11	3576	207916	0	207916	23148		7513	706245	24	0	0	78761	1898	20061	195208	13203	5457	10650	14049	28804	5627	163088	78313	191683	125018	66129	1677	0	0	0	3283	1624	0		0	0	18336	33047	124075	129689	0	0	0			1020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121100				8283	14506	0	14517							0	3131	0	427	0	6076	713	0	0	47	0	2	6	38	10288	0	CONF	CONF	0	
60545																																																																41215	627		41505			14854	0		1683	157451	0	0	0	40215	799	0	50498	676	2660	11098	21195	4183	390	36324	10860	24001	40867	4098	871				0	32			0	0	958	581	7277	3786			0			0	0													0	29273	0	0	0	0		0	81							0	2348	0	0	0	0	0			0	0	0	0	0	1490	0	CONF	CONF	0	
60554																																																																21135	0		17661			8253	523		0	55319	0	0	0	3642	0	0	22925	120	793	1616	886	190	0	17089	4923	15561	8896	1654	2889				186	0			0	0	0	927	0	1887			0			0	37													0	8361	0	0	0	1090		0	0							0	369	0	341	0	0	0			719	355	364	0	0	736	30	CONF	CONF	0	
60648																																																															0	22482	2385		4217			36898	4764		4631	174904	0	0	0	54300	1179	43509	15801	1497	2608	15001	20792	7062	7211	18469	9251	38858	32694	16480	4784				466	42			0	0	4404	4890	22174	8275			0			608	0														50997	0	0	0	849		0	33							0	1663	0	0	0	143	0			0	0	0	0	0	2101	98	CONF	CONF		
61122																																																																5878	34310	0	506	257306	0	257306	64636		964	1193223	0	0	3820	351281	2844	212780	113874	6860	31925	40109	59892	127012	84312	87410	136596	301900	182916	80027	43183	0	0	0	0	2551	203		0	0	19618	106720	129489	170637	0	0	0			774	203	0	0	0	0	0	0	0	0	0	0	0	0		228142				3726	13606	0	13606							0	12803	279	217	0	2342	114	0	0	0	0	0	0	0	20074	0	CONF	CONF		
61355																																																																84557	35879		48636			198538	40288		552	887466	0	0	0	103928	2801	20582	138176	26074	8004	9040	9662	32297	18292	480578	26656	173780	80451	18318	672				14691	330			206	195	12689	38866	86040	196529			0			0	0														108143	0	0	0	957		0	175							32	12533	0	0	0	608	0			218	186	0	0	0	10434	131	CONF	CONF		
61476																																																																0	35406		0			20861	8455		0	418158	0	0	0	230435	2111	96383	29265	7992	17596	21002	29795	50526	101384	15603	21253	32200	29277	49716	38640				0	3			0	0	25583	15436	48189	31165			0			352	0													0	81398	0	0	0	684		0	13							0	43	0	0	0	332	0			0	0	0	0	0	458	0	CONF	CONF	0	
61757																																																																5678	57573	0	2033	70271	0	70271	6008		0	289964	0	0	0	35196	1303	0	53481	5442	6814	10684	4510	2112	5634	15529	33740	111647	57008	34238	2306	0	0	0	0	34	0		0	0	1986	7854	47949	53166	0	0	0			410	0	0	0	0	0	0	0	0	0	0	0	0	0		82139				544	22	0	22							0	392	0	0	0	119	0	0	0	15	15	0	0	0	499	0	CONF	CONF		
61832																																																															0	7428	198		5427			20097	5469		0	122070	0	0	0	30929	906	24632	4140	248	1477	4705	2191	4138	17232	1808	2382	38287	10170	11643	23234				0	227			0	0	3609	7786	18463	16850			0			221	0														52776	0	0	0	471		0	422							0	729	0	0	0	250	0			0	0		0	0	3530	0	CONF	CONF		
61953																																																																2427	1433		381			10116	88		0	42213	0	294	10116	10338	301	3251	7666	1232	725	1915	2363	4046	0	2219	4241	11565	4425	6502	2033				0	0			0	0	1326	4002	4159	5850			0			0	0														0	0	0	0	0		0	0							0	551	0	0	0	0	0			0	0		0	0	947	0	CONF	CONF		
62044																																																																141	346		35			829	0		0	12475	0	0	0	7021	177	0	2799	304	777	1402	2159	987	1392	759	1009	1514	1814	358	0				0	0			0	0	394	709	222	1332			0			0	0													0	7021	0	0	0	0		8	0							0	702	0	0	0	0	0			0	0		0	0	559	0	CONF	CONF	0	
62110																																																																0	0		0			0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	0			0	0	0	0	0	0			0			0	0														0	0	0	0	0		0	0							0	0	0	0	0	0	0			0	0		0	0	0	0	CONF	CONF		
62147																																																																4333	331		922			8980	4842		110	57505	4	0	0	12555	293	695	8665	377	1665	3444	4049	901	2119	2652	5276	20928	14256	1378	331				365	14			0	0	4080	3498	4163	11779			0			0	0														14514	0	0	0	0		0	310							0	744	0	0	0	0	0			0	0		0	0	190	0	CONF	CONF		
63050																																																																2761	732		12831			31972	7617		315	177528	42	166	0	74655	381	63359	37027	3366	1985	8007	16116	39888	4572	23094	8593	24770	26803	11434	6364				0	0			0	0	5695	4176	7820	13667			0			0	0													0	0	0	0	0	0		0	350							0	8380	0	0	0	0	0			0	0	0	0	0	6052	0	CONF	CONF	0	
