"IDRSSD"	RCFA3792	RCFA5310	RCFA5311	RCFA7204	RCFA7205	RCFA7206	RCFA8274	RCFAA223	RCFAA224	RCFAB530	RCFAB596	RCFAH015	RCFAH036	RCFAH311	RCFAH313	RCFAH314	RCFAKW00	RCFAKW03	RCFAP742	RCFAP793	RCFAP839	RCFAP840	RCFAP841	RCFAP842	RCFAP843	RCFAP844	RCFAP845	RCFAP846	RCFAP847	RCFAP848	RCFAP849	RCFAP850	RCFAP851	RCFAP852	RCFAP853	RCFAP854	RCFAP855	RCFAP856	RCFAP857	RCFAP858	RCFAP859	RCFAP860	RCFAP861	RCFAP862	RCFAP863	RCFAP864	RCFAP865	RCFAP866	RCFAP867	RCFAP868	RCFAP870	RCFAP872	RCFAP875	RCFAQ257	RCFAQ258	RCFW3792	RCFW5310	RCFW5311	RCFW7205	RCFW7206	RCFWA223	RCFWH312	RCFWP793	RCFWP870	RCOA3792	RCOA5310	RCOA5311	RCOA7204	RCOA7205	RCOA7206	RCOA8274	RCOAA223	RCOAA224	RCOAB530	RCOAB596	RCOAH015	RCOAH036	RCOAH311	RCOAH313	RCOAH314	RCOAJJ29	RCOAKW00	RCOAKW03	RCOAP742	RCOAP793	RCOAP838	RCOAP839	RCOAP840	RCOAP841	RCOAP842	RCOAP843	RCOAP844	RCOAP845	RCOAP846	RCOAP847	RCOAP848	RCOAP849	RCOAP850	RCOAP851	RCOAP852	RCOAP853	RCOAP854	RCOAP855	RCOAP856	RCOAP857	RCOAP858	RCOAP859	RCOAP860	RCOAP861	RCOAP862	RCOAP863	RCOAP864	RCOAP865	RCOAP866	RCOAP867	RCOAP868	RCOAP870	RCOAP872	RCOAP875	RCOAQ257	RCOAQ258	RCOW3792	RCOW5310	RCOW5311	RCOW7205	RCOW7206	RCOWA223	RCOWH312	RCOWP793	RCOWP870	
726953																																																																	57997	2581	2581	9.2573%	14.1384%	13.5092%	55416	410210	598617	1193	0			6.1384%				26834	598617	28582	13.5092%	1	0	56609	0	0	0	1193	0	0	0	0		0	0	55416	0	0	0	0	0	0	55416	0	0	0	0	0	0	0	0	0	2581	0	0	0	0										
727174																																																																	117790	6309	6309	11.3507%	24.0021%	22.7165%	111481	490749	982147	0	0			16.0021%				119342	992145	2137	22.7165%	1	0	121479	0	0	0	0	0	0	0	0		0	0	121479	0	9998	0	0	0	9998	111481	0	0	0	0	0	0	0	0	0	6309	0	9998	0	0										
728948																																																																	50690	4820	4820	8.6031%	13.2160%	11.9594%	45870	383549	533182	2302	0			5.2160%				33070	545374	24992	11.9594%	1	0	60364	7286	4906	0	2302	0	0	0	0		0	0	45870	0	0	0	0	0	0	45870	0	0	0	0	0	0	0	0	0	4820	0	12192	0	0										
728957																																																																	25788	2117	2117	10.8212%	14.8787%	13.6572%	23671	173322	218746	102	0			6.8787%				1786	219168	22307	13.6572%	1	0	24195	201	221	0	102	0	0	0	0		0	0	23671	0	0	0	0	0	0	23671	0	0	0	0	0	0	0	0	0	2117	0	422	0	0										
729011																																																																	47721	3793	3793	9.5606%	15.8217%	14.5641%	43928	301618	459471	-27	0			7.8217%				28529	461942	17870	14.5641%	1	0	46372	1810	661	0	-46	0	0	0	19		0	0	43928	0	0	0	0	0	0	43928	0	0	0	0	0	0	0	0	0	3793	0	2471	0	0										
729057																																																																	11419	888	888	8.8860%	16.0763%	14.8261%	10531	71030	118512	42	0			8.0763%				5431	118512	5100	14.8261%	1	0	10573	0	0	0	42		0	0	0		0	0	10531	0	0	0	0	0	0	10531	0	0	0	0	0	0	0	0	0	888	0	0		0										
729178																																																																	22208	1482	1482	10.9510%	18.5959%	17.3550%	20726	119424	189262	189	0			10.5959%				16202	189469	4731	17.3550%	1	0	21122	207	0	0	189	0	0	0	0		0	0	20726	0	0	0	0	0	0	20726	0	0	0	0	0	0	0	0	0	1482	0	207	0	0										
729310																																																																	87031	8330	8330	7.7760%	12.0963%	10.9385%	78701	719483	1012105	-2766	0			4.0963%				52916	1016795	30475	10.9385%	1	0	80625	4536	154	0	229		0	-2951	-44		0	0	78701	0	0	0	0	0	0	78701	0	0	0	0	0	0	0	0	0	8330	0	4690		0										
729459																																																																	11520	965	965	10.2367%	14.9370%	13.6858%	10555	77124	103109	184	0			6.9370%				4261	104325	7510	13.6858%	1	0	11955	1216	0	0	184		0	0	0		0	0	10555	0	0	0	0	0	0	10555	0	0	0	0	0	0	0	0	0	965	0	1216		0										
729570																																																																	13792	203	203	28.1387%	42.5154%	41.8896%	13589	32440	48293	45	0			34.5154%				13589	48293	0	41.8896%	1	0	13634	0	0	0	45	0	0	0	0		0	0	13589	0	0	0	0	0	0	13589	0	0	0	0	0	0	0	0	0	203	0	0	0	0										
