"IDRSSD"	RCFD0071	RCFD0081	RCFD1773	RCFD2130	RCFD2143	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFDJA22	RCFDJJ34	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON1773	RCON2130	RCON2143	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	RCONJA22	RCONJJ34	
647759																																							245	4069	29461	0	0	4221	0	6352	114017	102623	1872	104631	0	1036	136	0	9386	450	114017	0	0	6975	0	0	2050	0	24952	77671			0	67406	66370	-89	3299	0	0	0	9386	0	0	
647777																																							13932	1826	15504	3	138	677	0	1917	135812	118236	1158	119394	0	280	0	0	16418	0	135812	0	0	17496	0	0	0	0	2060	116176			0	95922	95642	-1078	0	0	0	0	16418		6173	
647955																																							7264	819	2735	0	957	1573	0	1277	54051	45946	148	46094	0	544	0	0	7957	600	54051	0	0	772	0	0	6593	0	17621	28325			0	39940	39396	-8	30	0	0	0	7957		0	
648130																																							50421	25529	240961	0	0	16923	1760	33283	659367	538388	2882	543874	0	7725	0	0	115493	12500	659367	0	0	56353	0	0	46255	0	198885	339503			0	285191	277466	385	0	0	0	2604	115493	3565	9459	
648242																																							35272	9476	196895	777	3718	77981	2401	30473	2528725	1922773	7088	2320428	0	13725	390567	0	208297	1486	2528725	0	0	75970	0	0	127182	366	258727	1664046			0	1362689	1348964	3659	104	0	0	0	208297		822298	
648251																																							37954	4565	14838	0	0	5981	49	8141	230567	201355	1116	203585	0	1565	0	0	26982	200	230567	0	0	25966	0	0	800	87	56397	144958			0	160517	158952	16	0	0	0	1114	26982		0	
648345																																							4895	1385	2755	0	0	1061	216	1184	78977	63977	371	72348	0	591	8000	0	6629	1200	78977	0	0	1606	0	0	3800	0	6967	57010			0	65526	64935	23	0	0	0	0	6629		2546	
648550																																							11482	2490	2201	0	0	1198	0	3131	89242	79037	270	79307	0	909	0	0	9934	867	89241	0	0	8126	0	0	1090	0	31316	47721			-150	69649	68740	1	0	0	0	0	9934		0	
649342																																							4900	923	38760	0	1218	1383	0	4533	240166	194820	1713	212682	0	2325	14550	0	27484	100	240166	0	0	20238	0	0	6400	0	34965	159855			0	190774	188449	746	0	0	0	1599	27484		0	
649632																																							2787	2320	11575	0	0	38	0	281	26691	21493	66	21559	0	121	0	0	5132	1000	26691	0	0	866	0	0	3200	0	1924	19569			0	9811	9690	66	0	0	0	0	5132		0	
649874																																							12579	3595	39310	0	2575	14857	298	9714	402525	354252	1136	355388	0	2654	0	0	47137	0	402525	0	0	12579	0	0	34313	0	49977	304275			0	321980	319326	245	271	0	0	0	47137		0	
651121																																							16743	4174	60190	0	720	8835	313	13822	336259	287331	4144	296094	0	2223	2895	0	40165	6835	336259	0	0	27541	0	0	7055	0	96337	190994			0	187080	184857	-1266	0	0	0	1724	40165	0	46605	
651149																																							9439	1019	6865	0	0	754	0	2501	66854	60400	619	61019	0	476	0	0	5835	124	66854	0	0	2029	0	0	3676	0	10275	50125			0	46752	46276	6	0	0	0	0	5835		0	
651158																																							3511	1924	45777	0	2165	433	0	3803	108530	91333	295	91628	0	801	0	0	16902	450	108530	0	0	7784	0	0	8320	0	21469	69864			0	49462	48661	348	2256	0	0	0	16902		0	
651354																																							4882	1404	19736	0	0	671	0	441	52850	47754	122	47876	0	344	0	0	4974	250	52850	0	0	3392	0	0	1110	0	10894	36860			0	24869	24525	222	1191	0	0	0	4974		0	
651448																																							56000	2037	0	0	0	0	0	2055	60092	500	9	509	0	0	0	0	59583	1000	60092	0	0	2930	0	0	55653	0	0	500			0	0	0	0	0	0	0	0	59583	0	0	
651457																																							7833	1837	7028	0	0	161	80	715	36741	32309	170	32479	0	266	0	0	4262	270	36741	0	0	805	0	0	3155	0	5594	26715			0	19353	19087	32	0	0	0	0	4262		0	
651541																																							9434	2262	11899	0	0	1737	0	5386	133638	107413	1028	120191	0	1097	11750	0	13447	400	133638	0	0	9422	0	0	3919	0	31857	75556			0	104017	102920	-294	0	0	0	0	13447		0	
651756																																							20061	5263	33924	0	0	5801	0	1553	223608	200045	486	200531	0	1554	0	0	23077	900	223608	0	0	19855	0	0	2100	0	63720	136325			0	158560	157006	222	0	0	0	0	23077		0	
651859																																							118416	26258	716245	0	18527	147782	1559	109127	3710901	2748674	17199	3320014	0	51905	385714	0	390887	6500	3710901	0	0	188831	0	0	193500	13715	760110	1988564			0	2606713	2554808	2056	4419	0	2700	165727	390887	45	0	
651952																																							1504	1988	16687	46	0	3775	0	5577	116917	95250	728	103978	0	1129	8000	0	12939	106	116917	0	0	10098	0	0	2712	0	34151	61099			0	80544	79415	23	7925	0	0	0	12939		0	
652043																																							5360	3972	48479	0	14941	5491	88	10141	410768	319463	2544	361373	0	2308	39366	0	49395	78	410768	0	0	25521	0	0	23757	0	60204	259259			0	324529	322221	39	75	0	0	0	49395		0	
652070																																							23761	752	0	0	0	1303	0	4539	61423	46343	1033	47376	0	184	0	0	14046	0	61422	0	0	14046	0	0	0	0	3962	42381			0	30007	29823	0	0	0	0	0	14046		1245	
652874																																							473194	38970	2025130	0	51644	959	857	349382	8510594	7062237	182648	7851685	0	31829	606800	0	658909	0	8510594	0	0	454688	0	0	273750	895658	483146	6579091			0	4706629	4674800	-69529	0	0	0	0	658909	0	0	
652959																																							5070	1625	0	0	0	88	40	498	21822	16918	12	19730	0	198	2800	0	2092	100	21822	0	0	1792	0	0	200	0	3174	13744			0	13496	13298	0	0	0	0	0	2092		1203	
652977																																							21571	609	21886	0	0	407	0	6272	167324	138184	1182	139366	0	969	0	0	27958	0	167324	0	0	27500	0	0	0	416	19762	118422			0	117132	116163	458	0	0	0	0	27958		0	
